gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,
csra,b2696,[t],6.8558,61,glucose_minimal,3168.915163,0.31,,,
alas,b2697,[j],96.031,876,glucose_minimal,1269.131111,0.31,,,
reca,b2699,[l],37.973,353,glucose_minimal,2158.368549,0.31,,,
ygad,b2700,[r],17.582,165,glucose_minimal,,0.31,,,
gutq,b2708,[m],34.031,321,glucose_minimal,179.0044917,0.31,,,
rpos,b2741,[k],37.971,330,glucose_minimal,118.9568626,0.31,,,
nlpd,b2742,[m],40.149,379,glucose_minimal,61.0929735,0.31,,,
pcm,b2743,,23.257,208,glucose_minimal,,0.31,,,
trud,b2745,[s],39.091,349,glucose_minimal,53.95870299,0.31,,,
ispf,b2746,[i],16.897,159,glucose_minimal,869.5285599,0.31,,,
cysc,b2750,[p],22.321,201,glucose_minimal,250.0962996,0.31,,,
cysn,b2751,[p],52.558,475,glucose_minimal,1108.809016,0.31,,,
cysd,b2752,[eh],35.188,302,glucose_minimal,1105.325898,0.31,,,
cysh,b2762,[eh],27.975,244,glucose_minimal,581.8831327,0.31,,,
cysi,b2763,[p],63.997,570,glucose_minimal,1466.461629,0.31,,,
cysj,b2764,[p],66.269,599,glucose_minimal,1307.984176,0.31,,,
qued,b2765,,13.773,121,glucose_minimal,,0.31,,,
quee,b2777,,25.029,223,glucose_minimal,,0.31,,,
eno,b2779,[g],45.654,432,glucose_minimal,18792.82184,0.31,,,
pyrg,b2780,[f],60.373,545,glucose_minimal,873.6126869,0.31,,,
rela,b2784,[tk],83.875,744,glucose_minimal,54.17663208,0.31,,,
rlmd,b2785,,48.052,433,glucose_minimal,,0.31,,,
yqca,b2790,[c],16.274,149,glucose_minimal,196.8606261,0.31,,,
quef,b2794,,32.587,282,glucose_minimal,110.5299632,0.31,,,
ygdh,b2795,[r],50.971,454,glucose_minimal,69.81973403,0.31,,,
sdac,b2796,[e],46.906,429,glucose_minimal,,0.31,,,
sdab,b2797,,48.752,455,glucose_minimal,,0.31,,,
fuco,b2799,[c],40.513,382,glucose_minimal,,0.31,,,
fucu,b2804,[g],15.473,140,glucose_minimal,450.4506915,0.31,,,
ygdi,b2809,,8.1741,75,glucose_minimal,2263.130088,0.31,,,
csde,b2811,,15.94,147,glucose_minimal,81.43631464,0.31,,,
mlta,b2813,[m],40.41,365,glucose_minimal,,0.31,,,
amic,b2817,,45.634,417,glucose_minimal,,0.31,,,
arga,b2818,[e],49.195,443,glucose_minimal,37.78643525,0.31,,,
ptra,b2821,,107.71,962,glucose_minimal,,0.31,,,
thya,b2827,[f],30.479,264,glucose_minimal,147.0692633,0.31,,,
ptsp,b2829,[t],83.715,748,glucose_minimal,87.65438936,0.31,,,
tas,b2834,[c],38.499,346,glucose_minimal,185.9553329,0.31,,,
lysa,b2838,[e],46.177,420,glucose_minimal,148.7458824,0.31,,,
kdud,b2842,[iqr],27.07,253,glucose_minimal,,0.31,,,
yqef,b2844,[i],41.018,393,glucose_minimal,,0.31,,,
lyss,b2890,[j],57.603,505,glucose_minimal,2960.870925,0.31,,,
prfb,b2891,[j],41.25,365,glucose_minimal,1216.869116,0.31,,,
dsbc,b2893,[o],25.621,236,glucose_minimal,190.3082429,0.31,,,
cptb,b2897,,10.547,88,glucose_minimal,,0.31,,,
ygfz,b2898,[r],36.094,326,glucose_minimal,1602.095656,0.31,,,
yqfb,b2900,[s],11.905,103,glucose_minimal,323.9646393,0.31,,,
bgla,b2901,[g],55.36,479,glucose_minimal,268.4032775,0.31,,,
gcvp,b2903,[e],104.38,957,glucose_minimal,331.2367433,0.31,,,
gcvh,b2904,[e],13.811,129,glucose_minimal,441.7672605,0.31,,,
gcvt,b2905,[e],40.146,364,glucose_minimal,330.0744358,0.31,,,
pepp,b2908,[e],49.815,441,glucose_minimal,367.0151492,0.31,,,
ygfb,b2909,,21.229,192,glucose_minimal,,0.31,,,
zapa,b2910,[s],12.594,109,glucose_minimal,260.0552832,0.31,,,
sera,b2913,[he],44.175,410,glucose_minimal,7623.283767,0.31,,,
rpia,b2914,[g],22.86,219,glucose_minimal,1952.890544,0.31,,,
argp,b2916,[k],33.471,297,glucose_minimal,147.8304528,0.31,,,
ygge,b2922,[s],26.635,246,glucose_minimal,1453.020896,0.31,,,
mscs,b2924,[m],30.896,286,glucose_minimal,713.0020078,0.31,,,
fbaa,b2925,[g],39.147,359,glucose_minimal,8660.145661,0.31,,,
pgk,b2926,[g],41.118,387,glucose_minimal,17257.25983,0.31,,,
tkta,b2935,,72.211,663,glucose_minimal,2677.916796,0.31,,,
yggg,b2936,[o],26.842,252,glucose_minimal,248.7502141,0.31,,,
speb,b2937,[e],33.557,306,glucose_minimal,295.3593958,0.31,,,
spea,b2938,[e],73.898,658,glucose_minimal,489.5457657,0.31,,,
metk,b2942,[h],41.951,384,glucose_minimal,4159.252547,0.31,,,
galp,b2943,,50.982,464,glucose_minimal,,0.31,,,
gshb,b2947,[hj],35.56,316,glucose_minimal,446.7183381,0.31,,,
yqge,b2948,,20.686,187,glucose_minimal,246.1073776,0.31,,,
yggs,b2951,[r],25.787,234,glucose_minimal,139.0960011,0.31,,,
rdgb,b2954,,21.039,197,glucose_minimal,277.8309564,0.31,,,
yggn,b2958,,26.429,239,glucose_minimal,147.6300759,0.31,,,
yggl,b2959,,12.88,108,glucose_minimal,1271.006183,0.31,,,
trmi,b2960,,27.307,239,glucose_minimal,140.5292687,0.31,,,
yggx,b2962,[co],10.952,91,glucose_minimal,1957.974748,0.31,,,
mltc,b2963,[m],40.112,359,glucose_minimal,,0.31,,,
spec,b2965,,79.415,711,glucose_minimal,22.24964804,0.31,,,
glcb,b2976,[c],80.488,723,glucose_minimal,2069.477241,0.31,,,
glcg,b2977,[r],13.737,134,glucose_minimal,1266.304443,0.31,,,
gss,b2988,[e],70.531,619,glucose_minimal,104.568753,0.31,,,
yghu,b2989,,32.391,288,glucose_minimal,1029.484216,0.31,,,
yghZ,b3001,,38.832,346,glucose_minimal,769.581155,0.31,,,
ygha,b3003,[iqr],31.488,294,glucose_minimal,19.65408109,0.31,,,
exbd,b3005,[u],15.527,141,glucose_minimal,249.0474842,0.31,,,
exbb,b3006,[u],26.287,244,glucose_minimal,194.6524073,0.31,,,
metc,b3008,[e],43.212,395,glucose_minimal,556.2593974,0.31,,,
yqhd,b3011,[c],42.097,387,glucose_minimal,225.6878572,0.31,,,
dkga,b3012,,31.109,275,glucose_minimal,247.5895914,0.31,,,
plsc,b3018,[i],27.453,245,glucose_minimal,,0.31,,,
parc,b3019,[l],83.83,752,glucose_minimal,58.20754379,0.31,,,
ygiw,b3024,[s],14.011,130,glucose_minimal,,0.31,,,
mdab,b3028,[r],21.891,193,glucose_minimal,767.1070658,0.31,,,
ygin,b3029,[s],11.532,104,glucose_minimal,1111.930458,0.31,,,
pare,b3030,[l],70.243,630,glucose_minimal,25.66133281,0.31,,,
cpda,b3032,[r],30.938,275,glucose_minimal,,0.31,,,
nudf,b3034,[lr],23.667,209,glucose_minimal,118.0926301,0.31,,,
tolc,b3035,[mu],53.74,493,glucose_minimal,2888.543502,0.31,,,
ygib,b3037,,23.479,223,glucose_minimal,168.8388466,0.31,,,
ygic,b3038,[e],45.025,386,glucose_minimal,84.52932211,0.31,,,
ribb,b3041,,23.353,217,glucose_minimal,94.97958693,0.31,,,
yqic,b3042,,11.276,96,glucose_minimal,1119.990239,0.31,,,
rfae,b3052,[m],51.05,477,glucose_minimal,631.9097285,0.31,,,
glne,b3053,[ot],108.42,946,glucose_minimal,51.86177206,0.31,,,
ygif,b3054,[s],48.388,433,glucose_minimal,83.46989163,0.31,,,
ygim,b3055,,23.076,206,glucose_minimal,103.9436429,0.31,,,
folb,b3058,[h],13.619,122,glucose_minimal,109.3514699,0.31,,,
ygjd,b3064,[o],36.008,337,glucose_minimal,37.74681211,0.31,,,
rpsu,b3065,[j],8.4999,71,glucose_minimal,10670.32347,0.31,,,
rpod,b3067,[k],70.263,613,glucose_minimal,586.8590337,0.31,,,
mug,b3068,,18.673,168,glucose_minimal,168.2825824,0.31,,,
yqjh,b3070,[p],28.871,254,glucose_minimal,76.30301463,0.31,,,
yqji,b3071,[k],23.401,207,glucose_minimal,,0.31,,,
aer,b3072,[t],55.065,506,glucose_minimal,,0.31,,,
pata,b3073,,49.661,459,glucose_minimal,,0.31,,,
fadh,b3081,[c],72.677,672,glucose_minimal,,0.31,,,
ygjr,b3087,[r],36.214,328,glucose_minimal,145.8815225,0.31,,,
sstt,b3089,[e],43.477,414,glucose_minimal,294.7795397,0.31,,,
uxac,b3092,[g],53.987,470,glucose_minimal,56.04967611,0.31,,,
yqjd,b3098,[s],11.051,101,glucose_minimal,11518.50516,0.31,,,
yqje,b3099,[s],15.147,134,glucose_minimal,,0.31,,,
yqjk,b3100,,11.811,99,glucose_minimal,,0.31,,,
tdcf,b3113,,14.007,129,glucose_minimal,,0.31,,,
agar,b3131,[kg],29.572,269,glucose_minimal,,0.31,,,
rsmi,b3146,,31.348,286,glucose_minimal,80.26439044,0.31,,,
lpoa,b3147,,72.824,678,glucose_minimal,335.7528392,0.31,,,
diaa,b3149,,21.106,196,glucose_minimal,78.59555697,0.31,,,
yrap,b3150,[r],20.028,191,glucose_minimal,634.7829594,0.31,,,
yhbs,b3156,[r],18.534,167,glucose_minimal,244.1688627,0.31,,,
dead,b3162,[lkj],70.545,629,glucose_minimal,352.0141738,0.31,,,
nlpi,b3163,[r],33.62,294,glucose_minimal,,0.31,,,
pnp,b3164,,77.1,711,glucose_minimal,3459.295174,0.31,,,
rpso,b3165,[j],10.269,89,glucose_minimal,14186.5695,0.31,,,
trub,b3166,[j],35.087,314,glucose_minimal,,0.31,,,
rbfa,b3167,[j],15.154,133,glucose_minimal,1436.881761,0.31,,,
infb,b3168,[j],97.349,890,glucose_minimal,2107.242138,0.31,,,
nusa,b3169,[k],54.87,495,glucose_minimal,2235.431875,0.31,,,
argg,b3172,[e],49.898,447,glucose_minimal,4521.506652,0.31,,,
secg,b3175,[u],11.365,110,glucose_minimal,949.1764786,0.31,,,
glmm,b3176,[g],47.543,445,glucose_minimal,930.4380193,0.31,,,
folp,b3177,,30.615,282,glucose_minimal,91.92776616,0.31,,,
ftsh,b3178,[o],70.707,644,glucose_minimal,1152.620028,0.31,,,
rlme,b3179,,23.335,209,glucose_minimal,232.9717627,0.31,,,
yhby,b3180,[j],10.784,97,glucose_minimal,1198.433276,0.31,,,
grea,b3181,,17.641,158,glucose_minimal,2402.029299,0.31,,,
obge,b3183,[r],43.285,390,glucose_minimal,292.8172531,0.31,,,
rpma,b3185,[j],9.1244,85,glucose_minimal,4948.421341,0.31,,,
rplu,b3186,[j],11.564,103,glucose_minimal,16807.01405,0.31,,,
ispb,b3187,[h],35.217,323,glucose_minimal,88.95018503,0.31,,,
mura,b3189,[m],44.817,419,glucose_minimal,349.7313135,0.31,,,
mlab,b3191,,10.68,97,glucose_minimal,,0.31,,,
mlac,b3192,,23.962,211,glucose_minimal,931.9129553,0.31,,,
mlad,b3193,,19.576,183,glucose_minimal,377.327805,0.31,,,
mlaf,b3195,,29.096,269,glucose_minimal,,0.31,,,
kdsd,b3197,[m],35.196,328,glucose_minimal,143.7057593,0.31,,,
kdsc,b3198,[r],19.997,188,glucose_minimal,206.7056348,0.31,,,
lptc,b3199,,21.702,191,glucose_minimal,,0.31,,,
lpta,b3200,,20.127,185,glucose_minimal,,0.31,,,
lptb,b3201,,26.8,241,glucose_minimal,379.2757169,0.31,,,
rpon,b3202,[k],53.989,477,glucose_minimal,29.54325039,0.31,,,
hpf,b3203,,10.75,95,glucose_minimal,1466.130667,0.31,,,
ptsn,b3204,[gt],17.959,163,glucose_minimal,319.4179797,0.31,,,
yhbj,b3205,[r],32.492,284,glucose_minimal,,0.31,,,
elbb,b3209,[q],22.981,217,glucose_minimal,1597.75608,0.31,,,
arcb,b3210,[t],87.982,778,glucose_minimal,42.71722779,0.31,,,
gltb,b3212,[e],163.3,1486,glucose_minimal,953.1554945,0.31,,,
gltd,b3213,[er],52.015,472,glucose_minimal,1182.147608,0.31,,,
nana,b3225,[em],32.593,297,glucose_minimal,81.06746745,0.31,,,
sspb,b3228,[r],18.262,165,glucose_minimal,274.4148825,0.31,,,
sspa,b3229,[o],24.305,212,glucose_minimal,2327.705176,0.31,,,
rpsi,b3230,[j],14.856,130,glucose_minimal,19477.48066,0.31,,,
rplm,b3231,[j],16.018,142,glucose_minimal,14623.28261,0.31,,,
yhcm,b3232,[r],43.063,375,glucose_minimal,26.96396051,0.31,,,
yhcb,b3233,[s],14.961,132,glucose_minimal,3523.033415,0.31,,,
degq,b3234,[o],47.204,455,glucose_minimal,458.1034606,0.31,,,
degs,b3235,[o],37.581,355,glucose_minimal,,0.31,,,
mdh,b3236,[c],32.337,312,glucose_minimal,65653.1424,0.31,,,
argr,b3237,[k],16.994,156,glucose_minimal,187.419935,0.31,,,
tldd,b3244,[r],51.363,481,glucose_minimal,56.27976025,0.31,,,
rng,b3247,[j],55.364,489,glucose_minimal,21.86761603,0.31,,,
yhde,b3248,[d],21.515,197,glucose_minimal,,0.31,,,
mrec,b3250,[m],39.53,367,glucose_minimal,,0.31,,,
mreb,b3251,[d],36.952,347,glucose_minimal,2939.163004,0.31,,,
yhdh,b3253,[cr],34.723,324,glucose_minimal,518.8848516,0.31,,,
accb,b3255,[i],16.687,156,glucose_minimal,1249.365587,0.31,,,
accc,b3256,[i],49.32,449,glucose_minimal,1139.666981,0.31,,,
prma,b3259,[j],31.877,293,glucose_minimal,,0.31,,,
fis,b3261,[kl],11.24,98,glucose_minimal,974.6404699,0.31,,,
yrda,b3279,,20.245,184,glucose_minimal,182.7162428,0.31,,,
aroe,b3281,[e],29.413,272,glucose_minimal,77.92787301,0.31,,,
rimn,b3282,,20.767,190,glucose_minimal,,0.31,,,
def,b3287,[j],19.328,169,glucose_minimal,269.4984129,0.31,,,
fmt,b3288,[j],34.168,315,glucose_minimal,357.9312939,0.31,,,
mscl,b3291,[m],14.957,136,glucose_minimal,967.0029343,0.31,,,
rplq,b3294,[j],14.364,127,glucose_minimal,14452.80058,0.31,,,
rpoa,b3295,[k],36.511,329,glucose_minimal,10536.62911,0.31,,,
rpsd,b3296,[j],23.469,206,glucose_minimal,25662.94447,0.31,,,
rpsk,b3297,[j],13.845,129,glucose_minimal,8174.125265,0.31,,,
rpsm,b3298,[j],13.099,118,glucose_minimal,20396.68919,0.31,,,
rpmj,b3299,[j],4.3643,38,glucose_minimal,,0.31,,,
secy,b3300,[u],48.511,443,glucose_minimal,274.1555827,0.31,,,
rplo,b3301,[j],14.98,144,glucose_minimal,15505.62139,0.31,,,
rpmd,b3302,[j],6.5417,59,glucose_minimal,17131.73466,0.31,,,
rpse,b3303,[j],17.603,167,glucose_minimal,25622.88722,0.31,,,
rplr,b3304,[j],12.769,117,glucose_minimal,11541.10587,0.31,,,
rplf,b3305,[j],18.904,177,glucose_minimal,21936.44299,0.31,,,
rpsh,b3306,[j],14.126,130,glucose_minimal,15082.37825,0.31,,,
rpsn,b3307,[j],11.58,101,glucose_minimal,7278.752748,0.31,,,
rple,b3308,[j],20.301,179,glucose_minimal,24323.004,0.31,,,
rplx,b3309,[j],11.316,104,glucose_minimal,16357.86948,0.31,,,
rpln,b3310,[j],13.541,123,glucose_minimal,10771.10325,0.31,,,
rpsq,b3311,[j],9.7043,84,glucose_minimal,10088.79209,0.31,,,
rpmc,b3312,[j],7.2734,63,glucose_minimal,20029.79028,0.31,,,
rplp,b3313,[j],15.281,136,glucose_minimal,10525.45704,0.31,,,
rpsc,b3314,[j],25.983,233,glucose_minimal,20136.50167,0.31,,,
rplv,b3315,[j],12.226,110,glucose_minimal,24641.53133,0.31,,,
rpss,b3316,[j],10.43,92,glucose_minimal,10988.56669,0.31,,,
rplb,b3317,[j],29.86,273,glucose_minimal,14121.22072,0.31,,,
rplw,b3318,[j],11.199,100,glucose_minimal,3575.490742,0.31,,,
rpld,b3319,[j],22.086,201,glucose_minimal,18206.62446,0.31,,,
rplc,b3320,[j],22.243,209,glucose_minimal,15267.9817,0.31,,,
rpsj,b3321,[j],11.735,103,glucose_minimal,24586.66135,0.31,,,
gsph,b3329,[nu],18.565,169,glucose_minimal,,0.31,,,
bfr,b3336,[p],18.495,158,glucose_minimal,5203.134201,0.31,,,
tufa,b3339,[j],43.283,394,glucose_minimal,107791.1852,0.31,,,
fusa,b3340,[j],77.58,704,glucose_minimal,17577.17562,0.31,,,
rpsg,b3341,[j],20.019,179,glucose_minimal,27481.8542,0.31,,,
rpsl,b3342,[j],13.737,124,glucose_minimal,7298.888814,0.31,,,
yheo,b3346,,26.82,240,glucose_minimal,256.3972878,0.31,,,
fkpa,b3347,[o],28.882,270,glucose_minimal,2172.752663,0.31,,,
slyd,b3349,[o],20.853,196,glucose_minimal,743.3622872,0.31,,,
yhes,b3352,[r],71.843,637,glucose_minimal,27.38987287,0.31,,,
yhfa,b3356,[o],14.517,134,glucose_minimal,259.9734953,0.31,,,
crp,b3357,[t],23.64,210,glucose_minimal,8931.570936,0.31,,,
argd,b3359,[e],43.766,406,glucose_minimal,1139.831311,0.31,,,
ppia,b3363,[o],20.431,190,glucose_minimal,627.8618893,0.31,,,
yhfw,b3380,[g],44.559,408,glucose_minimal,,0.31,,,
trps,b3384,[j],37.437,334,glucose_minimal,1336.870124,0.31,,,
gph,b3385,[r],27.389,252,glucose_minimal,140.7933468,0.31,,,
rpe,b3386,[g],24.554,225,glucose_minimal,728.5962422,0.31,,,
damx,b3388,[s],46.161,428,glucose_minimal,278.8686708,0.31,,,
arob,b3389,[e],38.881,362,glucose_minimal,410.1323004,0.31,,,
arok,b3390,,19.538,173,glucose_minimal,477.4951367,0.31,,,
mrca,b3396,[m],93.635,850,glucose_minimal,25.37298028,0.31,,,
nude,b3397,[lr],21.153,186,glucose_minimal,106.8734694,0.31,,,
yrff,b3398,,79.489,711,glucose_minimal,24.94031299,0.31,,,
hslo,b3401,[o],32.534,292,glucose_minimal,324.6298914,0.31,,,
pck,b3403,[c],59.643,540,glucose_minimal,9945.627368,0.31,,,
ompr,b3405,[tk],27.353,239,glucose_minimal,1339.375288,0.31,,,
yhgf,b3407,,85.119,773,glucose_minimal,254.0554636,0.31,,,
feob,b3409,[p],84.473,773,glucose_minimal,,0.31,,,
nfua,b3414,,20.997,191,glucose_minimal,2202.307525,0.31,,,
malq,b3416,[g],78.503,694,glucose_minimal,38.29575019,0.31,,,
malp,b3417,,90.521,797,glucose_minimal,554.5332139,0.31,,,
malt,b3418,[k],103.12,901,glucose_minimal,196.3322276,0.31,,,
glpr,b3423,[kg],28.048,252,glucose_minimal,50.02598707,0.31,,,
glgp,b3428,[g],93.171,815,glucose_minimal,111.2136179,0.31,,,
glga,b3429,[g],52.822,477,glucose_minimal,281.3986102,0.31,,,
glgc,b3430,[g],48.697,431,glucose_minimal,185.4522213,0.31,,,
glgx,b3431,[g],73.576,657,glucose_minimal,,0.31,,,
glgb,b3432,[g],84.336,728,glucose_minimal,,0.31,,,
asd,b3433,[e],40.017,367,glucose_minimal,5216.031559,0.31,,,
gntr,b3438,,36.422,331,glucose_minimal,26.13375491,0.31,,,
yhhw,b3439,[r],26.279,231,glucose_minimal,,0.31,,,
yhhx,b3440,[r],38.765,345,glucose_minimal,195.188586,0.31,,,
ggt,b3447,[e],61.767,580,glucose_minimal,79.61101383,0.31,,,
yhha,b3448,,16.624,146,glucose_minimal,89.50130482,0.31,,,
ugpq,b3449,[c],27.409,247,glucose_minimal,,0.31,,,
ugpc,b3450,[g],39.523,356,glucose_minimal,,0.31,,,
ugpb,b3453,[g],48.448,438,glucose_minimal,605.3848814,0.31,,,
livf,b3454,,26.31,237,glucose_minimal,294.4408802,0.31,,,
livg,b3455,[e],28.427,255,glucose_minimal,314.5126904,0.31,,,
livm,b3456,[e],46.269,425,glucose_minimal,,0.31,,,
livk,b3458,[e],39.378,369,glucose_minimal,1515.20036,0.31,,,
livj,b3460,,39.076,367,glucose_minimal,24080.11305,0.31,,,
ftsx,b3462,[d],38.543,352,glucose_minimal,49.67302934,0.31,,,
ftse,b3463,[d],24.439,222,glucose_minimal,620.2842578,0.31,,,
ftsy,b3464,[u],54.513,497,glucose_minimal,330.0844833,0.31,,,
znta,b3469,[p],76.839,732,glucose_minimal,178.9748732,0.31,,,
dcrb,b3472,,19.787,185,glucose_minimal,1610.326494,0.31,,,
nikr,b3481,[k],15.094,133,glucose_minimal,,0.31,,,
rbba,b3486,[v],100.78,911,glucose_minimal,,0.31,,,
yhii,b3487,[m],38.828,355,glucose_minimal,289.3825101,0.31,,,
pita,b3493,[p],53.388,499,glucose_minimal,116.8918469,0.31,,,
uspa,b3495,[t],16.066,144,glucose_minimal,28431.60964,0.31,,,
prlc,b3498,[e],77.166,680,glucose_minimal,482.197024,0.31,,,
yhir,b3499,[r],31.941,280,glucose_minimal,,0.31,,,
gor,b3500,[c],48.772,450,glucose_minimal,448.1507357,0.31,,,
slp,b3506,,20.964,188,glucose_minimal,878.1925728,0.31,,,
hdeb,b3509,,12.043,108,glucose_minimal,,0.31,,,
hdea,b3510,,11.857,110,glucose_minimal,1458.703689,0.31,,,
gada,b3517,[e],52.685,466,glucose_minimal,,0.31,,,
yhje,b3523,[gepr],47.207,440,glucose_minimal,42.81188577,0.31,,,
kdgk,b3526,[g],33.962,309,glucose_minimal,,0.31,,,
dcta,b3528,[c],45.436,428,glucose_minimal,1134.979337,0.31,,,
bcsc,b3530,,127.72,1157,glucose_minimal,,0.31,,,
dppf,b3540,[e],37.56,334,glucose_minimal,637.3608404,0.31,,,
dppd,b3541,[ep],35.844,327,glucose_minimal,496.4030136,0.31,,,
dppc,b3542,[ep],32.308,300,glucose_minimal,,0.31,,,
dppb,b3543,[ep],37.497,339,glucose_minimal,,0.31,,,
dppa,b3544,[e],60.293,535,glucose_minimal,14251.25724,0.31,,,
ghrb,b3553,,35.395,324,glucose_minimal,428.8599415,0.31,,,
yiaf,b3554,,25.663,236,glucose_minimal,475.8017419,0.31,,,
cspa,b3556,[k],7.4032,70,glucose_minimal,,0.31,,,
glys,b3559,[j],76.812,689,glucose_minimal,1886.570719,0.31,,,
glyq,b3560,[j],34.774,303,glucose_minimal,1108.595524,0.31,,,
xylf,b3566,[g],35.734,330,glucose_minimal,,0.31,,,
avta,b3572,,46.711,417,glucose_minimal,86.46473449,0.31,,,
aldb,b3588,,56.306,512,glucose_minimal,733.2566894,0.31,,,
selb,b3590,[j],68.867,614,glucose_minimal,74.55785209,0.31,,,
sela,b3591,[e],50.607,463,glucose_minimal,33.96194856,0.31,,,
yibf,b3592,[o],22.545,202,glucose_minimal,304.8852943,0.31,,,
mtla,b3599,[g],67.971,637,glucose_minimal,706.116822,0.31,,,
mtld,b3600,[g],41.139,382,glucose_minimal,394.5640005,0.31,,,
yibl,b3602,,13.696,120,glucose_minimal,438.2669789,0.31,,,
lldd,b3605,[c],42.728,396,glucose_minimal,129.799407,0.31,,,
cyse,b3607,[e],29.316,273,glucose_minimal,245.5573963,0.31,,,
gpsa,b3608,[c],36.361,339,glucose_minimal,355.5024743,0.31,,,
secb,b3609,[u],17.277,155,glucose_minimal,4884.446245,0.31,,,
grxc,b3610,[o],9.1374,83,glucose_minimal,2598.761139,0.31,,,
yibn,b3611,[p],15.596,143,glucose_minimal,2312.313766,0.31,,,
gpmm,b3612,,56.193,514,glucose_minimal,455.6166383,0.31,,,
envc,b3613,,46.594,419,glucose_minimal,49.52439902,0.31,,,
tdh,b3616,[er],37.239,341,glucose_minimal,95.27894336,0.31,,,
kbl,b3617,[h],43.117,398,glucose_minimal,37.72014503,0.31,,,
rfad,b3619,[mg],34.893,310,glucose_minimal,1941.060149,0.31,,,
rfaf,b3620,[m],39.042,348,glucose_minimal,,0.31,,,
waau,b3623,,41.729,357,glucose_minimal,,0.31,,,
rpmg,b3636,[j],6.3715,55,glucose_minimal,7184.207269,0.31,,,
rpmb,b3637,[j],9.0064,78,glucose_minimal,15311.22832,0.31,,,
dfp,b3639,,43.438,406,glucose_minimal,127.5875491,0.31,,,
dut,b3640,[f],16.155,151,glucose_minimal,,0.31,,,
yicc,b3644,[s],33.175,287,glucose_minimal,528.7026045,0.31,,,
gmk,b3648,[f],23.592,207,glucose_minimal,119.809705,0.31,,,
rpoz,b3649,[k],10.236,91,glucose_minimal,3389.60918,0.31,,,
spot,b3650,[tk],79.342,702,glucose_minimal,,0.31,,,
yich,b3655,,62.272,569,glucose_minimal,,0.31,,,
nlpa,b3661,[p],29.423,272,glucose_minimal,1427.526337,0.31,,,
ilvn,b3670,[e],11.106,96,glucose_minimal,2237.718788,0.31,,,
ilvb,b3671,[eh],60.44,562,glucose_minimal,2816.799952,0.31,,,
ibpa,b3687,[o],15.774,137,glucose_minimal,,0.31,,,
yida,b3697,[r],29.721,270,glucose_minimal,139.8880345,0.31,,,
yidb,b3698,,13.786,132,glucose_minimal,177.4845415,0.31,,,
gyrb,b3699,,89.949,804,glucose_minimal,667.7202046,0.31,,,
dnan,b3701,[l],40.586,366,glucose_minimal,219.588779,0.31,,,
dnaa,b3702,[l],52.55,467,glucose_minimal,,0.31,,,
rpmh,b3703,[j],5.3803,46,glucose_minimal,5576.176822,0.31,,,
rnpa,b3704,[j],13.789,119,glucose_minimal,,0.31,,,
yidc,b3705,[u],61.525,548,glucose_minimal,566.8629286,0.31,,,
mnme,b3706,,49.23,454,glucose_minimal,37.80344734,0.31,,,
tnaa,b3708,,52.773,471,glucose_minimal,6490.149551,0.31,,,
tnab,b3709,[e],45.21,415,glucose_minimal,,0.31,,,
yief,b3713,[r],20.375,188,glucose_minimal,335.2898917,0.31,,,
purp,b3714,,46.865,445,glucose_minimal,,0.31,,,
phou,b3724,[p],27.417,241,glucose_minimal,73.70474214,0.31,,,
pstb,b3725,[p],29.027,257,glucose_minimal,101.6840307,0.31,,,
psts,b3728,[p],37.023,346,glucose_minimal,445.4994468,0.31,,,
glms,b3729,[m],66.894,609,glucose_minimal,1162.407571,0.31,,,
glmu,b3730,[m],49.19,456,glucose_minimal,127.8515193,0.31,,,
atpc,b3731,[c],15.068,139,glucose_minimal,2394.229572,0.31,,,
atpd,b3732,[c],50.325,460,glucose_minimal,19686.63747,0.31,,,
atpg,b3733,[c],31.577,287,glucose_minimal,5928.261565,0.31,,,
atpa,b3734,[c],55.221,513,glucose_minimal,19124.61561,0.31,,,
atph,b3735,[c],19.332,177,glucose_minimal,4704.946924,0.31,,,
atpf,b3736,[c],17.264,156,glucose_minimal,8442.427055,0.31,,,
atpe,b3737,[c],8.256,79,glucose_minimal,4982.76816,0.31,,,
atpb,b3738,[c],30.303,271,glucose_minimal,676.6476079,0.31,,,
rsmg,b3740,,23.431,207,glucose_minimal,144.2464564,0.31,,,
mnmg,b3741,,69.52,629,glucose_minimal,36.38589983,0.31,,,
mioc,b3742,[c],15.807,147,glucose_minimal,,0.31,,,
asna,b3744,[e],36.65,330,glucose_minimal,319.4626767,0.31,,,
rbsd,b3748,[g],15.292,139,glucose_minimal,,0.31,,,
rbsb,b3751,[g],30.95,296,glucose_minimal,11436.12822,0.31,,,
rbsk,b3752,[g],32.29,309,glucose_minimal,93.53027719,0.31,,,
yiep,b3755,,26.076,230,glucose_minimal,,0.31,,,
yife,b3764,[s],13.133,112,glucose_minimal,5072.683908,0.31,,,
ilve,b3770,,34.093,309,glucose_minimal,1412.722864,0.31,,,
ilvd,b3771,,65.531,616,glucose_minimal,246.7645329,0.31,,,
ilva,b3772,[e],56.195,514,glucose_minimal,99.05044336,0.31,,,
ilvc,b3774,[eh],54.068,491,glucose_minimal,24385.16231,0.31,,,
ppic,b3775,[o],10.232,93,glucose_minimal,951.2328938,0.31,,,
