gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,,,,,,,,
yejk,b2186,[r],37.822,335,rich,544.7963711,0.25,,,,,,,,,,
yejl,b2187,[s],8.2884,75,rich,,0.25,,,,,,,,,,
narp,b2193,[tk],23.575,215,rich,,0.25,,,,,,,,,,
eco,b2209,[r],18.192,162,rich,300.4214208,0.25,,,,,,,,,,
mqo,b2210,[r],60.229,548,rich,,0.25,,,,,,,,,,
ompc,b2215,[m],40.368,367,rich,63999.81292,0.25,,,,,,,,,,
rcsd,b2216,[t],100.37,890,rich,,0.25,,,,,,,,,,
rcsb,b2217,[tk],23.67,216,rich,1489.761403,0.25,,,,,,,,,,
gyra,b2231,[l],96.962,875,rich,794.425072,0.25,,,,,,,,,,
ubig,b2232,[h],26.555,240,rich,433.6695077,0.25,,,,,,,,,,
nrda,b2234,[f],85.774,761,rich,802.371931,0.25,,,,,,,,,,
nrdb,b2235,[f],43.517,376,rich,575.8257937,0.25,,,,,,,,,,
yfay,b2249,[r],44.225,400,rich,,0.25,,,,,,,,,,
arnb,b2253,,41.649,379,rich,292.5552524,0.25,,,,,,,,,,
arnc,b2254,,36.339,322,rich,,0.25,,,,,,,,,,
arna,b2255,,74.288,660,rich,,0.25,,,,,,,,,,
menb,b2262,[h],31.633,285,rich,399.6842698,0.25,,,,,,,,,,
elab,b2266,[s],11.306,101,rich,6163.202013,0.25,,,,,,,,,,
elaa,b2267,[r],17.419,153,rich,,0.25,,,,,,,,,,
nuom,b2277,[c],56.524,509,rich,,0.25,,,,,,,,,,
nuoj,b2280,[c],19.874,184,rich,,0.25,,,,,,,,,,
nuoi,b2281,[c],20.538,180,rich,1217.112926,0.25,,,,,,,,,,
nuoh,b2282,[c],36.219,325,rich,,0.25,,,,,,,,,,
nuog,b2283,,100.3,908,rich,1083.108383,0.25,,,,,,,,,,
nuof,b2284,[c],49.292,445,rich,1891.19685,0.25,,,,,,,,,,
nuoe,b2285,[c],18.59,166,rich,709.9362782,0.25,,,,,,,,,,
nuoc,b2286,[c],68.235,596,rich,1807.64762,0.25,,,,,,,,,,
nuob,b2287,[c],25.056,220,rich,1820.120567,0.25,,,,,,,,,,
nuoa,b2288,,16.457,147,rich,,0.25,,,,,,,,,,
alaa,b2290,,45.517,405,rich,126.4038072,0.25,,,,,,,,,,
yfbr,b2291,[r],22.708,199,rich,,0.25,,,,,,,,,,
yfbt,b2293,[r],23.007,216,rich,,0.25,,,,,,,,,,
yfbu,b2294,[s],19.536,164,rich,1719.196893,0.25,,,,,,,,,,
acka,b2296,[c],43.29,400,rich,1601.787487,0.25,,,,,,,,,,
pta,b2297,[r],77.171,714,rich,1600.663233,0.25,,,,,,,,,,
yfcd,b2299,[lr],20.376,180,rich,,0.25,,,,,,,,,,
yfce,b2300,,20.122,184,rich,221.2670753,0.25,,,,,,,,,,
yfcg,b2302,[o],24.516,215,rich,,0.25,,,,,,,,,,
folx,b2303,[h],14.082,120,rich,997.2736954,0.25,,,,,,,,,,
yfch,b2304,[r],32.698,297,rich,167.8000432,0.25,,,,,,,,,,
hisp,b2306,[e],28.653,257,rich,125.3289439,0.25,,,,,,,,,,
hisq,b2308,[e],24.649,228,rich,,0.25,,,,,,,,,,
hisj,b2309,[et],28.483,260,rich,3323.712461,0.25,,,,,,,,,,
argt,b2310,[et],27.991,260,rich,11979.15855,0.25,,,,,,,,,,
purf,b2312,[f],56.487,505,rich,287.6664639,0.25,,,,,,,,,,
dedd,b2314,[s],22.938,220,rich,104.4859784,0.25,,,,,,,,,,
folc,b2315,[h],45.405,422,rich,80.7024014,0.25,,,,,,,,,,
accd,b2316,[i],33.322,304,rich,1601.581559,0.25,,,,,,,,,,
usg,b2319,[e],36.364,337,rich,178.276225,0.25,,,,,,,,,,
pdxb,b2320,[he],41.367,378,rich,449.8263583,0.25,,,,,,,,,,
fabb,b2323,[iq],42.613,406,rich,13668.37652,0.25,,,,,,,,,,
aroc,b2329,[e],39.137,361,rich,231.1483877,0.25,,,,,,,,,,
prmb,b2330,,35.001,310,rich,356.9189084,0.25,,,,,,,,,,
fadj,b2341,,77.071,714,rich,,0.25,,,,,,,,,,
fadi,b2342,,46.53,436,rich,,0.25,,,,,,,,,,
yfcz,b2343,[s],10.318,94,rich,,0.25,,,,,,,,,,
fadl,b2344,[i],48.541,446,rich,1719.070693,0.25,,,,,,,,,,
mlaa,b2346,,28.041,251,rich,312.0189386,0.25,,,,,,,,,,
ints,b2349,[l],44.061,385,rich,,0.25,,,,,,,,,,
gtrb,b2351,,34.635,306,rich,89.08991292,0.25,,,,,,,,,,
gtrs,b2352,,51.483,443,rich,,0.25,,,,,,,,,,
evga,b2369,[tk],22.69,204,rich,138.6036618,0.25,,,,,,,,,,
alac,b2379,,46.216,412,rich,,0.25,,,,,,,,,,
frya,b2383,,92.129,831,rich,,0.25,,,,,,,,,,
glk,b2388,[g],34.723,321,rich,782.5676203,0.25,,,,,,,,,,
nupc,b2393,[f],43.475,400,rich,86.9666795,0.25,,,,,,,,,,
gltx,b2400,[j],53.815,471,rich,1539.347843,0.25,,,,,,,,,,
liga,b2411,[l],73.605,671,rich,,0.25,,,,,,,,,,
zipa,b2412,[d],36.475,328,rich,314.5898445,0.25,,,,,,,,,,
cysk,b2414,[e],34.489,323,rich,25243.00199,0.25,,,,,,,,,,
ptsh,b2415,[g],9.1193,85,rich,12600.72886,0.25,,,,,,,,,,
ptsi,b2416,[g],63.561,575,rich,2771.197233,0.25,,,,,,,,,,
crr,b2417,[g],18.251,169,rich,25243.25983,0.25,,,,,,,,,,
pdxk,b2418,[h],30.847,283,rich,111.1896015,0.25,,,,,,,,,,
cysm,b2421,[e],32.664,303,rich,307.1498152,0.25,,,,,,,,,,
cysa,b2422,[p],41.058,365,rich,227.4142692,0.25,,,,,,,,,,
cysw,b2423,,32.537,291,rich,,0.25,,,,,,,,,,
cysp,b2425,[p],37.614,338,rich,1011.412463,0.25,,,,,,,,,,
ucpa,b2426,,27.85,263,rich,558.4201209,0.25,,,,,,,,,,
murq,b2428,,31.22,298,rich,,0.25,,,,,,,,,,
yfex,b2431,,33.052,299,rich,459.9147278,0.25,,,,,,,,,,
yfey,b2432,,20.897,191,rich,,0.25,,,,,,,,,,
amia,b2435,[m],31.412,289,rich,,0.25,,,,,,,,,,
yffs,b2450,,29.751,269,rich,,0.25,,,,,,,,,,
eutm,b2457,,9.8654,97,rich,,0.25,,,,,,,,,,
maeb,b2463,[c],82.416,759,rich,6092.281758,0.25,,,,,,,,,,
tala,b2464,[g],35.658,316,rich,1294.691731,0.25,,,,,,,,,,
tktb,b2465,[g],73.042,667,rich,853.0740854,0.25,,,,,,,,,,
yffb,b2471,[p],13.6,118,rich,,0.25,,,,,,,,,,
dape,b2472,[e],41.269,375,rich,,0.25,,,,,,,,,,
tmca,b2474,,74.892,671,rich,,0.25,,,,,,,,,,
ypfj,b2475,[r],31.46,287,rich,,0.25,,,,,,,,,,
purc,b2476,[f],26.995,237,rich,9112.331688,0.25,,,,,,,,,,
bamc,b2477,,36.842,344,rich,1235.364979,0.25,,,,,,,,,,
dapa,b2478,[em],31.27,292,rich,1084.713987,0.25,,,,,,,,,,
gcvr,b2479,,20.768,190,rich,,0.25,,,,,,,,,,
bcp,b2480,[o],17.634,156,rich,3411.167231,0.25,,,,,,,,,,
yfgc,b2494,[r],53.907,487,rich,228.5149905,0.25,,,,,,,,,,
yfgd,b2495,[p],13.398,119,rich,,0.25,,,,,,,,,,
uraa,b2497,[f],45.06,429,rich,,0.25,,,,,,,,,,
upp,b2498,[f],22.533,208,rich,5869.472306,0.25,,,,,,,,,,
purm,b2499,[f],36.854,345,rich,1031.656601,0.25,,,,,,,,,,
purn,b2500,[f],23.238,212,rich,125.1418644,0.25,,,,,,,,,,
ppk,b2501,[p],80.431,688,rich,32.09108663,0.25,,,,,,,,,,
ppx,b2502,,58.135,513,rich,,0.25,,,,,,,,,,
guaa,b2507,[f],58.679,525,rich,1640.882406,0.25,,,,,,,,,,
guab,b2508,[f],52.022,488,rich,3021.028438,0.25,,,,,,,,,,
der,b2511,[r],55.035,490,rich,321.7923185,0.25,,,,,,,,,,
bamb,b2512,,41.887,392,rich,517.0394581,0.25,,,,,,,,,,
yfgm,b2513,[s],22.176,206,rich,668.4454666,0.25,,,,,,,,,,
hiss,b2514,[j],47.029,424,rich,943.2747656,0.25,,,,,,,,,,
ispg,b2515,[i],40.683,372,rich,476.2736164,0.25,,,,,,,,,,
rodz,b2516,,36.191,337,rich,635.0932314,0.25,,,,,,,,,,
rlmn,b2517,,43.085,384,rich,,0.25,,,,,,,,,,
ndk,b2518,[f],15.463,143,rich,26719.58462,0.25,,,,,,,,,,
yfhm,b2520,[r],181.58,1653,rich,,0.25,,,,,,,,,,
ssea,b2521,,30.811,281,rich,631.0013728,0.25,,,,,,,,,,
sseb,b2522,,28.642,258,rich,,0.25,,,,,,,,,,
pepb,b2523,,46.18,427,rich,2219.599741,0.25,,,,,,,,,,
iscx,b2524,,7.7315,66,rich,,0.25,,,,,,,,,,
fdx,b2525,[c],12.331,111,rich,652.8432542,0.25,,,,,,,,,,
hsca,b2526,[o],65.652,616,rich,151.3710978,0.25,,,,,,,,,,
hscb,b2527,[o],20.137,171,rich,226.8205084,0.25,,,,,,,,,,
isca,b2528,[s],11.556,107,rich,,0.25,,,,,,,,,,
iscu,b2529,[c],13.848,128,rich,5610.814103,0.25,,,,,,,,,,
iscs,b2530,,45.089,404,rich,5698.005234,0.25,,,,,,,,,,
iscr,b2531,[k],17.336,162,rich,1827.838865,0.25,,,,,,,,,,
trmj,b2532,,27.048,246,rich,210.3634417,0.25,,,,,,,,,,
suhb,b2533,[g],29.172,267,rich,618.2145759,0.25,,,,,,,,,,
glya,b2551,[e],45.316,417,rich,8172.972982,0.25,,,,,,,,,,
hmp,b2552,[c],43.867,396,rich,28.11757711,0.25,,,,,,,,,,
glnb,b2553,[e],12.425,112,rich,1813.300387,0.25,,,,,,,,,,
purl,b2557,[f],141.4,1295,rich,793.0562781,0.25,,,,,,,,,,
pdxj,b2564,[h],26.384,243,rich,651.6557694,0.25,,,,,,,,,,
rnc,b2567,[k],25.55,226,rich,,0.25,,,,,,,,,,
lepb,b2568,[u],35.96,324,rich,218.3063651,0.25,,,,,,,,,,
lepa,b2569,[m],66.57,599,rich,499.1483479,0.25,,,,,,,,,,
rseb,b2571,[t],35.749,318,rich,,0.25,,,,,,,,,,
rsea,b2572,[t],24.321,216,rich,,0.25,,,,,,,,,,
rpoe,b2573,[k],21.695,191,rich,,0.25,,,,,,,,,,
nadb,b2574,[h],60.337,540,rich,,0.25,,,,,,,,,,
srmb,b2576,[lkj],49.914,444,rich,,0.25,,,,,,,,,,
yfid,b2579,[r],14.284,127,rich,1858.840553,0.25,,,,,,,,,,
ung,b2580,[l],25.693,229,rich,,0.25,,,,,,,,,,
yfif,b2581,[j],37.784,345,rich,,0.25,,,,,,,,,,
trxc,b2582,[oc],15.555,139,rich,,0.25,,,,,,,,,,
pka,b2584,,97.986,886,rich,,0.25,,,,,,,,,,
pssa,b2585,,52.801,451,rich,403.9875149,0.25,,,,,,,,,,
kgtp,b2587,[gepr],47.052,432,rich,242.3119032,0.25,,,,,,,,,,
clpb,b2592,[o],95.584,857,rich,2040.649825,0.25,,,,,,,,,,
yfih,b2593,[s],26.339,243,rich,,0.25,,,,,,,,,,
rlud,b2594,[j],37.121,326,rich,,0.25,,,,,,,,,,
bamd,b2595,,27.829,245,rich,1097.646799,0.25,,,,,,,,,,
raia,b2597,,12.784,113,rich,2728.441926,0.25,,,,,,,,,,
phea,b2599,[e],43.111,386,rich,1940.050275,0.25,,,,,,,,,,
tyra,b2600,[e],42.042,373,rich,92.53590244,0.25,,,,,,,,,,
arof,b2601,[e],38.804,356,rich,110.669542,0.25,,,,,,,,,,
rpls,b2606,[j],13.133,115,rich,12713.04124,0.25,,,,,,,,,,
rimm,b2608,,20.605,182,rich,321.1252833,0.25,,,,,,,,,,
rpsp,b2609,[j],9.1904,82,rich,18820.99273,0.25,,,,,,,,,,
ffh,b2610,[u],49.787,453,rich,532.6339465,0.25,,,,,,,,,,
grpe,b2614,[o],21.798,197,rich,4016.749954,0.25,,,,,,,,,,
bame,b2617,,12.302,113,rich,195.8546126,0.25,,,,,,,,,,
smpb,b2620,[o],18.269,160,rich,,0.25,,,,,,,,,,
csid,b2659,,37.36,325,rich,311.1349618,0.25,,,,,,,,,,
gabd,b2661,[c],51.719,482,rich,1815.581395,0.25,,,,,,,,,,
gabt,b2662,[e],45.774,426,rich,1782.515503,0.25,,,,,,,,,,
ygau,b2665,[s],16.063,149,rich,12893.85664,0.25,,,,,,,,,,
stpa,b2669,[r],15.347,134,rich,1195.873107,0.25,,,,,,,,,,
ygam,b2672,,12.288,113,rich,685.6302268,0.25,,,,,,,,,,
prox,b2679,[e],36.022,330,rich,34.2469448,0.25,,,,,,,,,,
mpra,b2684,[k],20.563,176,rich,198.2394098,0.25,,,,,,,,,,
emra,b2685,[v],42.736,390,rich,,0.25,,,,,,,,,,
luxs,b2687,[t],19.416,171,rich,3384.431403,0.25,,,,,,,,,,
gsha,b2688,[h],58.269,518,rich,125.8051521,0.25,,,,,,,,,,
yqab,b2690,[r],20.78,188,rich,,0.25,,,,,,,,,,
csra,b2696,[t],6.8558,61,rich,3792.533521,0.25,,,,,,,,,,
alas,b2697,[j],96.031,876,rich,1298.778784,0.25,,,,,,,,,,
reca,b2699,[l],37.973,353,rich,2407.307692,0.25,,,,,,,,,,
ygad,b2700,[r],17.582,165,rich,,0.25,,,,,,,,,,
gutq,b2708,[m],34.031,321,rich,,0.25,,,,,,,,,,
rpos,b2741,[k],37.971,330,rich,111.3010379,0.25,,,,,,,,,,
nlpd,b2742,[m],40.149,379,rich,,0.25,,,,,,,,,,
pcm,b2743,,23.257,208,rich,,0.25,,,,,,,,,,
trud,b2745,[s],39.091,349,rich,,0.25,,,,,,,,,,
ispf,b2746,[i],16.897,159,rich,,0.25,,,,,,,,,,
cysc,b2750,[p],22.321,201,rich,85.89384819,0.25,,,,,,,,,,
cysn,b2751,[p],52.558,475,rich,427.2001856,0.25,,,,,,,,,,
cysd,b2752,[eh],35.188,302,rich,426.1969746,0.25,,,,,,,,,,
cysh,b2762,[eh],27.975,244,rich,313.5310169,0.25,,,,,,,,,,
cysi,b2763,[p],63.997,570,rich,648.9123455,0.25,,,,,,,,,,
cysj,b2764,[p],66.269,599,rich,553.1439523,0.25,,,,,,,,,,
qued,b2765,,13.773,121,rich,,0.25,,,,,,,,,,
quee,b2777,,25.029,223,rich,,0.25,,,,,,,,,,
eno,b2779,[g],45.654,432,rich,23929.0365,0.25,,,,,,,,,,
pyrg,b2780,[f],60.373,545,rich,796.5510575,0.25,,,,,,,,,,
rela,b2784,[tk],83.875,744,rich,,0.25,,,,,,,,,,
rlmd,b2785,,48.052,433,rich,,0.25,,,,,,,,,,
yqca,b2790,[c],16.274,149,rich,327.0775886,0.25,,,,,,,,,,
quef,b2794,,32.587,282,rich,,0.25,,,,,,,,,,
ygdh,b2795,[r],50.971,454,rich,74.68946281,0.25,,,,,,,,,,
sdac,b2796,[e],46.906,429,rich,,0.25,,,,,,,,,,
sdab,b2797,,48.752,455,rich,,0.25,,,,,,,,,,
fuco,b2799,[c],40.513,382,rich,161.9595506,0.25,,,,,,,,,,
fucu,b2804,[g],15.473,140,rich,,0.25,,,,,,,,,,
ygdi,b2809,,8.1741,75,rich,4879.950322,0.25,,,,,,,,,,
csde,b2811,,15.94,147,rich,75.88144405,0.25,,,,,,,,,,
mlta,b2813,[m],40.41,365,rich,,0.25,,,,,,,,,,
amic,b2817,,45.634,417,rich,,0.25,,,,,,,,,,
arga,b2818,[e],49.195,443,rich,,0.25,,,,,,,,,,
ptra,b2821,,107.71,962,rich,,0.25,,,,,,,,,,
thya,b2827,[f],30.479,264,rich,89.51502928,0.25,,,,,,,,,,
ptsp,b2829,[t],83.715,748,rich,,0.25,,,,,,,,,,
tas,b2834,[c],38.499,346,rich,152.7018424,0.25,,,,,,,,,,
lysa,b2838,[e],46.177,420,rich,,0.25,,,,,,,,,,
kdud,b2842,[iqr],27.07,253,rich,,0.25,,,,,,,,,,
yqef,b2844,[i],41.018,393,rich,,0.25,,,,,,,,,,
lyss,b2890,[j],57.603,505,rich,2633.660504,0.25,,,,,,,,,,
prfb,b2891,[j],41.25,365,rich,1126.712476,0.25,,,,,,,,,,
dsbc,b2893,[o],25.621,236,rich,219.5394055,0.25,,,,,,,,,,
cptb,b2897,,10.547,88,rich,,0.25,,,,,,,,,,
ygfz,b2898,[r],36.094,326,rich,1848.254709,0.25,,,,,,,,,,
yqfb,b2900,[s],11.905,103,rich,,0.25,,,,,,,,,,
bgla,b2901,[g],55.36,479,rich,290.695818,0.25,,,,,,,,,,
gcvp,b2903,[e],104.38,957,rich,603.6262632,0.25,,,,,,,,,,
gcvh,b2904,[e],13.811,129,rich,1008.19883,0.25,,,,,,,,,,
gcvt,b2905,[e],40.146,364,rich,704.9333028,0.25,,,,,,,,,,
pepp,b2908,[e],49.815,441,rich,341.8135479,0.25,,,,,,,,,,
ygfb,b2909,,21.229,192,rich,,0.25,,,,,,,,,,
zapa,b2910,[s],12.594,109,rich,,0.25,,,,,,,,,,
sera,b2913,[he],44.175,410,rich,3578.236281,0.25,,,,,,,,,,
rpia,b2914,[g],22.86,219,rich,1985.749591,0.25,,,,,,,,,,
argp,b2916,[k],33.471,297,rich,149.472476,0.25,,,,,,,,,,
ygge,b2922,[s],26.635,246,rich,1626.952345,0.25,,,,,,,,,,
mscs,b2924,[m],30.896,286,rich,318.041829,0.25,,,,,,,,,,
fbaa,b2925,[g],39.147,359,rich,10594.57782,0.25,,,,,,,,,,
pgk,b2926,[g],41.118,387,rich,20768.00195,0.25,,,,,,,,,,
tkta,b2935,,72.211,663,rich,2804.195643,0.25,,,,,,,,,,
yggg,b2936,[o],26.842,252,rich,310.2186248,0.25,,,,,,,,,,
speb,b2937,[e],33.557,306,rich,433.7997643,0.25,,,,,,,,,,
spea,b2938,[e],73.898,658,rich,554.0146747,0.25,,,,,,,,,,
metk,b2942,[h],41.951,384,rich,3263.856295,0.25,,,,,,,,,,
galp,b2943,,50.982,464,rich,,0.25,,,,,,,,,,
gshb,b2947,[hj],35.56,316,rich,426.783864,0.25,,,,,,,,,,
yqge,b2948,,20.686,187,rich,,0.25,,,,,,,,,,
yggs,b2951,[r],25.787,234,rich,,0.25,,,,,,,,,,
rdgb,b2954,,21.039,197,rich,238.5590943,0.25,,,,,,,,,,
yggn,b2958,,26.429,239,rich,,0.25,,,,,,,,,,
yggl,b2959,,12.88,108,rich,1492.971241,0.25,,,,,,,,,,
trmi,b2960,,27.307,239,rich,,0.25,,,,,,,,,,
yggx,b2962,[co],10.952,91,rich,2885.800643,0.25,,,,,,,,,,
mltc,b2963,[m],40.112,359,rich,,0.25,,,,,,,,,,
spec,b2965,,79.415,711,rich,,0.25,,,,,,,,,,
glcb,b2976,[c],80.488,723,rich,1962.726764,0.25,,,,,,,,,,
glcg,b2977,[r],13.737,134,rich,1072.914068,0.25,,,,,,,,,,
gss,b2988,[e],70.531,619,rich,,0.25,,,,,,,,,,
yghu,b2989,,32.391,288,rich,1478.065885,0.25,,,,,,,,,,
yghZ,b3001,,38.832,346,rich,474.5902628,0.25,,,,,,,,,,
ygha,b3003,[iqr],31.488,294,rich,,0.25,,,,,,,,,,
exbd,b3005,[u],15.527,141,rich,143.6961446,0.25,,,,,,,,,,
exbb,b3006,[u],26.287,244,rich,,0.25,,,,,,,,,,
metc,b3008,[e],43.212,395,rich,383.7035046,0.25,,,,,,,,,,
yqhd,b3011,[c],42.097,387,rich,334.8951664,0.25,,,,,,,,,,
dkga,b3012,,31.109,275,rich,403.5411479,0.25,,,,,,,,,,
plsc,b3018,[i],27.453,245,rich,,0.25,,,,,,,,,,
parc,b3019,[l],83.83,752,rich,,0.25,,,,,,,,,,
ygiw,b3024,[s],14.011,130,rich,753.6099003,0.25,,,,,,,,,,
mdab,b3028,[r],21.891,193,rich,832.7614527,0.25,,,,,,,,,,
ygin,b3029,[s],11.532,104,rich,1119.05378,0.25,,,,,,,,,,
pare,b3030,[l],70.243,630,rich,,0.25,,,,,,,,,,
cpda,b3032,[r],30.938,275,rich,,0.25,,,,,,,,,,
nudf,b3034,[lr],23.667,209,rich,,0.25,,,,,,,,,,
tolc,b3035,[mu],53.74,493,rich,3091.980811,0.25,,,,,,,,,,
ygib,b3037,,23.479,223,rich,164.3577037,0.25,,,,,,,,,,
ygic,b3038,[e],45.025,386,rich,96.15319924,0.25,,,,,,,,,,
ribb,b3041,,23.353,217,rich,,0.25,,,,,,,,,,
yqic,b3042,,11.276,96,rich,1309.896233,0.25,,,,,,,,,,
rfae,b3052,[m],51.05,477,rich,633.5965394,0.25,,,,,,,,,,
glne,b3053,[ot],108.42,946,rich,53.13226478,0.25,,,,,,,,,,
ygif,b3054,[s],48.388,433,rich,72.64071161,0.25,,,,,,,,,,
ygim,b3055,,23.076,206,rich,,0.25,,,,,,,,,,
folb,b3058,[h],13.619,122,rich,,0.25,,,,,,,,,,
ygjd,b3064,[o],36.008,337,rich,60.27377054,0.25,,,,,,,,,,
rpsu,b3065,[j],8.4999,71,rich,9202.82548,0.25,,,,,,,,,,
rpod,b3067,[k],70.263,613,rich,635.8604473,0.25,,,,,,,,,,
mug,b3068,,18.673,168,rich,145.1384757,0.25,,,,,,,,,,
yqjh,b3070,[p],28.871,254,rich,,0.25,,,,,,,,,,
yqji,b3071,[k],23.401,207,rich,,0.25,,,,,,,,,,
aer,b3072,[t],55.065,506,rich,,0.25,,,,,,,,,,
pata,b3073,,49.661,459,rich,,0.25,,,,,,,,,,
fadh,b3081,[c],72.677,672,rich,,0.25,,,,,,,,,,
ygjr,b3087,[r],36.214,328,rich,,0.25,,,,,,,,,,
sstt,b3089,[e],43.477,414,rich,,0.25,,,,,,,,,,
uxac,b3092,[g],53.987,470,rich,35.55944906,0.25,,,,,,,,,,
yqjd,b3098,[s],11.051,101,rich,13500.99323,0.25,,,,,,,,,,
yqje,b3099,[s],15.147,134,rich,,0.25,,,,,,,,,,
yqjk,b3100,,11.811,99,rich,,0.25,,,,,,,,,,
tdcf,b3113,,14.007,129,rich,,0.25,,,,,,,,,,
agar,b3131,[kg],29.572,269,rich,,0.25,,,,,,,,,,
rsmi,b3146,,31.348,286,rich,,0.25,,,,,,,,,,
lpoa,b3147,,72.824,678,rich,313.8955502,0.25,,,,,,,,,,
diaa,b3149,,21.106,196,rich,,0.25,,,,,,,,,,
yrap,b3150,[r],20.028,191,rich,715.6209408,0.25,,,,,,,,,,
yhbs,b3156,[r],18.534,167,rich,,0.25,,,,,,,,,,
dead,b3162,[lkj],70.545,629,rich,,0.25,,,,,,,,,,
nlpi,b3163,[r],33.62,294,rich,,0.25,,,,,,,,,,
pnp,b3164,,77.1,711,rich,3680.243821,0.25,,,,,,,,,,
rpso,b3165,[j],10.269,89,rich,12563.85604,0.25,,,,,,,,,,
trub,b3166,[j],35.087,314,rich,,0.25,,,,,,,,,,
rbfa,b3167,[j],15.154,133,rich,1603.576004,0.25,,,,,,,,,,
infb,b3168,[j],97.349,890,rich,1875.803929,0.25,,,,,,,,,,
nusa,b3169,[k],54.87,495,rich,2061.260736,0.25,,,,,,,,,,
argg,b3172,[e],49.898,447,rich,2112.701467,0.25,,,,,,,,,,
secg,b3175,[u],11.365,110,rich,846.3103602,0.25,,,,,,,,,,
glmm,b3176,[g],47.543,445,rich,912.5927378,0.25,,,,,,,,,,
folp,b3177,,30.615,282,rich,,0.25,,,,,,,,,,
ftsh,b3178,[o],70.707,644,rich,1073.490097,0.25,,,,,,,,,,
rlme,b3179,,23.335,209,rich,211.858085,0.25,,,,,,,,,,
yhby,b3180,[j],10.784,97,rich,1139.244151,0.25,,,,,,,,,,
grea,b3181,,17.641,158,rich,2593.068048,0.25,,,,,,,,,,
obge,b3183,[r],43.285,390,rich,320.3809986,0.25,,,,,,,,,,
rpma,b3185,[j],9.1244,85,rich,4081.511457,0.25,,,,,,,,,,
rplu,b3186,[j],11.564,103,rich,14989.13584,0.25,,,,,,,,,,
ispb,b3187,[h],35.217,323,rich,,0.25,,,,,,,,,,
mura,b3189,[m],44.817,419,rich,307.2853631,0.25,,,,,,,,,,
mlab,b3191,,10.68,97,rich,,0.25,,,,,,,,,,
mlac,b3192,,23.962,211,rich,1007.40131,0.25,,,,,,,,,,
mlad,b3193,,19.576,183,rich,499.0174052,0.25,,,,,,,,,,
mlaf,b3195,,29.096,269,rich,65.35728288,0.25,,,,,,,,,,
kdsd,b3197,[m],35.196,328,rich,192.7657888,0.25,,,,,,,,,,
kdsc,b3198,[r],19.997,188,rich,193.1422817,0.25,,,,,,,,,,
lptc,b3199,,21.702,191,rich,57.80030898,0.25,,,,,,,,,,
lpta,b3200,,20.127,185,rich,,0.25,,,,,,,,,,
lptb,b3201,,26.8,241,rich,,0.25,,,,,,,,,,
rpon,b3202,[k],53.989,477,rich,,0.25,,,,,,,,,,
hpf,b3203,,10.75,95,rich,2166.99873,0.25,,,,,,,,,,
ptsn,b3204,[gt],17.959,163,rich,,0.25,,,,,,,,,,
yhbj,b3205,[r],32.492,284,rich,,0.25,,,,,,,,,,
elbb,b3209,[q],22.981,217,rich,2040.719561,0.25,,,,,,,,,,
arcb,b3210,[t],87.982,778,rich,,0.25,,,,,,,,,,
gltb,b3212,[e],163.3,1486,rich,363.5349256,0.25,,,,,,,,,,
gltd,b3213,[er],52.015,472,rich,413.9463325,0.25,,,,,,,,,,
nana,b3225,[em],32.593,297,rich,,0.25,,,,,,,,,,
sspb,b3228,[r],18.262,165,rich,,0.25,,,,,,,,,,
sspa,b3229,[o],24.305,212,rich,2748.441915,0.25,,,,,,,,,,
rpsi,b3230,[j],14.856,130,rich,16653.15838,0.25,,,,,,,,,,
rplm,b3231,[j],16.018,142,rich,12239.73965,0.25,,,,,,,,,,
yhcm,b3232,[r],43.063,375,rich,,0.25,,,,,,,,,,
yhcb,b3233,[s],14.961,132,rich,3043.638239,0.25,,,,,,,,,,
degq,b3234,[o],47.204,455,rich,469.0283532,0.25,,,,,,,,,,
degs,b3235,[o],37.581,355,rich,,0.25,,,,,,,,,,
mdh,b3236,[c],32.337,312,rich,80673.23092,0.25,,,,,,,,,,
argr,b3237,[k],16.994,156,rich,438.63982,0.25,,,,,,,,,,
tldd,b3244,[r],51.363,481,rich,,0.25,,,,,,,,,,
rng,b3247,[j],55.364,489,rich,,0.25,,,,,,,,,,
yhde,b3248,[d],21.515,197,rich,,0.25,,,,,,,,,,
mrec,b3250,[m],39.53,367,rich,373.5366114,0.25,,,,,,,,,,
mreb,b3251,[d],36.952,347,rich,3198.879336,0.25,,,,,,,,,,
yhdh,b3253,[cr],34.723,324,rich,753.0637965,0.25,,,,,,,,,,
accb,b3255,[i],16.687,156,rich,1325.354617,0.25,,,,,,,,,,
accc,b3256,[i],49.32,449,rich,1172.632733,0.25,,,,,,,,,,
prma,b3259,[j],31.877,293,rich,,0.25,,,,,,,,,,
fis,b3261,[kl],11.24,98,rich,737.0565651,0.25,,,,,,,,,,
yrda,b3279,,20.245,184,rich,,0.25,,,,,,,,,,
aroe,b3281,[e],29.413,272,rich,,0.25,,,,,,,,,,
rimn,b3282,,20.767,190,rich,,0.25,,,,,,,,,,
def,b3287,[j],19.328,169,rich,223.0211303,0.25,,,,,,,,,,
fmt,b3288,[j],34.168,315,rich,328.3559756,0.25,,,,,,,,,,
mscl,b3291,[m],14.957,136,rich,997.7066185,0.25,,,,,,,,,,
rplq,b3294,[j],14.364,127,rich,12697.69115,0.25,,,,,,,,,,
