go_number,go_term,go_namespace,gene_name
GO:0015937,coenzyme A biosynthetic process,biological_process,coaA
GO:0016740,transferase activity,molecular_function,coaE
GO:0016301,kinase activity,molecular_function,coaE
GO:0016310,phosphorylation,biological_process,coaE
GO:0005737,cytoplasm,cellular_component,coaE
GO:0005524,ATP binding,molecular_function,coaE
GO:0000166,nucleotide binding,molecular_function,coaE
GO:0004140,dephospho-CoA kinase activity,molecular_function,coaE
GO:0015937,coenzyme A biosynthetic process,biological_process,coaE
GO:0009236,cobalamin biosynthetic process,biological_process,cobS
GO:0016740,transferase activity,molecular_function,cobS
GO:0008818,cobalamin 5'-phosphate synthase activity,molecular_function,cobS
GO:0005886,plasma membrane,cellular_component,cobS
GO:0016021,integral component of membrane,cellular_component,cobS
GO:0016020,membrane,cellular_component,cobS
GO:0051073,adenosylcobinamide-GDP ribazoletransferase activity,molecular_function,cobS
GO:0009236,cobalamin biosynthetic process,biological_process,cobT
GO:0015889,cobalamin transport,biological_process,cobT
GO:0015420,ATPase-coupled vitamin B12 transmembrane transporter activity,molecular_function,cobT
GO:0016757,"transferase activity, transferring glycosyl groups",molecular_function,cobT
GO:0016740,transferase activity,molecular_function,cobT
GO:0009163,nucleoside biosynthetic process,biological_process,cobT
GO:0008939,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity,molecular_function,cobT
GO:0006974,cellular response to DNA damage stimulus,biological_process,cobU
GO:0051188,cofactor biosynthetic process,biological_process,cobU
GO:0006779,porphyrin-containing compound biosynthetic process,biological_process,cobU
GO:0016310,phosphorylation,biological_process,cobU
GO:0008820,cobinamide phosphate guanylyltransferase activity,molecular_function,cobU
GO:0043752,adenosylcobinamide kinase activity,molecular_function,cobU
GO:0016740,transferase activity,molecular_function,cobU
GO:0016301,kinase activity,molecular_function,cobU
GO:0005525,GTP binding,molecular_function,cobU
GO:0005524,ATP binding,molecular_function,cobU
GO:0000166,nucleotide binding,molecular_function,cobU
GO:0008819,cobinamide kinase activity,molecular_function,cobU
GO:0009236,cobalamin biosynthetic process,biological_process,cobU
GO:0102480,5-fluorocytosine deaminase activity,molecular_function,codA
GO:0042802,identical protein binding,molecular_function,codA
GO:0046872,metal ion binding,molecular_function,codA
GO:0019858,cytosine metabolic process,biological_process,codA
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",molecular_function,codA
GO:0016787,hydrolase activity,molecular_function,codA
GO:0035888,isoguanine deaminase activity,molecular_function,codA
GO:0008270,zinc ion binding,molecular_function,codA
GO:0008198,ferrous iron binding,molecular_function,codA
GO:0006209,cytosine catabolic process,biological_process,codA
GO:0004131,cytosine deaminase activity,molecular_function,codA
GO:0016814,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",molecular_function,codA
GO:1902600,proton transmembrane transport,biological_process,codB
GO:0022857,transmembrane transporter activity,molecular_function,codB
GO:0055085,transmembrane transport,biological_process,codB
GO:0015856,cytosine transport,biological_process,codB
GO:0015209,cytosine transmembrane transporter activity,molecular_function,codB
GO:0015295,solute:proton symporter activity,molecular_function,codB
GO:0005887,integral component of plasma membrane,cellular_component,codB
GO:0005886,plasma membrane,cellular_component,codB
GO:0019858,cytosine metabolic process,biological_process,codB
GO:0016021,integral component of membrane,cellular_component,codB
GO:0016020,membrane,cellular_component,codB
GO:0017110,nucleoside-diphosphatase activity,molecular_function,cof
GO:0009228,thiamine biosynthetic process,biological_process,cof
GO:0016311,dephosphorylation,biological_process,cof
GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",molecular_function,cof
GO:0016787,hydrolase activity,molecular_function,cof
GO:0046872,metal ion binding,molecular_function,cof
GO:0017001,antibiotic catabolic process,biological_process,cof
GO:0000287,magnesium ion binding,molecular_function,cof
GO:0016791,phosphatase activity,molecular_function,cof
GO:1903830,magnesium ion transmembrane transport,biological_process,corA
GO:0055085,transmembrane transport,biological_process,corA
GO:0046873,metal ion transmembrane transporter activity,molecular_function,corA
GO:0030001,metal ion transport,biological_process,corA
GO:0006811,ion transport,biological_process,corA
GO:0035444,nickel cation transmembrane transport,biological_process,corA
GO:0015099,nickel cation transmembrane transporter activity,molecular_function,corA
GO:0005887,integral component of plasma membrane,cellular_component,corA
GO:0005886,plasma membrane,cellular_component,corA
GO:0016021,integral component of membrane,cellular_component,corA
GO:0016020,membrane,cellular_component,corA
GO:0015693,magnesium ion transport,biological_process,corA
GO:0015095,magnesium ion transmembrane transporter activity,molecular_function,corA
GO:0015087,cobalt ion transmembrane transporter activity,molecular_function,corA
GO:0006824,cobalt ion transport,biological_process,corA
GO:0006974,cellular response to DNA damage stimulus,biological_process,cpdB
GO:0016311,dephosphorylation,biological_process,cpdB
GO:0016788,"hydrolase activity, acting on ester bonds",molecular_function,cpdB
GO:0016787,hydrolase activity,molecular_function,cpdB
GO:0009117,nucleotide metabolic process,biological_process,cpdB
GO:0008152,metabolic process,biological_process,cpdB
GO:0003824,catalytic activity,molecular_function,cpdB
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,cpdB
GO:0046872,metal ion binding,molecular_function,cpdB
GO:0042597,periplasmic space,cellular_component,cpdB
GO:0009166,nucleotide catabolic process,biological_process,cpdB
GO:0000166,nucleotide binding,molecular_function,cpdB
GO:0008254,3'-nucleotidase activity,molecular_function,cpdB
GO:0008663,"2',3'-cyclic-nucleotide 2'-phosphodiesterase activity",molecular_function,cpdB
GO:0071704,organic substance metabolic process,biological_process,cpsG
GO:0016868,"intramolecular transferase activity, phosphotransferases",molecular_function,cpsG
GO:0005975,carbohydrate metabolic process,biological_process,cpsG
GO:0000287,magnesium ion binding,molecular_function,cpsG
GO:0009298,GDP-mannose biosynthetic process,biological_process,cpsG
GO:0046872,metal ion binding,molecular_function,cpsG
GO:0016853,isomerase activity,molecular_function,cpsG
GO:0009103,lipopolysaccharide biosynthetic process,biological_process,cpsG
GO:0004615,phosphomannomutase activity,molecular_function,cpsG
GO:0005886,plasma membrane,cellular_component,cpxA
GO:0004721,phosphoprotein phosphatase activity,molecular_function,cpxA
GO:0042802,identical protein binding,molecular_function,cpxA
GO:0000160,phosphorelay signal transduction system,biological_process,cpxA
GO:0009314,response to radiation,biological_process,cpxA
GO:0007155,cell adhesion,biological_process,cpxA
GO:0023014,signal transduction by protein phosphorylation,biological_process,cpxA
GO:0018106,peptidyl-histidine phosphorylation,biological_process,cpxA
GO:0005515,protein binding,molecular_function,cpxA
GO:0043708,cell adhesion involved in biofilm formation,biological_process,cpxA
GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecular_function,cpxA
GO:0016740,transferase activity,molecular_function,cpxA
GO:0016310,phosphorylation,biological_process,cpxA
GO:0016301,kinase activity,molecular_function,cpxA
GO:0016020,membrane,cellular_component,cpxA
GO:0007165,signal transduction,biological_process,cpxA
GO:0004673,protein histidine kinase activity,molecular_function,cpxA
GO:0046777,protein autophosphorylation,biological_process,cpxA
GO:0000166,nucleotide binding,molecular_function,cpxA
GO:0016021,integral component of membrane,cellular_component,cpxA
GO:0005524,ATP binding,molecular_function,cpxA
GO:0000155,phosphorelay sensor kinase activity,molecular_function,cpxA
GO:0007155,cell adhesion,biological_process,cpxR
GO:0010810,regulation of cell-substrate adhesion,biological_process,cpxR
GO:0005515,protein binding,molecular_function,cpxR
GO:0006355,"regulation of transcription, DNA-templated",biological_process,cpxR
GO:0003677,DNA binding,molecular_function,cpxR
GO:0005829,cytosol,cellular_component,cpxR
GO:0045892,"negative regulation of transcription, DNA-templated",biological_process,cpxR
GO:0045893,"positive regulation of transcription, DNA-templated",biological_process,cpxR
GO:0003700,DNA-binding transcription factor activity,molecular_function,cpxR
GO:0005737,cytoplasm,cellular_component,cpxR
GO:0000160,phosphorelay signal transduction system,biological_process,cpxR
GO:0001216,DNA-binding transcription activator activity,molecular_function,cpxR
GO:0032993,protein-DNA complex,cellular_component,cpxR
GO:0000156,phosphorelay response regulator activity,molecular_function,cpxR
GO:0000976,transcription regulatory region sequence-specific DNA binding,molecular_function,cpxR
GO:0034220,ion transmembrane transport,biological_process,crcB
GO:0015103,inorganic anion transmembrane transporter activity,molecular_function,crcB
GO:0005253,anion channel activity,molecular_function,crcB
GO:0140114,cellular detoxification of fluoride,biological_process,crcB
GO:1903425,fluoride transmembrane transporter activity,molecular_function,crcB
GO:1903424,fluoride transmembrane transport,biological_process,crcB
GO:0016021,integral component of membrane,cellular_component,crcB
GO:0016020,membrane,cellular_component,crcB
GO:0005887,integral component of plasma membrane,cellular_component,crcB
GO:0005886,plasma membrane,cellular_component,crcB
GO:0005829,cytosol,cellular_component,creA
GO:0045893,"positive regulation of transcription, DNA-templated",biological_process,creB
GO:0000986,bacterial-type cis-regulatory region sequence-specific DNA binding,molecular_function,creB
GO:0042802,identical protein binding,molecular_function,creB
GO:0006355,"regulation of transcription, DNA-templated",biological_process,creB
GO:0005737,cytoplasm,cellular_component,creB
GO:0003677,DNA binding,molecular_function,creB
GO:0000160,phosphorelay signal transduction system,biological_process,creB
GO:0005829,cytosol,cellular_component,creB
GO:0001216,DNA-binding transcription activator activity,molecular_function,creB
GO:0032993,protein-DNA complex,cellular_component,creB
GO:0003700,DNA-binding transcription factor activity,molecular_function,creB
GO:0000156,phosphorelay response regulator activity,molecular_function,creB
GO:0000976,transcription regulatory region sequence-specific DNA binding,molecular_function,creB
GO:0000160,phosphorelay signal transduction system,biological_process,creC
GO:0007584,response to nutrient,biological_process,creC
GO:0023014,signal transduction by protein phosphorylation,biological_process,creC
GO:0018106,peptidyl-histidine phosphorylation,biological_process,creC
GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecular_function,creC
GO:0016740,transferase activity,molecular_function,creC
GO:0016301,kinase activity,molecular_function,creC
GO:0007165,signal transduction,biological_process,creC
GO:0004673,protein histidine kinase activity,molecular_function,creC
GO:0000166,nucleotide binding,molecular_function,creC
GO:0005886,plasma membrane,cellular_component,creC
GO:0016310,phosphorylation,biological_process,creC
GO:0016021,integral component of membrane,cellular_component,creC
GO:0016020,membrane,cellular_component,creC
GO:0005524,ATP binding,molecular_function,creC
GO:0000155,phosphorelay sensor kinase activity,molecular_function,creC
GO:0005887,integral component of plasma membrane,cellular_component,creC
GO:0047484,regulation of response to osmotic stress,biological_process,creC
GO:0005886,plasma membrane,cellular_component,creD
GO:0016021,integral component of membrane,cellular_component,creD
GO:0016020,membrane,cellular_component,creD
GO:0045893,"positive regulation of transcription, DNA-templated",biological_process,crp
GO:0045892,"negative regulation of transcription, DNA-templated",biological_process,crp
GO:0042802,identical protein binding,molecular_function,crp
GO:0043565,sequence-specific DNA binding,molecular_function,crp
GO:0032993,protein-DNA complex,cellular_component,crp
GO:0005515,protein binding,molecular_function,crp
GO:0006355,"regulation of transcription, DNA-templated",biological_process,crp
GO:0003700,DNA-binding transcription factor activity,molecular_function,crp
GO:0045013,carbon catabolite repression of transcription,biological_process,crp
GO:0005829,cytosol,cellular_component,crp
GO:0030552,cAMP binding,molecular_function,crp
GO:0003677,DNA binding,molecular_function,crp
GO:0000166,nucleotide binding,molecular_function,crp
GO:0006351,"transcription, DNA-templated",biological_process,crp
GO:0005515,protein binding,molecular_function,crr
GO:0043610,regulation of carbohydrate utilization,biological_process,crr
GO:0045912,negative regulation of carbohydrate metabolic process,biological_process,crr
GO:0005737,cytoplasm,cellular_component,crr
GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,cellular_component,crr
GO:0016310,phosphorylation,biological_process,crr
GO:0005829,cytosol,cellular_component,crr
GO:0046872,metal ion binding,molecular_function,crr
GO:0016740,transferase activity,molecular_function,crr
GO:0016301,kinase activity,molecular_function,crr
GO:0008643,carbohydrate transport,biological_process,crr
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process,crr
GO:0016740,transferase activity,molecular_function,csdA
GO:0009000,selenocysteine lyase activity,molecular_function,csdA
GO:0003824,catalytic activity,molecular_function,csdA
GO:0031071,cysteine desulfurase activity,molecular_function,csdA
GO:0016226,iron-sulfur cluster assembly,biological_process,csdA
GO:0000096,sulfur amino acid metabolic process,biological_process,csdA
GO:0016783,sulfurtransferase activity,molecular_function,csdA
GO:0030170,pyridoxal phosphate binding,molecular_function,csdA
GO:0016829,lyase activity,molecular_function,csdA
GO:0005515,protein binding,molecular_function,csdA
GO:0045892,"negative regulation of transcription, DNA-templated",biological_process,csgD
GO:0032993,protein-DNA complex,cellular_component,csgD
GO:0001217,DNA-binding transcription repressor activity,molecular_function,csgD
GO:0001216,DNA-binding transcription activator activity,molecular_function,csgD
GO:0000976,transcription regulatory region sequence-specific DNA binding,molecular_function,csgD
GO:0006355,"regulation of transcription, DNA-templated",biological_process,csgD
GO:0003677,DNA binding,molecular_function,csgD
GO:0000986,bacterial-type cis-regulatory region sequence-specific DNA binding,molecular_function,csgD
GO:1900190,regulation of single-species biofilm formation,biological_process,csgD
GO:2000144,"positive regulation of DNA-templated transcription, initiation",biological_process,csgD
GO:0016020,membrane,cellular_component,csgD
GO:0005886,plasma membrane,cellular_component,csgD
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,csgG
GO:0005886,plasma membrane,cellular_component,csgG
GO:0031246,intrinsic component of periplasmic side of cell outer membrane,cellular_component,csgG
GO:0005515,protein binding,molecular_function,csgG
GO:0042802,identical protein binding,molecular_function,csgG
GO:0016020,membrane,cellular_component,csgG
GO:0044010,single-species biofilm formation,biological_process,csgG
GO:0022610,biological adhesion,biological_process,csgG
GO:0071806,protein transmembrane transport,biological_process,csgG
GO:0009279,cell outer membrane,cellular_component,csgG
GO:0006355,"regulation of transcription, DNA-templated",biological_process,csiE
GO:0009409,response to cold,biological_process,cspA
GO:0003677,DNA binding,molecular_function,cspA
GO:0003727,single-stranded RNA binding,molecular_function,cspA
GO:0003723,RNA binding,molecular_function,cspA
GO:0003697,single-stranded DNA binding,molecular_function,cspA
GO:0060567,"negative regulation of DNA-templated transcription, termination",biological_process,cspA
GO:0001072,"transcription antitermination factor activity, RNA binding",molecular_function,cspA
GO:0031564,transcription antitermination,biological_process,cspA
GO:0003676,nucleic acid binding,molecular_function,cspA
GO:0005829,cytosol,cellular_component,cspA
GO:0006351,"transcription, DNA-templated",biological_process,cspA
GO:0005737,cytoplasm,cellular_component,cspA
GO:0003723,RNA binding,molecular_function,cspB
GO:0003697,single-stranded DNA binding,molecular_function,cspB
GO:0009409,response to cold,biological_process,cspB
GO:0005829,cytosol,cellular_component,cspB
GO:0003676,nucleic acid binding,molecular_function,cspB
GO:0005737,cytoplasm,cellular_component,cspB
GO:0003677,DNA binding,molecular_function,cspB
GO:0001072,"transcription antitermination factor activity, RNA binding",molecular_function,cspC
GO:0060567,"negative regulation of DNA-templated transcription, termination",biological_process,cspC
GO:0003723,RNA binding,molecular_function,cspC
GO:0003697,single-stranded DNA binding,molecular_function,cspC
GO:0051087,chaperone binding,molecular_function,cspC
GO:0031564,transcription antitermination,biological_process,cspC
GO:0005829,cytosol,cellular_component,cspC
GO:0003676,nucleic acid binding,molecular_function,cspC
GO:0005737,cytoplasm,cellular_component,cspC
GO:0003677,DNA binding,molecular_function,cspC
GO:0003697,single-stranded DNA binding,molecular_function,cspD
GO:0042594,response to starvation,biological_process,cspD
GO:0090729,toxin activity,molecular_function,cspD
GO:0009405,pathogenesis,biological_process,cspD
GO:0005515,protein binding,molecular_function,cspD
GO:0003677,DNA binding,molecular_function,cspD
GO:0003676,nucleic acid binding,molecular_function,cspD
GO:0006355,"regulation of transcription, DNA-templated",biological_process,cspD
GO:0005829,cytosol,cellular_component,cspD
GO:0008156,negative regulation of DNA replication,biological_process,cspD
GO:0003723,RNA binding,molecular_function,cspD
GO:0005737,cytoplasm,cellular_component,cspD
GO:0003723,RNA binding,molecular_function,cspE
GO:0003697,single-stranded DNA binding,molecular_function,cspE
GO:0001072,"transcription antitermination factor activity, RNA binding",molecular_function,cspE
GO:0060567,"negative regulation of DNA-templated transcription, termination",biological_process,cspE
GO:0031564,transcription antitermination,biological_process,cspE
GO:0003677,DNA binding,molecular_function,cspE
GO:0003676,nucleic acid binding,molecular_function,cspE
GO:0005829,cytosol,cellular_component,cspE
GO:0008143,poly(A) binding,molecular_function,cspE
GO:0005737,cytoplasm,cellular_component,cspE
GO:0003676,nucleic acid binding,molecular_function,cspF
GO:0005737,cytoplasm,cellular_component,cspF
GO:0003677,DNA binding,molecular_function,cspF
GO:0009409,response to cold,biological_process,cspG
GO:0005829,cytosol,cellular_component,cspG
GO:0003676,nucleic acid binding,molecular_function,cspG
GO:0005737,cytoplasm,cellular_component,cspG
GO:0005515,protein binding,molecular_function,cspG
GO:0003677,DNA binding,molecular_function,cspG
GO:0045948,positive regulation of translational initiation,biological_process,csrA
GO:0006417,regulation of translation,biological_process,csrA
GO:0005737,cytoplasm,cellular_component,csrA
GO:0005829,cytosol,cellular_component,csrA
GO:0006109,regulation of carbohydrate metabolic process,biological_process,csrA
GO:0003723,RNA binding,molecular_function,csrA
GO:0006402,mRNA catabolic process,biological_process,csrA
GO:0045719,negative regulation of glycogen biosynthetic process,biological_process,csrA
GO:0048027,mRNA 5'-UTR binding,molecular_function,csrA
GO:0045947,negative regulation of translational initiation,biological_process,csrA
GO:0015833,peptide transport,biological_process,cstA
GO:0015031,protein transport,biological_process,cstA
GO:0005886,plasma membrane,cellular_component,cstA
GO:0016021,integral component of membrane,cellular_component,cstA
GO:0016020,membrane,cellular_component,cstA
GO:0009267,cellular response to starvation,biological_process,cstA
GO:0031669,cellular response to nutrient levels,biological_process,cstA
GO:0005887,integral component of plasma membrane,cellular_component,cstA
GO:0010038,response to metal ion,biological_process,cutA
GO:0005507,copper ion binding,molecular_function,cutA
GO:0051260,protein homooligomerization,biological_process,cutA
GO:0046872,metal ion binding,molecular_function,cutA
GO:0005737,cytoplasm,cellular_component,cutA
GO:0046688,response to copper ion,biological_process,cutA
GO:0005886,plasma membrane,cellular_component,cvpA
GO:0016021,integral component of membrane,cellular_component,cvpA
GO:0016020,membrane,cellular_component,cvpA
GO:0009403,toxin biosynthetic process,biological_process,cvpA
GO:0016829,lyase activity,molecular_function,cyaA
GO:0005524,ATP binding,molecular_function,cyaA
GO:0000166,nucleotide binding,molecular_function,cyaA
GO:0005515,protein binding,molecular_function,cyaA
GO:0006171,cAMP biosynthetic process,biological_process,cyaA
GO:0004016,adenylate cyclase activity,molecular_function,cyaA
GO:0005737,cytoplasm,cellular_component,cyaA
GO:0005737,cytoplasm,cellular_component,cyaY
GO:0016226,iron-sulfur cluster assembly,biological_process,cyaY
GO:0008199,ferric iron binding,molecular_function,cyaY
GO:0046872,metal ion binding,molecular_function,cyaY
GO:0005506,iron ion binding,molecular_function,cyaY
GO:0005515,protein binding,molecular_function,cyaY
GO:0005829,cytosol,cellular_component,cyaY
GO:0008198,ferrous iron binding,molecular_function,cyaY
GO:0005887,integral component of plasma membrane,cellular_component,cybB
GO:0019430,removal of superoxide radicals,biological_process,cybB
GO:0009055,electron transfer activity,molecular_function,cybB
GO:0055114,oxidation-reduction process,biological_process,cybB
GO:0020037,heme binding,molecular_function,cybB
GO:0022904,respiratory electron transport chain,biological_process,cybB
GO:0005886,plasma membrane,cellular_component,cybB
GO:0046872,metal ion binding,molecular_function,cybB
GO:0016021,integral component of membrane,cellular_component,cybB
GO:0016020,membrane,cellular_component,cybB
GO:0022857,transmembrane transporter activity,molecular_function,cycA
GO:0006865,amino acid transport,biological_process,cycA
GO:0055085,transmembrane transport,biological_process,cycA
GO:0042941,D-alanine transport,biological_process,cycA
GO:0015808,L-alanine transport,biological_process,cycA
GO:0001762,beta-alanine transport,biological_process,cycA
GO:0015816,glycine transport,biological_process,cycA
GO:0042945,D-serine transmembrane transporter activity,molecular_function,cycA
GO:0042944,D-alanine transmembrane transporter activity,molecular_function,cycA
GO:0015180,L-alanine transmembrane transporter activity,molecular_function,cycA
GO:0001761,beta-alanine transmembrane transporter activity,molecular_function,cycA
GO:0015187,glycine transmembrane transporter activity,molecular_function,cycA
GO:0042942,D-serine transport,biological_process,cycA
GO:0005887,integral component of plasma membrane,cellular_component,cycA
GO:0005886,plasma membrane,cellular_component,cycA
GO:0016021,integral component of membrane,cellular_component,cycA
GO:0016020,membrane,cellular_component,cycA
GO:0005515,protein binding,molecular_function,cydA
GO:0006119,oxidative phosphorylation,biological_process,cydA
GO:0070069,cytochrome complex,cellular_component,cydA
GO:0019646,aerobic electron transport chain,biological_process,cydA
GO:0005887,integral component of plasma membrane,cellular_component,cydA
GO:0046872,metal ion binding,molecular_function,cydA
GO:0016020,membrane,cellular_component,cydA
GO:0016021,integral component of membrane,cellular_component,cydA
GO:0055114,oxidation-reduction process,biological_process,cydA
GO:0005886,plasma membrane,cellular_component,cydA
GO:0020037,heme binding,molecular_function,cydA
GO:0016679,"oxidoreductase activity, acting on diphenols and related substances as donors",molecular_function,cydA
GO:0009055,electron transfer activity,molecular_function,cydA
GO:0016682,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",molecular_function,cydA
GO:0005515,protein binding,molecular_function,cydB
GO:0070069,cytochrome complex,cellular_component,cydB
GO:0005887,integral component of plasma membrane,cellular_component,cydB
GO:0019646,aerobic electron transport chain,biological_process,cydB
GO:0046872,metal ion binding,molecular_function,cydB
GO:0006119,oxidative phosphorylation,biological_process,cydB
GO:0016020,membrane,cellular_component,cydB
GO:0016021,integral component of membrane,cellular_component,cydB
GO:0055114,oxidation-reduction process,biological_process,cydB
GO:0005886,plasma membrane,cellular_component,cydB
GO:0020037,heme binding,molecular_function,cydB
GO:0016682,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",molecular_function,cydB
GO:0009055,electron transfer activity,molecular_function,cydB
GO:0044718,siderophore transmembrane transport,biological_process,cydC
GO:0045454,cell redox homeostasis,biological_process,cydC
GO:0005887,integral component of plasma membrane,cellular_component,cydC
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,cydC
GO:0055085,transmembrane transport,biological_process,cydC
GO:0016887,ATPase activity,molecular_function,cydC
GO:0016020,membrane,cellular_component,cydC
GO:0070453,regulation of heme biosynthetic process,biological_process,cydC
GO:0033228,cysteine export across plasma membrane,biological_process,cydC
GO:0034775,glutathione transmembrane transport,biological_process,cydC
GO:0005886,plasma membrane,cellular_component,cydC
GO:0042626,ATPase-coupled transmembrane transporter activity,molecular_function,cydC
GO:0016021,integral component of membrane,cellular_component,cydC
GO:0005524,ATP binding,molecular_function,cydC
GO:0000166,nucleotide binding,molecular_function,cydC
GO:0045454,cell redox homeostasis,biological_process,cydD
GO:0005887,integral component of plasma membrane,cellular_component,cydD
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,cydD
GO:0055085,transmembrane transport,biological_process,cydD
GO:0042883,cysteine transport,biological_process,cydD
GO:0016887,ATPase activity,molecular_function,cydD
GO:0034775,glutathione transmembrane transport,biological_process,cydD
GO:0033228,cysteine export across plasma membrane,biological_process,cydD
GO:0005886,plasma membrane,cellular_component,cydD
GO:0042626,ATPase-coupled transmembrane transporter activity,molecular_function,cydD
GO:0016021,integral component of membrane,cellular_component,cydD
GO:0016020,membrane,cellular_component,cydD
GO:0005524,ATP binding,molecular_function,cydD
GO:0000166,nucleotide binding,molecular_function,cydD
GO:0003700,DNA-binding transcription factor activity,molecular_function,cynR
GO:0006355,"regulation of transcription, DNA-templated",biological_process,cynR
GO:0003677,DNA binding,molecular_function,cynR
GO:0005737,cytoplasm,cellular_component,cynR
GO:0016829,lyase activity,molecular_function,cynS
GO:0009439,cyanate metabolic process,biological_process,cynS
GO:0003677,DNA binding,molecular_function,cynS
GO:0008824,cyanate hydratase activity,molecular_function,cynS
GO:0009440,cyanate catabolic process,biological_process,cynS
GO:0016829,lyase activity,molecular_function,cynT
GO:0015976,carbon utilization,biological_process,cynT
GO:0042802,identical protein binding,molecular_function,cynT
GO:0046872,metal ion binding,molecular_function,cynT
GO:0008270,zinc ion binding,molecular_function,cynT
GO:0004089,carbonate dehydratase activity,molecular_function,cynT
GO:0009440,cyanate catabolic process,biological_process,cynT
GO:0005737,cytoplasm,cellular_component,cynT
GO:0022857,transmembrane transporter activity,molecular_function,cynX
GO:0055085,transmembrane transport,biological_process,cynX
GO:0005886,plasma membrane,cellular_component,cynX
GO:0016021,integral component of membrane,cellular_component,cynX
GO:0016020,membrane,cellular_component,cynX
GO:0009440,cyanate catabolic process,biological_process,cynX
GO:0005887,integral component of plasma membrane,cellular_component,cyoA
GO:0008827,cytochrome o ubiquinol oxidase activity,molecular_function,cyoA
GO:0005507,copper ion binding,molecular_function,cyoA
GO:0004129,cytochrome-c oxidase activity,molecular_function,cyoA
GO:0071575,integral component of external side of plasma membrane,cellular_component,cyoA
GO:0009060,aerobic respiration,biological_process,cyoA
GO:0015990,electron transport coupled proton transport,biological_process,cyoA
GO:0055114,oxidation-reduction process,biological_process,cyoA
GO:0022900,electron transport chain,biological_process,cyoA
GO:0016491,oxidoreductase activity,molecular_function,cyoA
GO:0016021,integral component of membrane,cellular_component,cyoA
GO:0016020,membrane,cellular_component,cyoA
GO:0005886,plasma membrane,cellular_component,cyoA
GO:0016682,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",molecular_function,cyoA
GO:0009319,cytochrome o ubiquinol oxidase complex,cellular_component,cyoA
GO:0019646,aerobic electron transport chain,biological_process,cyoA
GO:0070469,respirasome,cellular_component,cyoA
GO:0015078,proton transmembrane transporter activity,molecular_function,cyoA
GO:0009486,cytochrome bo3 ubiquinol oxidase activity,molecular_function,cyoA
GO:0009055,electron transfer activity,molecular_function,cyoA
GO:0015453,oxidoreduction-driven active transmembrane transporter activity,molecular_function,cyoA
GO:0042773,ATP synthesis coupled electron transport,biological_process,cyoA
GO:0005887,integral component of plasma membrane,cellular_component,cyoB
GO:0004129,cytochrome-c oxidase activity,molecular_function,cyoB
GO:0005515,protein binding,molecular_function,cyoB
GO:0055114,oxidation-reduction process,biological_process,cyoB
GO:0046872,metal ion binding,molecular_function,cyoB
GO:0016021,integral component of membrane,cellular_component,cyoB
GO:0016020,membrane,cellular_component,cyoB
GO:0009060,aerobic respiration,biological_process,cyoB
GO:0006811,ion transport,biological_process,cyoB
GO:0005886,plasma membrane,cellular_component,cyoB
GO:0016682,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",molecular_function,cyoB
GO:0070469,respirasome,cellular_component,cyoB
GO:0009319,cytochrome o ubiquinol oxidase complex,cellular_component,cyoB
GO:0015990,electron transport coupled proton transport,biological_process,cyoB
GO:0015078,proton transmembrane transporter activity,molecular_function,cyoB
GO:0048039,ubiquinone binding,molecular_function,cyoB
GO:0019646,aerobic electron transport chain,biological_process,cyoB
GO:0009486,cytochrome bo3 ubiquinol oxidase activity,molecular_function,cyoB
GO:0020037,heme binding,molecular_function,cyoB
GO:0005507,copper ion binding,molecular_function,cyoB
GO:0009055,electron transfer activity,molecular_function,cyoB
GO:0015453,oxidoreduction-driven active transmembrane transporter activity,molecular_function,cyoB
GO:0022904,respiratory electron transport chain,biological_process,cyoB
GO:0008827,cytochrome o ubiquinol oxidase activity,molecular_function,cyoC
GO:0004129,cytochrome-c oxidase activity,molecular_function,cyoC
GO:0005887,integral component of plasma membrane,cellular_component,cyoC
GO:0009060,aerobic respiration,biological_process,cyoC
GO:0055114,oxidation-reduction process,biological_process,cyoC
GO:0022904,respiratory electron transport chain,biological_process,cyoC
GO:0016491,oxidoreductase activity,molecular_function,cyoC
GO:0016021,integral component of membrane,cellular_component,cyoC
GO:0016020,membrane,cellular_component,cyoC
GO:0015002,heme-copper terminal oxidase activity,molecular_function,cyoC
GO:0009319,cytochrome o ubiquinol oxidase complex,cellular_component,cyoC
GO:0015990,electron transport coupled proton transport,biological_process,cyoC
