process_1,process_2,n_genes
Xylose metabolism,Conjugation,0
Xylose metabolism,Nucleotide biosynthesis,0
Xylose metabolism,Molybdenum cofactor biosynthesis,0
Xylose metabolism,Transcription antitermination,0
Xylose metabolism,Pantothenate biosynthesis,0
Xylose metabolism,Queuosine biosynthesis,0
Xylose metabolism,Riboflavin biosynthesis,0
Xylose metabolism,Transcription termination,0
Xylose metabolism,mRNA processing,0
Xylose metabolism,Translocation,0
Xylose metabolism,Tryptophan catabolism,0
Xylose metabolism,Menaquinone biosynthesis,0
Xylose metabolism,Chromosome partition,0
Xylose metabolism,DNA integration,0
Xylose metabolism,Virulence,0
Xylose metabolism,Lipid degradation,0
Xylose metabolism,Cell adhesion,0
Xylose metabolism,Iron storage,0
Xylose metabolism,Cysteine biosynthesis,0
Xylose metabolism,Cobalamin biosynthesis,0
Xylose metabolism,Phenylalanine biosynthesis,0
Xylose metabolism,Phosphate transport,0
Xylose metabolism,Purine salvage,0
Xylose metabolism,Fucose metabolism,0
Xylose metabolism,Galactitol metabolism,0
Xylose metabolism,Serine biosynthesis,0
Xylose metabolism,Cytosine metabolism,0
Xylose metabolism,Peptide transport,0
Xylose metabolism,Arsenical resistance,0
Xylose metabolism,Plasmid copy control,0
Xylose metabolism,Respiratory chain,0
Xylose metabolism,Methotrexate resistance,0
Xylose metabolism,Trimethoprim resistance,0
Xylose metabolism,DNA condensation,0
Xylose metabolism,Flagellar rotation,0
Xylose metabolism,Quorum sensing,0
Xylose metabolism,Deoxyribonucleotide synthesis,0
Xylose metabolism,Detoxification,0
Xylose metabolism,Heme biosynthesis,0
Xylose metabolism,Isoprene biosynthesis,0
Xylose metabolism,Enterobactin biosynthesis,0
Xylose metabolism,Sulfate transport,0
Xylose metabolism,Bacterial flagellum biogenesis,0
Xylose metabolism,Bile acid catabolism,0
Xylose metabolism,Steroid metabolism,0
Xylose metabolism,Nickel transport,0
Xylose metabolism,Nitrogen fixation,0
Xylose metabolism,Thiamine biosynthesis,0
Xylose metabolism,Toxin-antitoxin system,0
Xylose metabolism,Transposition,0
Xylose metabolism,Lipid transport,0
Xylose metabolism,Hydrogen peroxide,0
Xylose metabolism,Capsule biogenesis/degradation,0
Xylose metabolism,Putrescine biosynthesis,0
Xylose metabolism,Maltose metabolism,0
Xylose metabolism,DNA synthesis,0
Xylose metabolism,Oxygen transport,0
Xylose metabolism,Arginine metabolism,0
Xylose metabolism,Tellurium resistance,0
Xylose metabolism,Ascorbate biosynthesis,0
Xylose metabolism,Fimbrium biogenesis,0
Xylose metabolism,Chromate resistance,0
Xylose metabolism,Zinc transport,0
Xylose metabolism,Cellulose biosynthesis,0
Xylose metabolism,Copper transport,0
Xylose metabolism,Autoinducer synthesis,0
Xylose metabolism,Bacterial flagellum protein export,0
Xylose metabolism,Exopolysaccharide synthesis,0
Xylose metabolism,Ammonia transport,0
Xylose metabolism,Virus entry into host cell,0
Xylose metabolism,Viral genome integration,0
Xylose metabolism,Purine metabolism,0
Xylose metabolism,PHB biosynthesis,0
Xylose metabolism,Polysaccharide degradation,0
Xylose metabolism,Xylan degradation,0
Protein biosynthesis,Asparagine biosynthesis,0
Protein biosynthesis,Arginine biosynthesis,0
Protein biosynthesis,Pyrimidine biosynthesis,0
Protein biosynthesis,Chemotaxis,0
Protein biosynthesis,Bacteriocin transport,0
Protein biosynthesis,Protein transport,0
Protein biosynthesis,Ion transport,0
Protein biosynthesis,Host-virus interaction,0
Protein biosynthesis,SOS response,0
Protein biosynthesis,Antiport,0
Protein biosynthesis,Potassium transport,0
Protein biosynthesis,Diaminopimelate biosynthesis,0
Protein biosynthesis,GMP biosynthesis,0
Protein biosynthesis,Purine biosynthesis,0
Protein biosynthesis,Glutathione biosynthesis,0
Protein biosynthesis,Amino-acid transport,0
Protein biosynthesis,Lipopolysaccharide biosynthesis,0
Protein biosynthesis,Isoleucine biosynthesis,0
Protein biosynthesis,Folate biosynthesis,0
Protein biosynthesis,Tricarboxylic acid cycle,0
Protein biosynthesis,Stress response,0
Protein biosynthesis,Pyridoxine biosynthesis,0
Protein biosynthesis,Restriction system,0
Protein biosynthesis,Iron transport,0
Protein biosynthesis,tRNA processing,0
Protein biosynthesis,Ribosome biogenesis,0
Protein biosynthesis,Glycolysis,0
Protein biosynthesis,RNA repair,0
Protein biosynthesis,Nucleotide metabolism,0
Protein biosynthesis,Porphyrin biosynthesis,0
Protein biosynthesis,Histidine biosynthesis,0
Protein biosynthesis,rRNA processing,0
Protein biosynthesis,Proline biosynthesis,0
Protein biosynthesis,Tyrosine biosynthesis,0
Protein biosynthesis,Sodium transport,0
Protein biosynthesis,Symport,0
Protein biosynthesis,Two-component regulatory system,0
Protein biosynthesis,Aromatic hydrocarbons catabolism,0
Protein biosynthesis,Glycogen biosynthesis,0
Protein biosynthesis,Glycogen metabolism,0
Protein biosynthesis,One-carbon metabolism,0
Protein biosynthesis,Glycerol metabolism,0
Protein biosynthesis,Glyoxylate bypass,0
Protein biosynthesis,Nitrate assimilation,0
Protein biosynthesis,Translation regulation,3
Protein biosynthesis,Galactose metabolism,0
Protein biosynthesis,Leucine biosynthesis,0
Protein biosynthesis,Polyamine biosynthesis,0
Protein biosynthesis,Spermidine biosynthesis,0
Protein biosynthesis,Glucose metabolism,0
Protein biosynthesis,Proline metabolism,0
Protein biosynthesis,Glutamate biosynthesis,0
Protein biosynthesis,DNA excision,0
Protein biosynthesis,Ubiquinone biosynthesis,0
Protein biosynthesis,Fatty acid biosynthesis,0
Protein biosynthesis,Fatty acid metabolism,0
Protein biosynthesis,Lipid metabolism,0
Protein biosynthesis,Lipid biosynthesis,0
Protein biosynthesis,DNA recombination,0
Protein biosynthesis,ATP synthesis,0
Protein biosynthesis,Hydrogen ion transport,0
Protein biosynthesis,Biotin biosynthesis,0
Protein biosynthesis,Pyridine nucleotide biosynthesis,0
Protein biosynthesis,Phospholipid biosynthesis,0
Protein biosynthesis,Phospholipid metabolism,0
Protein biosynthesis,Coenzyme A biosynthesis,0
Protein biosynthesis,Septation,0
Protein biosynthesis,Lipid A biosynthesis,0
Protein biosynthesis,Gluconeogenesis,0
Protein biosynthesis,Conjugation,0
Protein biosynthesis,Nucleotide biosynthesis,0
Protein biosynthesis,Molybdenum cofactor biosynthesis,0
Protein biosynthesis,Transcription antitermination,0
Protein biosynthesis,Pantothenate biosynthesis,0
Protein biosynthesis,Queuosine biosynthesis,0
Protein biosynthesis,Riboflavin biosynthesis,0
Protein biosynthesis,Transcription termination,0
Protein biosynthesis,mRNA processing,0
Protein biosynthesis,Translocation,0
Protein biosynthesis,Tryptophan catabolism,0
Protein biosynthesis,Menaquinone biosynthesis,0
Protein biosynthesis,Chromosome partition,0
Protein biosynthesis,DNA integration,0
Protein biosynthesis,Virulence,0
Protein biosynthesis,Lipid degradation,0
Protein biosynthesis,Cell adhesion,0
Protein biosynthesis,Iron storage,0
Protein biosynthesis,Cysteine biosynthesis,0
Protein biosynthesis,Cobalamin biosynthesis,0
Protein biosynthesis,Phenylalanine biosynthesis,0
Protein biosynthesis,Phosphate transport,0
Protein biosynthesis,Purine salvage,0
Protein biosynthesis,Fucose metabolism,0
Protein biosynthesis,Galactitol metabolism,0
Protein biosynthesis,Serine biosynthesis,0
Protein biosynthesis,Cytosine metabolism,0
Protein biosynthesis,Peptide transport,0
Protein biosynthesis,Arsenical resistance,0
Protein biosynthesis,Plasmid copy control,0
Protein biosynthesis,Respiratory chain,0
Protein biosynthesis,Methotrexate resistance,0
Protein biosynthesis,Trimethoprim resistance,0
Protein biosynthesis,DNA condensation,0
Protein biosynthesis,Flagellar rotation,0
Protein biosynthesis,Quorum sensing,0
Protein biosynthesis,Deoxyribonucleotide synthesis,0
Protein biosynthesis,Detoxification,0
Protein biosynthesis,Heme biosynthesis,0
Protein biosynthesis,Isoprene biosynthesis,0
Protein biosynthesis,Enterobactin biosynthesis,0
Protein biosynthesis,Sulfate transport,0
Protein biosynthesis,Bacterial flagellum biogenesis,0
Protein biosynthesis,Bile acid catabolism,0
Protein biosynthesis,Steroid metabolism,0
Protein biosynthesis,Nickel transport,0
Protein biosynthesis,Nitrogen fixation,0
Protein biosynthesis,Thiamine biosynthesis,0
Protein biosynthesis,Toxin-antitoxin system,0
Protein biosynthesis,Transposition,0
Protein biosynthesis,Lipid transport,0
Protein biosynthesis,Hydrogen peroxide,0
Protein biosynthesis,Capsule biogenesis/degradation,0
Protein biosynthesis,Putrescine biosynthesis,0
Protein biosynthesis,Maltose metabolism,0
Protein biosynthesis,DNA synthesis,0
Protein biosynthesis,Oxygen transport,0
Protein biosynthesis,Arginine metabolism,0
Protein biosynthesis,Tellurium resistance,0
Protein biosynthesis,Ascorbate biosynthesis,0
Protein biosynthesis,Fimbrium biogenesis,0
Protein biosynthesis,Chromate resistance,0
Protein biosynthesis,Zinc transport,0
Protein biosynthesis,Cellulose biosynthesis,0
Protein biosynthesis,Copper transport,0
Protein biosynthesis,Autoinducer synthesis,0
Protein biosynthesis,Bacterial flagellum protein export,0
Protein biosynthesis,Exopolysaccharide synthesis,0
Protein biosynthesis,Ammonia transport,0
Protein biosynthesis,Virus entry into host cell,0
Protein biosynthesis,Viral genome integration,0
Protein biosynthesis,Purine metabolism,0
Protein biosynthesis,PHB biosynthesis,0
Protein biosynthesis,Polysaccharide degradation,0
Protein biosynthesis,Xylan degradation,0
Asparagine biosynthesis,Arginine biosynthesis,0
Asparagine biosynthesis,Pyrimidine biosynthesis,0
Asparagine biosynthesis,Chemotaxis,0
Asparagine biosynthesis,Bacteriocin transport,0
Asparagine biosynthesis,Protein transport,0
Asparagine biosynthesis,Ion transport,0
Asparagine biosynthesis,Host-virus interaction,0
Asparagine biosynthesis,SOS response,0
Asparagine biosynthesis,Antiport,0
Asparagine biosynthesis,Potassium transport,0
Asparagine biosynthesis,Diaminopimelate biosynthesis,0
Asparagine biosynthesis,GMP biosynthesis,0
Asparagine biosynthesis,Purine biosynthesis,0
Asparagine biosynthesis,Glutathione biosynthesis,0
Asparagine biosynthesis,Amino-acid transport,0
Asparagine biosynthesis,Lipopolysaccharide biosynthesis,0
Asparagine biosynthesis,Isoleucine biosynthesis,0
Asparagine biosynthesis,Folate biosynthesis,0
Asparagine biosynthesis,Tricarboxylic acid cycle,0
Asparagine biosynthesis,Stress response,0
Asparagine biosynthesis,Pyridoxine biosynthesis,0
Asparagine biosynthesis,Restriction system,0
Asparagine biosynthesis,Iron transport,0
Asparagine biosynthesis,tRNA processing,0
Asparagine biosynthesis,Ribosome biogenesis,0
Asparagine biosynthesis,Glycolysis,0
Asparagine biosynthesis,RNA repair,0
Asparagine biosynthesis,Nucleotide metabolism,0
Asparagine biosynthesis,Porphyrin biosynthesis,0
Asparagine biosynthesis,Histidine biosynthesis,0
Asparagine biosynthesis,rRNA processing,0
Asparagine biosynthesis,Proline biosynthesis,0
Asparagine biosynthesis,Tyrosine biosynthesis,0
Asparagine biosynthesis,Sodium transport,0
Asparagine biosynthesis,Symport,0
Asparagine biosynthesis,Two-component regulatory system,0
Asparagine biosynthesis,Aromatic hydrocarbons catabolism,0
Asparagine biosynthesis,Glycogen biosynthesis,0
Asparagine biosynthesis,Glycogen metabolism,0
Asparagine biosynthesis,One-carbon metabolism,0
Asparagine biosynthesis,Glycerol metabolism,0
Asparagine biosynthesis,Glyoxylate bypass,0
Asparagine biosynthesis,Nitrate assimilation,0
Asparagine biosynthesis,Translation regulation,0
Asparagine biosynthesis,Galactose metabolism,0
Asparagine biosynthesis,Leucine biosynthesis,0
Asparagine biosynthesis,Polyamine biosynthesis,0
Asparagine biosynthesis,Spermidine biosynthesis,0
Asparagine biosynthesis,Glucose metabolism,0
Asparagine biosynthesis,Proline metabolism,0
Asparagine biosynthesis,Glutamate biosynthesis,0
Asparagine biosynthesis,DNA excision,0
Asparagine biosynthesis,Ubiquinone biosynthesis,0
Asparagine biosynthesis,Fatty acid biosynthesis,0
Asparagine biosynthesis,Fatty acid metabolism,0
Asparagine biosynthesis,Lipid metabolism,0
Asparagine biosynthesis,Lipid biosynthesis,0
Asparagine biosynthesis,DNA recombination,0
Asparagine biosynthesis,ATP synthesis,0
Asparagine biosynthesis,Hydrogen ion transport,0
Asparagine biosynthesis,Biotin biosynthesis,0
Asparagine biosynthesis,Pyridine nucleotide biosynthesis,0
Asparagine biosynthesis,Phospholipid biosynthesis,0
Asparagine biosynthesis,Phospholipid metabolism,0
Asparagine biosynthesis,Coenzyme A biosynthesis,0
Asparagine biosynthesis,Septation,0
Asparagine biosynthesis,Lipid A biosynthesis,0
Asparagine biosynthesis,Gluconeogenesis,0
Asparagine biosynthesis,Conjugation,0
Asparagine biosynthesis,Nucleotide biosynthesis,0
Asparagine biosynthesis,Molybdenum cofactor biosynthesis,0
Asparagine biosynthesis,Transcription antitermination,0
Asparagine biosynthesis,Pantothenate biosynthesis,0
Asparagine biosynthesis,Queuosine biosynthesis,0
Asparagine biosynthesis,Riboflavin biosynthesis,0
Asparagine biosynthesis,Transcription termination,0
Asparagine biosynthesis,mRNA processing,0
Asparagine biosynthesis,Translocation,0
Asparagine biosynthesis,Tryptophan catabolism,0
Asparagine biosynthesis,Menaquinone biosynthesis,0
Asparagine biosynthesis,Chromosome partition,0
Asparagine biosynthesis,DNA integration,0
Asparagine biosynthesis,Virulence,0
Asparagine biosynthesis,Lipid degradation,0
Asparagine biosynthesis,Cell adhesion,0
Asparagine biosynthesis,Iron storage,0
Asparagine biosynthesis,Cysteine biosynthesis,0
Asparagine biosynthesis,Cobalamin biosynthesis,0
Asparagine biosynthesis,Phenylalanine biosynthesis,0
Asparagine biosynthesis,Phosphate transport,0
Asparagine biosynthesis,Purine salvage,0
Asparagine biosynthesis,Fucose metabolism,0
Asparagine biosynthesis,Galactitol metabolism,0
Asparagine biosynthesis,Serine biosynthesis,0
Asparagine biosynthesis,Cytosine metabolism,0
Asparagine biosynthesis,Peptide transport,0
Asparagine biosynthesis,Arsenical resistance,0
Asparagine biosynthesis,Plasmid copy control,0
Asparagine biosynthesis,Respiratory chain,0
Asparagine biosynthesis,Methotrexate resistance,0
Asparagine biosynthesis,Trimethoprim resistance,0
Asparagine biosynthesis,DNA condensation,0
Asparagine biosynthesis,Flagellar rotation,0
Asparagine biosynthesis,Quorum sensing,0
Asparagine biosynthesis,Deoxyribonucleotide synthesis,0
Asparagine biosynthesis,Detoxification,0
Asparagine biosynthesis,Heme biosynthesis,0
Asparagine biosynthesis,Isoprene biosynthesis,0
Asparagine biosynthesis,Enterobactin biosynthesis,0
Asparagine biosynthesis,Sulfate transport,0
Asparagine biosynthesis,Bacterial flagellum biogenesis,0
Asparagine biosynthesis,Bile acid catabolism,0
Asparagine biosynthesis,Steroid metabolism,0
Asparagine biosynthesis,Nickel transport,0
Asparagine biosynthesis,Nitrogen fixation,0
Asparagine biosynthesis,Thiamine biosynthesis,0
Asparagine biosynthesis,Toxin-antitoxin system,0
Asparagine biosynthesis,Transposition,0
Asparagine biosynthesis,Lipid transport,0
Asparagine biosynthesis,Hydrogen peroxide,0
Asparagine biosynthesis,Capsule biogenesis/degradation,0
Asparagine biosynthesis,Putrescine biosynthesis,0
Asparagine biosynthesis,Maltose metabolism,0
Asparagine biosynthesis,DNA synthesis,0
Asparagine biosynthesis,Oxygen transport,0
Asparagine biosynthesis,Arginine metabolism,0
Asparagine biosynthesis,Tellurium resistance,0
Asparagine biosynthesis,Ascorbate biosynthesis,0
Asparagine biosynthesis,Fimbrium biogenesis,0
Asparagine biosynthesis,Chromate resistance,0
Asparagine biosynthesis,Zinc transport,0
Asparagine biosynthesis,Cellulose biosynthesis,0
Asparagine biosynthesis,Copper transport,0
Asparagine biosynthesis,Autoinducer synthesis,0
Asparagine biosynthesis,Bacterial flagellum protein export,0
Asparagine biosynthesis,Exopolysaccharide synthesis,0
Asparagine biosynthesis,Ammonia transport,0
Asparagine biosynthesis,Virus entry into host cell,0
Asparagine biosynthesis,Viral genome integration,0
Asparagine biosynthesis,Purine metabolism,0
Asparagine biosynthesis,PHB biosynthesis,0
Asparagine biosynthesis,Polysaccharide degradation,0
Asparagine biosynthesis,Xylan degradation,0
Arginine biosynthesis,Pyrimidine biosynthesis,2
Arginine biosynthesis,Chemotaxis,0
Arginine biosynthesis,Bacteriocin transport,0
Arginine biosynthesis,Protein transport,0
Arginine biosynthesis,Ion transport,0
Arginine biosynthesis,Host-virus interaction,0
Arginine biosynthesis,SOS response,0
Arginine biosynthesis,Antiport,0
Arginine biosynthesis,Potassium transport,0
Arginine biosynthesis,Diaminopimelate biosynthesis,0
Arginine biosynthesis,GMP biosynthesis,0
Arginine biosynthesis,Purine biosynthesis,0
Arginine biosynthesis,Glutathione biosynthesis,0
Arginine biosynthesis,Amino-acid transport,0
Arginine biosynthesis,Lipopolysaccharide biosynthesis,0
Arginine biosynthesis,Isoleucine biosynthesis,0
Arginine biosynthesis,Folate biosynthesis,0
Arginine biosynthesis,Tricarboxylic acid cycle,0
Arginine biosynthesis,Stress response,0
Arginine biosynthesis,Pyridoxine biosynthesis,0
Arginine biosynthesis,Restriction system,0
Arginine biosynthesis,Iron transport,0
Arginine biosynthesis,tRNA processing,0
Arginine biosynthesis,Ribosome biogenesis,0
Arginine biosynthesis,Glycolysis,0
Arginine biosynthesis,RNA repair,0
Arginine biosynthesis,Nucleotide metabolism,0
Arginine biosynthesis,Porphyrin biosynthesis,0
Arginine biosynthesis,Histidine biosynthesis,0
Arginine biosynthesis,rRNA processing,0
Arginine biosynthesis,Proline biosynthesis,0
Arginine biosynthesis,Tyrosine biosynthesis,0
Arginine biosynthesis,Sodium transport,0
Arginine biosynthesis,Symport,0
Arginine biosynthesis,Two-component regulatory system,0
Arginine biosynthesis,Aromatic hydrocarbons catabolism,0
Arginine biosynthesis,Glycogen biosynthesis,0
Arginine biosynthesis,Glycogen metabolism,0
Arginine biosynthesis,One-carbon metabolism,0
Arginine biosynthesis,Glycerol metabolism,0
Arginine biosynthesis,Glyoxylate bypass,0
Arginine biosynthesis,Nitrate assimilation,0
Arginine biosynthesis,Translation regulation,0
Arginine biosynthesis,Galactose metabolism,0
Arginine biosynthesis,Leucine biosynthesis,0
Arginine biosynthesis,Polyamine biosynthesis,0
Arginine biosynthesis,Spermidine biosynthesis,0
Arginine biosynthesis,Glucose metabolism,0
Arginine biosynthesis,Proline metabolism,0
Arginine biosynthesis,Glutamate biosynthesis,0
Arginine biosynthesis,DNA excision,0
Arginine biosynthesis,Ubiquinone biosynthesis,0
Arginine biosynthesis,Fatty acid biosynthesis,0
Arginine biosynthesis,Fatty acid metabolism,0
Arginine biosynthesis,Lipid metabolism,0
Arginine biosynthesis,Lipid biosynthesis,0
Arginine biosynthesis,DNA recombination,1
Arginine biosynthesis,ATP synthesis,0
Arginine biosynthesis,Hydrogen ion transport,0
Arginine biosynthesis,Biotin biosynthesis,0
Arginine biosynthesis,Pyridine nucleotide biosynthesis,0
Arginine biosynthesis,Phospholipid biosynthesis,0
Arginine biosynthesis,Phospholipid metabolism,0
Arginine biosynthesis,Coenzyme A biosynthesis,0
Arginine biosynthesis,Septation,0
Arginine biosynthesis,Lipid A biosynthesis,0
Arginine biosynthesis,Gluconeogenesis,0
Arginine biosynthesis,Conjugation,0
Arginine biosynthesis,Nucleotide biosynthesis,0
Arginine biosynthesis,Molybdenum cofactor biosynthesis,0
Arginine biosynthesis,Transcription antitermination,0
Arginine biosynthesis,Pantothenate biosynthesis,0
Arginine biosynthesis,Queuosine biosynthesis,0
Arginine biosynthesis,Riboflavin biosynthesis,0
Arginine biosynthesis,Transcription termination,0
Arginine biosynthesis,mRNA processing,0
Arginine biosynthesis,Translocation,0
Arginine biosynthesis,Tryptophan catabolism,0
Arginine biosynthesis,Menaquinone biosynthesis,0
Arginine biosynthesis,Chromosome partition,0
Arginine biosynthesis,DNA integration,0
Arginine biosynthesis,Virulence,0
Arginine biosynthesis,Lipid degradation,0
Arginine biosynthesis,Cell adhesion,0
Arginine biosynthesis,Iron storage,0
Arginine biosynthesis,Cysteine biosynthesis,0
Arginine biosynthesis,Cobalamin biosynthesis,0
Arginine biosynthesis,Phenylalanine biosynthesis,0
Arginine biosynthesis,Phosphate transport,0
Arginine biosynthesis,Purine salvage,0
Arginine biosynthesis,Fucose metabolism,0
Arginine biosynthesis,Galactitol metabolism,0
Arginine biosynthesis,Serine biosynthesis,0
Arginine biosynthesis,Cytosine metabolism,0
Arginine biosynthesis,Peptide transport,0
Arginine biosynthesis,Arsenical resistance,0
Arginine biosynthesis,Plasmid copy control,0
Arginine biosynthesis,Respiratory chain,0
Arginine biosynthesis,Methotrexate resistance,0
Arginine biosynthesis,Trimethoprim resistance,0
Arginine biosynthesis,DNA condensation,0
Arginine biosynthesis,Flagellar rotation,0
Arginine biosynthesis,Quorum sensing,0
Arginine biosynthesis,Deoxyribonucleotide synthesis,0
Arginine biosynthesis,Detoxification,0
Arginine biosynthesis,Heme biosynthesis,0
Arginine biosynthesis,Isoprene biosynthesis,0
Arginine biosynthesis,Enterobactin biosynthesis,0
Arginine biosynthesis,Sulfate transport,0
Arginine biosynthesis,Bacterial flagellum biogenesis,0
Arginine biosynthesis,Bile acid catabolism,0
Arginine biosynthesis,Steroid metabolism,0
Arginine biosynthesis,Nickel transport,0
Arginine biosynthesis,Nitrogen fixation,0
Arginine biosynthesis,Thiamine biosynthesis,0
Arginine biosynthesis,Toxin-antitoxin system,0
Arginine biosynthesis,Transposition,0
Arginine biosynthesis,Lipid transport,0
Arginine biosynthesis,Hydrogen peroxide,0
Arginine biosynthesis,Capsule biogenesis/degradation,0
Arginine biosynthesis,Putrescine biosynthesis,0
Arginine biosynthesis,Maltose metabolism,0
Arginine biosynthesis,DNA synthesis,0
Arginine biosynthesis,Oxygen transport,0
Arginine biosynthesis,Arginine metabolism,0
Arginine biosynthesis,Tellurium resistance,0
Arginine biosynthesis,Ascorbate biosynthesis,0
Arginine biosynthesis,Fimbrium biogenesis,0
Arginine biosynthesis,Chromate resistance,0
Arginine biosynthesis,Zinc transport,0
Arginine biosynthesis,Cellulose biosynthesis,0
Arginine biosynthesis,Copper transport,0
Arginine biosynthesis,Autoinducer synthesis,0
Arginine biosynthesis,Bacterial flagellum protein export,0
Arginine biosynthesis,Exopolysaccharide synthesis,0
Arginine biosynthesis,Ammonia transport,0
Arginine biosynthesis,Virus entry into host cell,0
Arginine biosynthesis,Viral genome integration,0
Arginine biosynthesis,Purine metabolism,0
Arginine biosynthesis,PHB biosynthesis,0
Arginine biosynthesis,Polysaccharide degradation,0
Arginine biosynthesis,Xylan degradation,0
Pyrimidine biosynthesis,Chemotaxis,0
Pyrimidine biosynthesis,Bacteriocin transport,0
Pyrimidine biosynthesis,Protein transport,0
Pyrimidine biosynthesis,Ion transport,0
Pyrimidine biosynthesis,Host-virus interaction,0
Pyrimidine biosynthesis,SOS response,0
Pyrimidine biosynthesis,Antiport,0
Pyrimidine biosynthesis,Potassium transport,0
Pyrimidine biosynthesis,Diaminopimelate biosynthesis,0
Pyrimidine biosynthesis,GMP biosynthesis,0
Pyrimidine biosynthesis,Purine biosynthesis,0
Pyrimidine biosynthesis,Glutathione biosynthesis,0
Pyrimidine biosynthesis,Amino-acid transport,0
Pyrimidine biosynthesis,Lipopolysaccharide biosynthesis,0
Pyrimidine biosynthesis,Isoleucine biosynthesis,0
Pyrimidine biosynthesis,Folate biosynthesis,0
Pyrimidine biosynthesis,Tricarboxylic acid cycle,0
Pyrimidine biosynthesis,Stress response,0
Pyrimidine biosynthesis,Pyridoxine biosynthesis,0
Pyrimidine biosynthesis,Restriction system,0
Pyrimidine biosynthesis,Iron transport,0
Pyrimidine biosynthesis,tRNA processing,0
Pyrimidine biosynthesis,Ribosome biogenesis,0
Pyrimidine biosynthesis,Glycolysis,0
Pyrimidine biosynthesis,RNA repair,0
Pyrimidine biosynthesis,Nucleotide metabolism,0
Pyrimidine biosynthesis,Porphyrin biosynthesis,0
Pyrimidine biosynthesis,Histidine biosynthesis,0
Pyrimidine biosynthesis,rRNA processing,0
Pyrimidine biosynthesis,Proline biosynthesis,0
Pyrimidine biosynthesis,Tyrosine biosynthesis,0
Pyrimidine biosynthesis,Sodium transport,0
Pyrimidine biosynthesis,Symport,0
Pyrimidine biosynthesis,Two-component regulatory system,0
Pyrimidine biosynthesis,Aromatic hydrocarbons catabolism,0
Pyrimidine biosynthesis,Glycogen biosynthesis,0
Pyrimidine biosynthesis,Glycogen metabolism,0
Pyrimidine biosynthesis,One-carbon metabolism,0
Pyrimidine biosynthesis,Glycerol metabolism,0
Pyrimidine biosynthesis,Glyoxylate bypass,0
Pyrimidine biosynthesis,Nitrate assimilation,0
Pyrimidine biosynthesis,Translation regulation,0
Pyrimidine biosynthesis,Galactose metabolism,0
Pyrimidine biosynthesis,Leucine biosynthesis,0
Pyrimidine biosynthesis,Polyamine biosynthesis,0
Pyrimidine biosynthesis,Spermidine biosynthesis,0
Pyrimidine biosynthesis,Glucose metabolism,0
Pyrimidine biosynthesis,Proline metabolism,0
Pyrimidine biosynthesis,Glutamate biosynthesis,0
Pyrimidine biosynthesis,DNA excision,0
Pyrimidine biosynthesis,Ubiquinone biosynthesis,0
Pyrimidine biosynthesis,Fatty acid biosynthesis,0
Pyrimidine biosynthesis,Fatty acid metabolism,0
Pyrimidine biosynthesis,Lipid metabolism,0
Pyrimidine biosynthesis,Lipid biosynthesis,0
Pyrimidine biosynthesis,DNA recombination,0
Pyrimidine biosynthesis,ATP synthesis,0
Pyrimidine biosynthesis,Hydrogen ion transport,0
Pyrimidine biosynthesis,Biotin biosynthesis,0
Pyrimidine biosynthesis,Pyridine nucleotide biosynthesis,0
Pyrimidine biosynthesis,Phospholipid biosynthesis,0
Pyrimidine biosynthesis,Phospholipid metabolism,0
Pyrimidine biosynthesis,Coenzyme A biosynthesis,0
Pyrimidine biosynthesis,Septation,0
Pyrimidine biosynthesis,Lipid A biosynthesis,0
Pyrimidine biosynthesis,Gluconeogenesis,0
Pyrimidine biosynthesis,Conjugation,0
Pyrimidine biosynthesis,Nucleotide biosynthesis,0
Pyrimidine biosynthesis,Molybdenum cofactor biosynthesis,0
Pyrimidine biosynthesis,Transcription antitermination,0
Pyrimidine biosynthesis,Pantothenate biosynthesis,0
Pyrimidine biosynthesis,Queuosine biosynthesis,0
Pyrimidine biosynthesis,Riboflavin biosynthesis,0
Pyrimidine biosynthesis,Transcription termination,0
Pyrimidine biosynthesis,mRNA processing,0
Pyrimidine biosynthesis,Translocation,0
Pyrimidine biosynthesis,Tryptophan catabolism,0
Pyrimidine biosynthesis,Menaquinone biosynthesis,0
Pyrimidine biosynthesis,Chromosome partition,0
Pyrimidine biosynthesis,DNA integration,0
Pyrimidine biosynthesis,Virulence,0
Pyrimidine biosynthesis,Lipid degradation,0
Pyrimidine biosynthesis,Cell adhesion,0
Pyrimidine biosynthesis,Iron storage,0
Pyrimidine biosynthesis,Cysteine biosynthesis,0
Pyrimidine biosynthesis,Cobalamin biosynthesis,0
Pyrimidine biosynthesis,Phenylalanine biosynthesis,0
Pyrimidine biosynthesis,Phosphate transport,0
Pyrimidine biosynthesis,Purine salvage,0
Pyrimidine biosynthesis,Fucose metabolism,0
Pyrimidine biosynthesis,Galactitol metabolism,0
Pyrimidine biosynthesis,Serine biosynthesis,0
Pyrimidine biosynthesis,Cytosine metabolism,0
Pyrimidine biosynthesis,Peptide transport,0
Pyrimidine biosynthesis,Arsenical resistance,0
Pyrimidine biosynthesis,Plasmid copy control,0
Pyrimidine biosynthesis,Respiratory chain,0
Pyrimidine biosynthesis,Methotrexate resistance,0
Pyrimidine biosynthesis,Trimethoprim resistance,0
Pyrimidine biosynthesis,DNA condensation,0
Pyrimidine biosynthesis,Flagellar rotation,0
Pyrimidine biosynthesis,Quorum sensing,0
