,complex,gene,object_id
376,"2,3-dihydroxybenzoate-[aryl-carrier protein] ligase",entE,ENTE-CPLX
377,proofreading thioesterase in enterobactin biosynthesis,entH,CPLX0-7766
378,sensor histidine kinase EnvZ,envZ,ENVZ-CPLX
379,D-erythrose-4-phosphate dehydrogenase,epd,ERYTH4PDEHYDROG-CPLX
380,EF-P-lysine lysyltransferase,epmA,CPLX0-7889
381,iron-sulfur cluster insertion protein ErpA,erpA,CPLX0-7617
382,"ethanolamine ammonia-lyase subunit $\alpha$ // ""ethanolamine ammonia-lyase subunit $\beta$""",eutB,ETHAMLY-CPLX
383,"ethanolamine ammonia-lyase subunit $\alpha$ // ""ethanolamine ammonia-lyase subunit $\beta$""",eutC,ETHAMLY-CPLX
384,phosphate acetyltransferase EutD,eutD,CPLX0-7912
385,"predicted structural protein, ethanolamine utilization microcompartment",eutL,CPLX0-7801
386,putative ethanolamine catabolic microcompartment shell protein EutM,eutM,CPLX0-7835
387,putative ethanolamine catabolic microcompartment shell protein EutN,eutN,CPLX0-7613
388,putative ethanolamine catabolic microcompartment shell protein EutS,eutS,CPLX0-7836
389,ferric enterobactin outer membrane transport complex,exbD,CPLX0-1941
390,ferric enterobactin outer membrane transport complex,exbB,CPLX0-1941
391,ferric enterobactin outer membrane transport complex,tonB,CPLX0-1941
392,ferric enterobactin outer membrane transport complex,fepA,CPLX0-1941
393,ferrichrome outer membrane transport complex,exbD,CPLX0-1942
394,ferrichrome outer membrane transport complex,exbB,CPLX0-1942
395,ferrichrome outer membrane transport complex,tonB,CPLX0-1942
396,ferrichrome outer membrane transport complex,fhuA,CPLX0-1942
397,$\beta$-hydroxyacyl-acyl carrier protein dehydratase/isomerase,fabA,FABA-CPLX
398,$\beta$-ketoacyl-[acyl carrier protein] synthase I,fabB,FABB-CPLX
399,$\beta$-ketoacyl-[acyl carrier protein] synthase II,fabF,3-OXOACYL-ACP-SYNTHII-CPLX
400,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,CPLX0-8005
401,$\beta$-ketoacyl-[acyl carrier protein] synthase III,fabH,CPLX0-252
402,enoyl-[acyl-carrier-protein] reductase,fabI,CPLX0-8006
403,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,fabZ,FABZ-CPLX
404,"fatty acid oxidation complex, $\beta$ component",fadA,FADA-CPLX
405,"fatty acid oxidation complex, $\alpha$ component",fadB,FADB-CPLX
406,aerobic fatty acid oxidation complex,fadB,FAO-CPLX
407,aerobic fatty acid oxidation complex,fadA,FAO-CPLX
408,long-chain-fatty-acid$\mdash$CoA ligase,fadD,ACYLCOASYN-CPLX
409,anaerobic fatty acid $\beta$-oxidation complex,fadI,CPLX0-1668
410,anaerobic fatty acid $\beta$-oxidation complex,fadJ,CPLX0-1668
411,fructose-bisphosphate aldolase class II,fbaA,FRUCBISALD-CLASSII
412,fructose-bisphosphate aldolase class I,fbaB,FRUCBISALD-CLASSI
413,"fructose-1,6-bisphosphatase 1",fbp,F16B-CPLX
414,GDP-L-fucose synthase,fcl,CPLX0-3881
415,sulfurtransferase for molybdenum cofactor sulfuration,fdhD,CPLX0-8175
416,formate dehydrogenase formation protein,fdhE,CPLX0-7724
417,"formate dehydrogenase H // ""hydrogenase 3""",fdhF,FHLMULTI-CPLX
418,"formate dehydrogenase H // ""hydrogenase 3""",hycE,FHLMULTI-CPLX
419,"formate dehydrogenase H // ""hydrogenase 3""",hycB,FHLMULTI-CPLX
420,"formate dehydrogenase H // ""hydrogenase 3""",hycG,FHLMULTI-CPLX
421,"formate dehydrogenase H // ""hydrogenase 3""",hycF,FHLMULTI-CPLX
422,"formate dehydrogenase H // ""hydrogenase 3""",hycC,FHLMULTI-CPLX
423,"formate dehydrogenase H // ""hydrogenase 3""",hycD,FHLMULTI-CPLX
424,"formate dehydrogenase N, subcomplex",fdnG,FORMATEDEHYDROGN-CPLX
425,"formate dehydrogenase N, subcomplex",fdnH,FORMATEDEHYDROGN-CPLX
426,"formate dehydrogenase N, subcomplex",fdnI,FORMATEDEHYDROGN-CPLX
427,"formate dehydrogenase N, subcomplex",fdnI,ALPHA-SUBUNIT-CPLX
428,"formate dehydrogenase N, subcomplex",fdnH,ALPHA-SUBUNIT-CPLX
429,"formate dehydrogenase N, subcomplex",fdnG,ALPHA-SUBUNIT-CPLX
430,formate dehydrogenase O,fdoG,FORMATEDEHYDROGO-CPLX
431,formate dehydrogenase O,fdoH,FORMATEDEHYDROGO-CPLX
432,formate dehydrogenase O,fdoI,FORMATEDEHYDROGO-CPLX
433,phenylacetaldehyde dehydrogenase,feaB,PHENDEHYD-CPLX
434,ferric citrate outer membrane transport complex,fecA,CPLX0-1943
435,ferric citrate outer membrane transport complex,exbD,CPLX0-1943
436,ferric citrate outer membrane transport complex,exbB,CPLX0-1943
437,ferric citrate outer membrane transport complex,tonB,CPLX0-1943
438,FecAR Signal Transduction System,fecA,CPLX-3944
439,FecAR Signal Transduction System,fecR,CPLX-3944
440,ferric citrate ABC transporter,fecE,ABC-9-CPLX
441,ferric citrate ABC transporter,fecC,ABC-9-CPLX
442,ferric citrate ABC transporter,fecD,ABC-9-CPLX
443,ferric citrate ABC transporter,fecB,ABC-9-CPLX
444,ferric enterobactin ABC transporter,fepC,ABC-10-CPLX
445,ferric enterobactin ABC transporter,fepD,ABC-10-CPLX
446,ferric enterobactin ABC transporter,fepG,ABC-10-CPLX
447,ferric enterobactin ABC transporter,fepB,ABC-10-CPLX
448,iron(III) hydroxamate ABC transporter,fhuC,ABC-11-CPLX
449,iron(III) hydroxamate ABC transporter,fhuB,ABC-11-CPLX
450,iron(III) hydroxamate ABC transporter,fhuD,ABC-11-CPLX
451,ferric coprogen outer membrane transport complex,fhuE,CPLX0-7952
452,ferric coprogen outer membrane transport complex,exbD,CPLX0-7952
453,ferric coprogen outer membrane transport complex,exbB,CPLX0-7952
454,ferric coprogen outer membrane transport complex,tonB,CPLX0-7952
455,FicT-FicA complex,fic,CPLX0-8227
456,FicT-FicA complex,yhfG,CPLX0-8227
457,Zn$^2+$/Fe$^2+$/Cd$^2+$ exporter,fieF,CPLX0-7641
458,fimbrial complex,fimA,CPLX0-3401
459,fimbrial complex,fimF,CPLX0-3401
460,fimbrial complex,fimG,CPLX0-3401
461,fimbrial complex,fimH,CPLX0-3401
462,DNA-binding transcriptional dual regulator Fis,fis,CPLX0-7705
463,FKBP-type peptidyl-prolyl {\it cis-trans} isomerase FklB,fklB,CPLX0-3924
464,flagellar export apparatus,flhA,CPLX0-7451
465,flagellar export apparatus,flhB,CPLX0-7451
466,flagellar export apparatus,fliO,CPLX0-7451
467,flagellar export apparatus,fliP,CPLX0-7451
468,flagellar export apparatus,fliQ,CPLX0-7451
469,flagellar export apparatus,fliR,CPLX0-7451
470,flagellar export apparatus,fliH,CPLX0-7451
471,flagellar export apparatus,fliI,CPLX0-7451
472,flagellar export apparatus,fliJ,CPLX0-7451
473,FlhDC DNA-binding transcriptional dual regulator,flhD,CPLX0-3930
474,FlhDC DNA-binding transcriptional dual regulator,flhC,CPLX0-3930
475,RNA polymerase sigma 28,fliA,CPLX0-222
476,RNA polymerase sigma 28,rpoB,CPLX0-222
477,RNA polymerase sigma 28,rpoC,CPLX0-222
478,RNA polymerase sigma 28,rpoA,CPLX0-222
479,flagellar motor switch complex,fliG,CPLX0-7450
480,flagellar motor switch complex,fliM,CPLX0-7450
481,flagellar motor switch complex,fliN,CPLX0-7450
482,flagellum,fliL,CPLX0-7452
483,flagellum,fliE,CPLX0-7452
484,flagellum,fliF,CPLX0-7452
485,flagellum,flgI,CPLX0-7452
486,flagellum,flgG,CPLX0-7452
487,flagellum,flgF,CPLX0-7452
488,flagellum,flgC,CPLX0-7452
489,flagellum,flgB,CPLX0-7452
490,flagellum,motB,CPLX0-7452
491,flagellum,motA,CPLX0-7452
492,flagellum,flgH,CPLX0-7452
493,flagellum,fliG,CPLX0-7452
494,flagellum,fliM,CPLX0-7452
495,flagellum,fliN,CPLX0-7452
496,flagellum,fliJ,CPLX0-7452
497,flagellum,fliI,CPLX0-7452
498,flagellum,fliH,CPLX0-7452
499,flagellum,fliR,CPLX0-7452
500,flagellum,fliQ,CPLX0-7452
501,flagellum,fliP,CPLX0-7452
502,flagellum,fliO,CPLX0-7452
503,flagellum,flhB,CPLX0-7452
504,flagellum,flhA,CPLX0-7452
505,flagellum,flgE,CPLX0-7452
506,flagellum,flgK,CPLX0-7452
507,flagellum,flgL,CPLX0-7452
508,flagellum,fliC,CPLX0-7452
509,flagellum,fliD,CPLX0-7452
510,flagellar motor complex,fliN,FLAGELLAR-MOTOR-COMPLEX
511,flagellar motor complex,fliM,FLAGELLAR-MOTOR-COMPLEX
512,flagellar motor complex,fliG,FLAGELLAR-MOTOR-COMPLEX
513,flagellar motor complex,flgH,FLAGELLAR-MOTOR-COMPLEX
514,flagellar motor complex,motA,FLAGELLAR-MOTOR-COMPLEX
515,flagellar motor complex,motB,FLAGELLAR-MOTOR-COMPLEX
516,flagellar motor complex,flgB,FLAGELLAR-MOTOR-COMPLEX
517,flagellar motor complex,flgC,FLAGELLAR-MOTOR-COMPLEX
518,flagellar motor complex,flgF,FLAGELLAR-MOTOR-COMPLEX
519,flagellar motor complex,flgG,FLAGELLAR-MOTOR-COMPLEX
520,flagellar motor complex,flgI,FLAGELLAR-MOTOR-COMPLEX
521,flagellar motor complex,fliF,FLAGELLAR-MOTOR-COMPLEX
522,flagellar motor complex,fliE,FLAGELLAR-MOTOR-COMPLEX
523,flagellar motor complex,fliL,FLAGELLAR-MOTOR-COMPLEX
524,DNA-binding transcriptional dual regulator FNR,fnr,CPLX0-7797
525,formate channel FocA,focA,CPLX0-7843
526,dihydroneopterin aldolase,folB,CPLX0-3936
527,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",folD,FOLD-CPLX
528,GTP cyclohydrolase 1,folE,FOLE-CPLX
529,dihydropteroate synthase,folP,H2PTEROATESYNTH-CPLX
530,dihydroneopterin triphosphate 2'-epimerase,folX,FOLXTET-CPLX
531,formyl-CoA transferase,frc,CPLX0-1142
532,"fumarate reductase flavoprotein subunit // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD""",frdA,FUMARATE-REDUCTASE
533,"fumarate reductase flavoprotein subunit // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD""",frdB,FUMARATE-REDUCTASE
534,"fumarate reductase flavoprotein subunit // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD""",frdC,FUMARATE-REDUCTASE
535,"fumarate reductase flavoprotein subunit // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD""",frdD,FUMARATE-REDUCTASE
536,fructoselysine 6-phosphate deglycase,frlB,CPLX0-821
537,fructoselysine 3-epimerase,frlC,CPLX0-3861
538,{\it S}-(hydroxymethyl)glutathione dehydrogenase,frmA,ADHC-CPLX
539,DNA-binding transcriptional repressor FrmR,frmR,CPLX0-8234
540,fructose-specific PTS enzyme II,fruB,CPLX-158
541,fructose-specific PTS enzyme II,fruA,CPLX-158
542,1-phosphofructokinase,fruK,1-PFK
543,putative PTS enzyme II FrvAB,frvB,CPLX-159
544,putative PTS enzyme II FrvAB,frvA,CPLX-159
545,putative PTS enzyme II FrwCBDPtsA,frwC,CPLX-160
546,putative PTS enzyme II FrwCBDPtsA,frwB,CPLX-160
547,putative PTS enzyme II FrwCBDPtsA,frwD,CPLX-160
548,putative PTS enzyme II FrwCBDPtsA,ptsA,CPLX-160
549,putative PTS enzyme II FryBCA,fryC,CPLX0-8119
550,putative PTS enzyme II FryBCA,fryB,CPLX0-8119
551,putative PTS enzyme II FryBCA,fryA,CPLX0-8119
552,fructose-6-phosphate aldolase 1,fsaA,CPLX0-201
553,ferritin iron-storage complex,ftnA,CPLX0-3969
554,divisome protein complex FtsEX,ftsE,ABC-54-CPLX
555,divisome protein complex FtsEX,ftsX,ABC-54-CPLX
556,FtsLBQ cell division complex,ftsQ,CPLX0-7934
557,FtsLBQ cell division complex,ftsB,CPLX0-7934
558,FtsLBQ cell division complex,ftsL,CPLX0-7934
559,L-fuculose-phosphate aldolase,fucA,CPLX0-7633
560,L-fucose isomerase,fucI,CPLX0-7631
561,"L-1,2-propanediol oxidoreductase",fucO,LACTALDREDUCT-CPLX
562,L-fucose mutarotase,fucU,CPLX0-7645
563,fumarase A,fumA,FUMARASE-A
564,fumarase B,fumB,FUMARASE-B
565,fumarase C,fumC,FUMARASE-C
566,succinate-semialdehyde dehydrogenase (NADP$^+$) GabD,gabD,CPLX0-7688
567,4-aminobutyrate aminotransferase GabT,gabT,GABATRANSAM-CPLX
568,glutamate decarboxylase A,gadA,GLUTDECARBOXA-CPLX
569,glutamate decarboxylase B,gadB,GLUTDECARBOXB-CPLX
570,UDP-glucose 4-epimerase,galE,UDPGLUCEPIM-CPLX
571,galactose-1-phosphate uridylyltransferase,galT,GALACTURIDYLYLTRANS-CPLX
572,UTP$\mdash$glucose-1-phosphate uridylyltransferase,galU,CPLX0-8205
573,glyceraldehyde-3-phosphate dehydrogenase A,gapA,GAPDH-A-CPLX
574,$\alpha$-dehydro-$\beta$-deoxy-{\it D}-glucarate aldolase,garL,CPLX0-7615
575,galactitol-specific PTS enzyme II,gatC,CPLX0-231
576,galactitol-specific PTS enzyme II,gatB,CPLX0-231
577,galactitol-specific PTS enzyme II,gatA,CPLX0-231
578,galactitol-1-phosphate 5-dehydrogenase,gatD,CPLX0-8186
579,"tagatose-1,6-bisphosphate aldolase 2",gatY,CPLX0-241
580,"tagatose-1,6-bisphosphate aldolase 2",gatZ,CPLX0-241
581,glyoxylate carboligase,gcl,GLYOCARBOLIG-CPLX
582,glycine decarboxylase,gcvP,GCVP-CPLX
583,glutamate dehydrogenase,gdhA,GDHA-CPLX
584,guanidinium exporter,gdx,CPLX0-8263
585,glutathione hydrolase,ggt,CPLX0-7885
586,glyoxylate reductase,ghrB,CPLX0-235
587,glutarate hydroxylase GlaH,glaH,CPLX0-8201
588,glycolate dehydrogenase,glcD,CPLX0-7458
589,glycolate dehydrogenase,glcE,CPLX0-7458
590,glycolate dehydrogenase,glcF,CPLX0-7458
591,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",gldA,GLYCDEH-CPLX
592,glucose-1-phosphate adenylyltransferase,glgC,GLUC1PADENYLTRANS-CPLX
593,glycogen phosphorylase,glgP,GLYCOPHOSPHORYL-CPLX
594,L-glutamine$\mdash$D-fructose-6-phosphate aminotransferase,glmS,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX
595,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,glmU,NAG1P-URIDYLTRANS-CPLX
596,glutamine synthetase,glnA,GLUTAMINESYN-OLIGOMER
597,nitrogen regulatory protein PII-1,glnB,PIIPROTEIN-CPLX
598,DNA-binding transcriptional dual regulator NtrC,glnG,GLNG-CPLX
599,nitrogen regulator GlnK,glnK,PII2-CPLX
600,sensory histidine kinase NtrB - phosphorylated,glnL,PROTEIN-NRIIP
601,L-glutamine ABC transporter,glnQ,ABC-12-CPLX
602,L-glutamine ABC transporter,glnP,ABC-12-CPLX
603,L-glutamine ABC transporter,glnH,ABC-12-CPLX
604,glyoxalase I,gloA,GLYOXI-CPLX
605,anaerobic glycerol-3-phosphate dehydrogenase,glpA,ANGLYC3PDEHYDROG-CPLX
606,anaerobic glycerol-3-phosphate dehydrogenase,glpB,ANGLYC3PDEHYDROG-CPLX
607,anaerobic glycerol-3-phosphate dehydrogenase,glpC,ANGLYC3PDEHYDROG-CPLX
608,aerobic glycerol 3-phosphate dehydrogenase,glpD,AERGLYC3PDEHYDROG-CPLX
609,thiosulfate sulfurtransferase GlpE,glpE,CPLX0-242
610,glycerol facilitator,glpF,CPLX0-7654
611,glycerol kinase,glpK,GLYCEROL-KIN-CPLX
612,"glycerophosphoryl diester phosphodiesterase, periplasmic",glpQ,GLYCPDIESTER-PERI-CPLX
613,"fructose-1,6-bisphosphatase 2",glpX,CPLX0-303
614,sensory histidine kinase GlrK,glrK,CPLX0-8275
615,glutaminase 1,glsA,CPLX0-7694
616,glutaminase 2,glsB,CPLX0-7695
617,citrate synthase,gltA,CITRATE-SI-SYNTHASE
618,glutamate synthase,gltB,GLUTAMATESYN-CPLX
619,glutamate synthase,gltD,GLUTAMATESYN-CPLX
620,glutamate synthase,gltD,GLUTAMATESYN-DIMER
621,glutamate synthase,gltB,GLUTAMATESYN-DIMER
622,glutamate / aspartate ABC transporter,gltI,ABC-13-CPLX
623,glutamate / aspartate ABC transporter,gltK,ABC-13-CPLX
624,glutamate / aspartate ABC transporter,gltJ,ABC-13-CPLX
625,glutamate / aspartate ABC transporter,gltL,ABC-13-CPLX
626,tartronate semialdehyde reductase 2,glxR,CPLX0-7616
627,serine hydroxymethyltransferase,glyA,GLYOHMETRANS-CPLX
628,glycine$\mdash$tRNA ligase,glyS,GLYS-CPLX
629,glycine$\mdash$tRNA ligase,glyQ,GLYS-CPLX
630,"GDP-mannose 4,6-dehydratase",gmd,GDPMANDEHYDRA-CPLX
631,D-sedoheptulose 7-phosphate isomerase,gmhA,CPLX0-7660
632,guanylate kinase,gmk,GUANYL-KIN-CPLX
633,GDP-mannose mannosyl hydrolase,gmm,CPLX0-7712
634,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,6PGLUCONDEHYDROG-CPLX
635,putative phosphatidylethanolamine synthesis regulator GnsA,gnsA,CPLX0-8177
636,"D-gluconate kinase, thermostable",gntK,GLUCONOKINII-CPLX
637,glutathione reductase (NADPH),gor,GLUTATHIONE-REDUCT-NADPH-CPLX
638,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,PHOSGLYCMUTASE
639,"guanosine-5'-triphosphate,3'-diphosphate phosphatase",gpp,PPPGPPHYDRO-CPLX
640,"glycerol-3-phosphate dehydrogenase, biosynthetic",gpsA,GLYC3PDEHYDROGBIOSYN-CPLX
641,xanthine-guanine phosphoribosyltransferase,gpt,GPT-CPLX
642,GroEL-GroES chaperonin complex,groL,CPLX0-3934
643,GroEL-GroES chaperonin complex,groS,CPLX0-3934
644,nucleotide exchange factor GrpE,grpE,CPLX0-8192
645,glutaredoxin 4,grxD,CPLX0-7817
646,glutathione synthetase,gshB,GLUTATHIONE-SYN-CPLX
647,glutathione ABC transporter,gsiA,ABC-49-CPLX
648,glutathione ABC transporter,gsiB,ABC-49-CPLX
649,glutathione ABC transporter,gsiD,ABC-49-CPLX
650,glutathione ABC transporter,gsiC,ABC-49-CPLX
651,inosine/guanosine kinase,gsk,CPLX0-322
652,Type II secretion system,gspC,CPLX0-3382
653,Type II secretion system,gspD,CPLX0-3382
654,Type II secretion system,gspE,CPLX0-3382
655,Type II secretion system,gspF,CPLX0-3382
656,Type II secretion system,gspG,CPLX0-3382
657,Type II secretion system,gspH,CPLX0-3382
658,Type II secretion system,gspI,CPLX0-3382
659,Type II secretion system,gspJ,CPLX0-3382
660,Type II secretion system,gspK,CPLX0-3382
661,Type II secretion system,gspL,CPLX0-3382
662,Type II secretion system,gspM,CPLX0-3382
663,Type II secretion system,gspO,CPLX0-3382
664,fused glutathionylspermidine amidase / glutathionylspermidine synthetase,gss,GSP-CPLX
665,glutathione {\it S}-transferase GstA,gstA,GST-CPLX
666,GMP synthetase,guaA,GMP-SYN-CPLX
667,inosine 5'-monophosphate dehydrogenase,guaB,IMP-DEHYDROG-CPLX
668,GMP reductase,guaC,GMP-REDUCT-CPLX
669,D-arabinose 5-phosphate isomerase GutQ,gutQ,CPLX0-3929
670,DNA gyrase,gyrA,CPLX0-2425
671,DNA gyrase,gyrB,CPLX0-2425
672,putative 3-phenylpropionate/cinnamate dioxygenase,hcaC,HCAMULTI-CPLX
673,putative 3-phenylpropionate/cinnamate dioxygenase,hcaD,HCAMULTI-CPLX
674,putative 3-phenylpropionate/cinnamate dioxygenase,hcaF,HCAMULTI-CPLX
675,putative 3-phenylpropionate/cinnamate dioxygenase,hcaE,HCAMULTI-CPLX
676,protein/nucleic acid deglycase 1,hchA,CPLX0-861
677,periplasmic acid stress chaperone HdeA,hdeA,CPLX0-801
678,periplasmic acid stress chaperone HdeB,hdeB,CPLX0-8207
679,7-$\alpha$-hydroxysteroid dehydrogenase,hdhA,7-ALPHA-HYDROXYSTEROID-DEH-CPLX
680,glutamyl-tRNA reductase,hemA,CPLX0-3741
681,porphobilinogen synthase,hemB,PORPHOBILSYNTH-CPLX
682,coproporphyrinogen III oxidase,hemF,CPLX0-7808
683,protoporphyrinogen oxidase,hemG,CPLX0-7811
684,glutamate-1-semialdehyde aminotransferase,hemL,GSAAMINOTRANS-CPLX
685,heme chaperone HemW,hemW,CPLX0-8291
686,FtsH/HflKC protease complex,hflC,CPLX0-2982
687,FtsH/HflKC protease complex,hflK,CPLX0-2982
688,FtsH/HflKC protease complex,ftsH,CPLX0-2982
689,HflK-HflC complex; regulator of FtsH protease,hflK,CPLX0-1321
690,HflK-HflC complex; regulator of FtsH protease,hflC,CPLX0-1321
691,RNA-binding protein Hfq,hfq,CPLX0-1461
692,HigA antitoxin of the HigB-HigA toxin-antitoxin system and DNA-binding transcriptional repressor,higA,CPLX0-8229
693,HigB translation-dependent mRNA interferase and toxin of the HigB-HigA toxin-antitoxin system,higB,CPLX0-8228
694,HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,higB,CPLX0-8230
695,HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,higA,CPLX0-8230
696,purine nucleoside phosphoramidase,hinT,CPLX0-7755
697,HipB antitoxin / DNA-binding transcriptional repressor,hipB,CPLX0-7757
698,HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,hipB,CPLX0-7425
699,HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,hipA,CPLX0-7425
700,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,hisB,IMIDHISTID-CPLX
701,histidinol-phosphate aminotransferase,hisC,HISTPHOSTRANS-CPLX
702,histidinal/histidinol dehydrogenase,hisD,HISTDEHYD-CPLX
703,ATP phosphoribosyltransferase,hisG,CPLX0-7614
704,"imidazole glycerol phosphate synthase subunit HisH // ""imidazole glycerol phosphate synthase subunit HisF""",hisH,GLUTAMIDOTRANS-CPLX
705,"imidazole glycerol phosphate synthase subunit HisH // ""imidazole glycerol phosphate synthase subunit HisF""",hisF,GLUTAMIDOTRANS-CPLX
706,histidine ABC transporter,hisP,ABC-14-CPLX
707,histidine ABC transporter,hisM,ABC-14-CPLX
708,histidine ABC transporter,hisQ,ABC-14-CPLX
709,histidine ABC transporter,hisJ,ABC-14-CPLX
710,lysine / arginine / ornithine ABC transporter,hisQ,ABC-3-CPLX
711,lysine / arginine / ornithine ABC transporter,hisP,ABC-3-CPLX
712,lysine / arginine / ornithine ABC transporter,hisM,ABC-3-CPLX
713,lysine / arginine / ornithine ABC transporter,argT,ABC-3-CPLX
714,histidine$\mdash$tRNA ligase,hisS,HISS-CPLX
715,hydroxyisourate hydrolase / transthyretin-related protein,hiuH,CPLX0-3961
716,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,hldE,CPLX0-3661
717,protein HokC,hokC,CPLX0-2621
718,"DNA polymerase III, $\psi$-$\chi$ subunit",holC,CPLX0-7910
719,"DNA polymerase III, $\psi$-$\chi$ subunit",holD,CPLX0-7910
720,"DNA polymerase III, holoenzyme",holE,CPLX0-3803
721,"DNA polymerase III, holoenzyme",dnaQ,CPLX0-3803
722,"DNA polymerase III, holoenzyme",dnaE,CPLX0-3803
723,"DNA polymerase III, holoenzyme",holA,CPLX0-3803
724,"DNA polymerase III, holoenzyme",holB,CPLX0-3803
725,"DNA polymerase III, holoenzyme",dnaX,CPLX0-3803
726,"DNA polymerase III, holoenzyme",dnaN,CPLX0-3803
727,"DNA polymerase III, holoenzyme",holD,CPLX0-3803
728,"DNA polymerase III, holoenzyme",holC,CPLX0-3803
729,hypoxanthine phosphoribosyltransferase,hpt,CPLX0-7685
730,<I>Eco</I>KI restriction-modification system,hsdM,CPLX0-3958
731,<I>Eco</I>KI restriction-modification system,hsdR,CPLX0-3958
732,<I>Eco</I>KI restriction-modification system,hsdS,CPLX0-3958
733,HslU hexamer,hslU,CPLX0-1161
734,HslVU protease,hslU,CPLX0-1163
735,HslVU protease,hslV,CPLX0-1163
736,HslV hexamer,hslV,CPLX0-1162
737,"heat shock protein, hemimethylated DNA-binding protein",hspQ,CPLX0-3921
738,chaperone protein HtpG,htpG,CPLX0-2641
739,HU$\alpha$$\alpha$,hupA,CPLX0-8256
740,DNA-binding transcriptional dual regulator HU,hupA,CPLX0-2021
741,DNA-binding transcriptional dual regulator HU,hupB,CPLX0-2021
742,hydrogenase 1,hyaA,FORMHYDROGI-CPLX
743,hydrogenase 1,hyaB,FORMHYDROGI-CPLX
744,hydrogenase 1,hyaC,FORMHYDROGI-CPLX
745,"hydrogenase 1, oxygen tolerant hydrogenase",hyaC,CPLX0-8167
746,"hydrogenase 1, oxygen tolerant hydrogenase",hyaB,CPLX0-8167
747,"hydrogenase 1, oxygen tolerant hydrogenase",hyaA,CPLX0-8167
748,hydrogenase 2,hybA,FORMHYDROG2-CPLX
749,hydrogenase 2,hybB,FORMHYDROG2-CPLX
750,hydrogenase 2,hybO,FORMHYDROG2-CPLX
751,hydrogenase 2,hybC,FORMHYDROG2-CPLX
752,hydrogenase 3,hycD,HYDROG3-CPLX
753,hydrogenase 3,hycC,HYDROG3-CPLX
754,hydrogenase 3,hycF,HYDROG3-CPLX
755,hydrogenase 3,hycG,HYDROG3-CPLX
756,hydrogenase 3,hycB,HYDROG3-CPLX
757,hydrogenase 3,hycE,HYDROG3-CPLX
758,hydrogenase 4,hyfG,CPLX0-250
759,hydrogenase 4,hyfI,CPLX0-250
760,hydrogenase 4,hyfA,CPLX0-250
761,hydrogenase 4,hyfB,CPLX0-250
762,hydrogenase 4,hyfC,CPLX0-250
763,hydrogenase 4,hyfD,CPLX0-250
764,hydrogenase 4,hyfE,CPLX0-250
765,hydrogenase 4,hyfF,CPLX0-250
766,hydrogenase 4,hyfH,CPLX0-250
767,hydroxypyruvate isomerase,hyi,CPLX-171
768,HypA-HypB heterodimer,hypA,CPLX0-3821
769,HypA-HypB heterodimer,hypB,CPLX0-3821
770,hydrogenase isozymes nickel incorporation protein HypB,hypB,CPLX0-3561
771,HypCD complex involved in hydrogenase maturation,hypD,CPLX0-7986
772,HypCD complex involved in hydrogenase maturation,hypC,CPLX0-7986
773,HypT-[Met]reduced,hypT,CPLX0-7970
774,phenylhydantoinase,hyuA,CPLX0-255
775,isoaspartyl dipeptidase / asparaginase III,iaaA,CPLX0-263
776,isoaspartyl dipeptidase,iadA,CPLX0-3021
777,Grx4-IbaG complex,ibaG,CPLX0-8239
778,Grx4-IbaG complex,grxD,CPLX0-8239
779,small heat shock protein IbpA,ibpA,CPLX0-8108
780,small heat shock protein IbpB homodimer,ibpB,CPLX0-8107
781,isocitrate dehydrogenase,icd,ISOCITHASE-CPLX
782,5-keto-D-gluconate 5-reductase,idnO,CPLX0-8292
783,DNA-binding transcriptional dual regulator IHF,ihfA,PC00027
784,DNA-binding transcriptional dual regulator IHF,ihfB,PC00027
785,threonine deaminase,ilvA,THREDEHYDSYN-CPLX
786,"acetohydroxy acid synthase I subunit IlvB // ""acetohydroxy acid synthase I subunit IlvN""",ilvB,ACETOLACTSYNI-CPLX
