accession_number,category,go_mapping,hierarchy,id
KW-0911,Disease,, Myofibrillar myopathy; Desmin-related myopathy,Desmin-related myopathy
KW-0216,Biological process,GO:0009636; response to toxic substance, Detoxification,Detoxification
KW-0217,Molecular function,GO:0007275; multicellular organism development, Developmental protein,Developmental protein
KW-9996,,,,
KW-0218,Disease,, Diabetes insipidus,Diabetes insipidus
KW-0219,Disease,, Diabetes mellitus,Diabetes mellitus
KW-0220,Biological process,GO:0019877; diaminopimelate biosynthetic process, Diaminopimelate biosynthesis,Diaminopimelate biosynthesis
KW-1024,Disease,, Diamond-Blackfan anemia,Diamond-Blackfan anemia
KW-0221,Biological process,GO:0030154; cell differentiation, Differentiation,Differentiation
KW-0222,Biological process,GO:0007586; digestion, Digestion,Digestion
KW-0223,Molecular function,GO:0051213; dioxygenase activity, Oxidoreductase; Dioxygenase,Dioxygenase
KW-0224,Molecular function,GO:0016805; dipeptidase activity, Hydrolase; Protease; Dipeptidase,Dipeptidase
KW-0903,Technical term,, Direct protein sequencing,Direct protein sequencing
KW-9995,,,,
KW-0225,Disease,, Disease mutation,Disease mutation
KW-1015,PTM,, Disulfide bond,Disulfide bond
KW-0226,Biological process,GO:0030261; chromosome condensation, DNA condensation,DNA condensation
KW-0227,Biological process,GO:0006974; cellular response to DNA damage stimulus, DNA damage,DNA damage
KW-1256,Biological process,GO:0099016; DNA end degradation evasion by virus, Host-virus interaction; DNA end degradation evasion by virus,DNA end degradation evasion by virus
KW-0228,Biological process,GO:0006281; DNA repair, DNA excision,DNA excision
KW-0229,Biological process,GO:0015074; DNA integration, DNA integration,DNA integration
KW-0230,Molecular function,GO:0006310; DNA recombination, DNA invertase,DNA invertase
KW-0233,Biological process,GO:0006310; DNA recombination, DNA recombination,DNA recombination
KW-0234,Biological process,GO:0006281; DNA repair, DNA damage; DNA repair,DNA repair
KW-0235,Biological process,GO:0006260; DNA replication, DNA replication,DNA replication
KW-0236,Molecular function,GO:0008156; negative regulation of DNA replication, DNA replication inhibitor,DNA replication inhibitor
KW-0237,Biological process,GO:0071897; DNA biosynthetic process, DNA synthesis,DNA synthesis
KW-0238,Molecular function,GO:0003677; DNA binding, DNA-binding,DNA-binding
KW-0239,Molecular function,GO:0003887; DNA-directed DNA polymerase activity, Transferase; Nucleotidyltransferase; DNA-directed DNA polymerase,DNA-directed DNA polymerase
KW-0240,Cellular component,GO:0003899; DNA-directed 5'-3' RNA polymerase activity, DNA-directed RNA polymerase,DNA-directed RNA polymerase
KW-9994,,,,
KW-0241,Disease,, Down syndrome,Down syndrome
KW-0242,Disease,, Dwarfism,Dwarfism
KW-0243,Cellular component,GO:0030286; dynein complex, Dynein,Dynein
KW-1011,Disease,, Dyskeratosis congenita,Dyskeratosis congenita
KW-1023,Disease,, Dystonia,Dystonia
KW-1215,Disease,, Dystroglycanopathy,Dystroglycanopathy
KW-0244,Developmental stage,, Early protein,Early protein
KW-0038,Disease,, Ectodermal dysplasia,Ectodermal dysplasia
KW-0245,Domain,, EGF-like domain,EGF-like domain
KW-0248,Disease,, Ehlers-Danlos syndrome,Ehlers-Danlos syndrome
KW-0249,Biological process,GO:0055114; oxidation-reduction process, Transport; Electron transport,Electron transport
KW-0250,Disease,, Hereditary hemolytic anemia; Elliptocytosis,Elliptocytosis
KW-0251,Molecular function,GO:0006414; translational elongation, Elongation factor,Elongation factor
KW-1067,Disease,, Emery-Dreifuss muscular dystrophy,Emery-Dreifuss muscular dystrophy
KW-0254,Biological process,GO:0006897; endocytosis, Endocytosis,Endocytosis
KW-0255,Molecular function,GO:0004519; endonuclease activity, Hydrolase; Nuclease; Endonuclease,Endonuclease
KW-0256,Cellular component,GO:0005783; endoplasmic reticulum, Endoplasmic reticulum,Endoplasmic reticulum
KW-0257,Molecular function,GO:0007218; neuropeptide signaling pathway, Endorphin,Endorphin
KW-0967,Cellular component,GO:0005768; endosome, Endosome,Endosome
KW-0259,Biological process,GO:0009239; enterobactin biosynthetic process, Enterobactin biosynthesis,Enterobactin biosynthesis
KW-0260,Molecular function,GO:0009405; pathogenesis, Toxin; Enterotoxin,Enterotoxin
KW-0263,Disease,, Epidermolysis bullosa,Epidermolysis bullosa
KW-0887,Disease,, Epilepsy,Epilepsy
KW-0931,Biological process,GO:0016192; vesicle-mediated transport, Transport; ER-Golgi transport,ER-Golgi transport
KW-0895,Technical term,, ERV,ERV
KW-0265,Biological process,GO:0043249; erythrocyte maturation, Erythrocyte maturation,Erythrocyte maturation
KW-0266,Biological process,GO:0009693; ethylene biosynthetic process, Ethylene biosynthesis,Ethylene biosynthesis
KW-0936,Biological process,GO:0009873; ethylene-activated signaling pathway, Ethylene signaling pathway,Ethylene signaling pathway
KW-1262,Biological process,, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus,Eukaryotic host gene expression shutoff by virus
KW-1191,Biological process,GO:0039653; suppression by virus of host transcription, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Eukaryotic host transcription shutoff by virus,Eukaryotic host transcription shutoff by virus
KW-1193,Biological process,GO:0039604; suppression by virus of host translation, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Eukaryotic host translation shutoff by virus,Eukaryotic host translation shutoff by virus
KW-1259,Biological process,, Host-virus interaction; Evasion of bacteria-mediated translation shutoff by virus,Evasion of bacteria-mediated translation shutoff by virus
KW-1125,Biological process,GO:0030683; evasion or tolerance by virus of host immune response, Host-virus interaction; Viral immunoevasion; Evasion of host immunity by viral interleukin-like protein,Evasion of host immunity by viral interleukin-like protein
KW-0267,Molecular function,GO:0004518; nuclease activity, Excision nuclease,Excision nuclease
KW-0268,Biological process,GO:0006887; exocytosis, Exocytosis,Exocytosis
KW-0269,Molecular function,GO:0004527; exonuclease activity, Hydrolase; Nuclease; Exonuclease,Exonuclease
KW-0270,Biological process,GO:0000271; polysaccharide biosynthetic process, Exopolysaccharide synthesis,Exopolysaccharide synthesis
KW-0271,Cellular component,GO:0000178; exosome (RNase complex), Exosome,Exosome
KW-0952,Technical term,, Extinct organism protein,Extinct organism protein
KW-0272,Cellular component,, Secreted; Extracellular matrix,Extracellular matrix
KW-0273,Molecular function,GO:0005212; structural constituent of eye lens, Eye lens protein,Eye lens protein
KW-0274,Ligand,, Flavoprotein; FAD,FAD
KW-0951,Disease,, Familial hemophagocytic lymphohistiocytosis,Familial hemophagocytic lymphohistiocytosis
KW-0923,Disease,, Fanconi anemia,Fanconi anemia
KW-0275,Biological process,GO:0006633; fatty acid biosynthetic process, Lipid metabolism; Lipid biosynthesis; Fatty acid biosynthesis,Fatty acid biosynthesis
KW-0276,Biological process,GO:0006631; fatty acid metabolic process, Lipid metabolism; Fatty acid metabolism,Fatty acid metabolism
KW-0278,Biological process,GO:0007338; single fertilization, Fertilization,Fertilization
KW-1206,Molecular function,, Toxin; Hemostasis impairing toxin; Fibrinogenolytic toxin,Fibrinogenolytic toxin
KW-0280,Biological process,GO:0042730; fibrinolysis, Hemostasis; Blood coagulation; Fibrinolysis,Fibrinolysis
KW-1205,Molecular function,, Toxin; Hemostasis impairing toxin; Fibrinolytic toxin,Fibrinolytic toxin
KW-0281,Cellular component,GO:0009289; pilus, Fimbrium,Fimbrium
KW-1029,Biological process,, Fimbrium biogenesis,Fimbrium biogenesis
KW-0283,Biological process,GO:0097588; archaeal or bacterial-type flagellum-dependent cell motility, Flagellar rotation,Flagellar rotation
KW-0282,Cellular component,GO:0031514; motile cilium, Cell projection; Cilium; Flagellum,Flagellum
KW-0284,Biological process,GO:0009813; flavonoid biosynthetic process, Flavonoid biosynthesis,Flavonoid biosynthesis
KW-0285,Ligand,, Flavoprotein,Flavoprotein
KW-0286,Biological process,GO:0007629; flight behavior, Flight,Flight
KW-0287,Biological process,GO:0009908; flower development, Flowering,Flowering
KW-0288,Ligand,, Flavoprotein; FMN,FMN
KW-0289,Biological process,GO:0046656; folic acid biosynthetic process, Folate biosynthesis,Folate biosynthesis
KW-0290,Ligand,GO:0005542; folic acid binding, Folate-binding,Folate-binding
KW-0291,PTM,, Formylation,Formylation
KW-0292,Biological process,GO:0009835; fruit ripening, Fruit ripening,Fruit ripening
KW-0293,Developmental stage,, Fruiting body,Fruiting body
KW-0294,Biological process,GO:0006004; fucose metabolic process, Carbohydrate metabolism; Fucose metabolism,Fucose metabolism
KW-0295,Molecular function,GO:0050832; defense response to fungus, Antimicrobial; Fungicide,Fungicide
KW-1169,Biological process,GO:0019064; fusion of virus membrane with host plasma membrane, Virus entry into host cell; Viral penetration into host cytoplasm; Fusion of virus membrane with host membrane; Fusion of virus membrane with host cell membrane,Fusion of virus membrane with host cell membrane
KW-1170,Biological process,GO:0039654; fusion of virus membrane with host endosome membrane, Virus entry into host cell; Viral penetration into host cytoplasm; Fusion of virus membrane with host membrane; Fusion of virus membrane with host endosomal membrane,Fusion of virus membrane with host endosomal membrane
KW-1168,Biological process,GO:0039663; membrane fusion involved in viral entry into host cell, Virus entry into host cell; Viral penetration into host cytoplasm; Fusion of virus membrane with host membrane,Fusion of virus membrane with host membrane
KW-1239,Biological process,GO:0098997; fusion of virus membrane with host outer membrane, Virus entry into host cell; Viral penetration into host cytoplasm; Fusion of virus membrane with host membrane; Fusion of virus membrane with host outer membrane,Fusion of virus membrane with host outer membrane
KW-1214,Molecular function,, Toxin; G-protein coupled receptor impairing toxin; G-protein coupled acetylcholine receptor impairing toxin,G-protein coupled acetylcholine receptor impairing toxin
KW-0297,Molecular function,GO:0007186; G protein-coupled receptor signaling pathway, Transducer; G-protein coupled receptor,G-protein coupled receptor
KW-1213,Molecular function,, Toxin; G-protein coupled receptor impairing toxin,G-protein coupled receptor impairing toxin
KW-1077,Biological process,GO:0039646; modulation by virus of host G0/G1 transition checkpoint, Host-virus interaction; Modulation of host cell cycle by virus; G0/G1 host cell cycle checkpoint dysregulation by virus,G0/G1 host cell cycle checkpoint dysregulation by virus
KW-1078,Biological process,GO:0039645; modulation by virus of host G1/S transition checkpoint, Host-virus interaction; Modulation of host cell cycle by virus; G1/S host cell cycle checkpoint dysregulation by virus,G1/S host cell cycle checkpoint dysregulation by virus
KW-0298,Biological process,GO:0019402; galactitol metabolic process, Galactitol metabolism,Galactitol metabolism
KW-0299,Biological process,GO:0006012; galactose metabolic process, Carbohydrate metabolism; Galactose metabolism,Galactose metabolism
KW-0301,PTM,, Gamma-carboxyglutamic acid,Gamma-carboxyglutamic acid
KW-0331,Disease,, Gangliosidosis,Gangliosidosis
KW-0303,Cellular component,GO:0005921; gap junction, Cell junction; Gap junction,Gap junction
KW-0302,Molecular function,GO:0035282; segmentation, Developmental protein; Gap protein,Gap protein
KW-0304,Cellular component,GO:0031411; gas vesicle, Vacuole; Gas vesicle,Gas vesicle
KW-0305,Biological process,GO:0007585; respiratory gaseous exchange by respiratory system, Gaseous exchange,Gaseous exchange
KW-0306,Biological process,GO:0007369; gastrulation, Gastrulation,Gastrulation
KW-0307,Disease,, Gaucher disease,Gaucher disease
KW-0308,Technical term,, Genetically modified food,Genetically modified food
KW-0309,Biological process,, Germination,Germination
KW-0939,Biological process,GO:0009740; gibberellic acid mediated signaling pathway, Gibberellin signaling pathway,Gibberellin signaling pathway
KW-0955,Disease,, Glaucoma,Glaucoma
KW-0311,Biological process,GO:0019521; D-gluconate metabolic process, Gluconate utilization,Gluconate utilization
KW-0312,Biological process,GO:0006094; gluconeogenesis, Gluconeogenesis,Gluconeogenesis
KW-0313,Biological process,GO:0006006; glucose metabolic process, Carbohydrate metabolism; Glucose metabolism,Glucose metabolism
KW-0314,Biological process,GO:0006537; glutamate biosynthetic process, Amino-acid biosynthesis; Glutamate biosynthesis,Glutamate biosynthesis
KW-0315,Domain,GO:0006541; glutamine metabolic process, Glutamine amidotransferase,Glutamine amidotransferase
KW-0316,Disease,, Glutaricaciduria,Glutaricaciduria
KW-0317,Biological process,GO:0006750; glutathione biosynthetic process, Glutathione biosynthesis,Glutathione biosynthesis
KW-0318,PTM,, Glutathionylation,Glutathionylation
KW-0971,PTM,, Glycoprotein; Glycation,Glycation
KW-0319,Biological process,GO:0006071; glycerol metabolic process, Glycerol metabolism,Glycerol metabolism
KW-0320,Biological process,GO:0005978; glycogen biosynthetic process, Glycogen biosynthesis,Glycogen biosynthesis
KW-0321,Biological process,GO:0005977; glycogen metabolic process, Carbohydrate metabolism; Glycogen metabolism,Glycogen metabolism
KW-0322,Disease,, Glycogen storage disease,Glycogen storage disease
KW-0323,Biological process,GO:0009854; oxidative photosynthetic carbon pathway, Glycolate pathway,Glycolate pathway
KW-0324,Biological process,GO:0006096; glycolytic process, Glycolysis,Glycolysis
KW-0325,PTM,, Glycoprotein,Glycoprotein
KW-0326,Molecular function,"GO:0016798; hydrolase activity, acting on glycosyl bonds", Hydrolase; Glycosidase,Glycosidase
KW-0327,Cellular component,GO:0020015; glycosome, Glycosome,Glycosome
KW-0328,Molecular function,"GO:0016757; transferase activity, transferring glycosyl groups", Transferase; Glycosyltransferase,Glycosyltransferase
KW-0329,Biological process,GO:0006097; glyoxylate cycle, Glyoxylate bypass,Glyoxylate bypass
KW-0330,Cellular component,GO:0009514; glyoxysome, Glyoxysome,Glyoxysome
KW-0332,Biological process,GO:0006177; GMP biosynthetic process, Purine biosynthesis; GMP biosynthesis,GMP biosynthesis
KW-0333,Cellular component,GO:0005794; Golgi apparatus, Golgi apparatus,Golgi apparatus
KW-0334,Biological process,GO:0007506; gonadal mesoderm development, Differentiation; Gonadal differentiation,Gonadal differentiation
KW-0335,Disease,, Gout,Gout
KW-0336,PTM,GO:0031225; anchored component of membrane, Membrane; GPI-anchor,GPI-anchor
KW-0337,Biological process,GO:0006506; GPI anchor biosynthetic process, GPI-anchor biosynthesis,GPI-anchor biosynthesis
KW-0338,Biological process,GO:0007050; cell cycle arrest, Cell cycle; Growth arrest,Growth arrest
KW-0339,Molecular function,GO:0008083; growth factor activity, Growth factor,Growth factor
KW-0340,Molecular function,GO:0019838; growth factor binding, Growth factor binding,Growth factor binding
KW-0341,Biological process,GO:0040008; regulation of growth, Growth regulation,Growth regulation
KW-0342,Ligand,GO:0005525; GTP binding, Nucleotide-binding; GTP-binding,GTP-binding
KW-0343,Molecular function,GO:0005096; GTPase activator activity, GTPase activation,GTPase activation
KW-0344,Molecular function,GO:0005085; guanyl-nucleotide exchange factor activity, Guanine-nucleotide releasing factor,Guanine-nucleotide releasing factor
KW-0345,Cellular component,GO:0034364; high-density lipoprotein particle, HDL,HDL
KW-1009,Biological process,GO:0007605; sensory perception of sound, Hearing,Hearing
KW-1139,Cellular component,GO:0019029; helical viral capsid, Virion; Helical capsid protein,Helical capsid protein
KW-0347,Molecular function,GO:0004386; helicase activity, Hydrolase; Helicase,Helicase
KW-0348,Molecular function,, Hemagglutinin,Hemagglutinin
KW-0349,Ligand,, Metal-binding; Heme,Heme
KW-0350,Biological process,GO:0006783; heme biosynthetic process, Heme biosynthesis,Heme biosynthesis
KW-0351,Ligand,GO:0030492; hemoglobin binding, Hemoglobin-binding,Hemoglobin-binding
KW-0353,Biological process,GO:0042381; hemolymph coagulation, Hemolymph clotting,Hemolymph clotting
KW-0354,Biological process,GO:0044179; hemolysis in other organism, Cytolysis; Hemolysis,Hemolysis
KW-1068,Disease,, Hemolytic uremic syndrome,Hemolytic uremic syndrome
KW-0355,Disease,, Hemophilia,Hemophilia
KW-1200,Molecular function,, Toxin; Hemostasis impairing toxin; Hemorrhagic toxin,Hemorrhagic toxin
KW-0356,Biological process,GO:0007599; hemostasis, Hemostasis,Hemostasis
KW-1199,Molecular function,, Toxin; Hemostasis impairing toxin,Hemostasis impairing toxin
KW-0357,PTM,, Glycoprotein; Proteoglycan; Heparan sulfate,Heparan sulfate
KW-0358,Molecular function,GO:0008201; heparin binding, Heparin-binding,Heparin-binding
KW-0359,Biological process,GO:0009635; response to herbicide, Herbicide resistance,Herbicide resistance
KW-0360,Disease,, Hereditary hemolytic anemia,Hereditary hemolytic anemia
KW-0361,Disease,, Hereditary multiple exostoses,Hereditary multiple exostoses
KW-0362,Disease,, Hereditary nonpolyposis colorectal cancer,Hereditary nonpolyposis colorectal cancer
KW-0890,Disease,, Neurodegeneration; Hereditary spastic paraplegia,Hereditary spastic paraplegia
KW-0363,Disease,, Albinism; Hermansky-Pudlak syndrome,Hermansky-Pudlak syndrome
KW-0364,Developmental stage,GO:0043158; heterocyst differentiation, Heterocyst,Heterocyst
KW-1056,Disease,, Heterotaxy,Heterotaxy
KW-0909,Biological process,GO:0042750; hibernation, Hibernation,Hibernation
KW-0367,Disease,, Hirschsprung disease,Hirschsprung disease
KW-0368,Biological process,GO:0000105; histidine biosynthetic process, Amino-acid biosynthesis; Histidine biosynthesis,Histidine biosynthesis
KW-0369,Biological process,GO:0006547; histidine metabolic process, Histidine metabolism,Histidine metabolism
KW-0370,Disease,, Holoprosencephaly,Holoprosencephaly
KW-0371,Domain,GO:0003677; DNA binding, Homeobox,Homeobox
KW-0372,Molecular function,GO:0005179; hormone activity, Hormone,Hormone
KW-1030,Cellular component,GO:0020002; host cell plasma membrane, Membrane; Host membrane; Host cell membrane; Host cell inner membrane,Host cell inner membrane
KW-1031,Cellular component,GO:0044156; host cell junction, Host cell junction,Host cell junction
KW-0578,Biological process,GO:0044659; cytolysis by virus of host cell, Viral release from host cell; Host cell lysis by virus,Host cell lysis by virus
KW-1032,Cellular component,GO:0020002; host cell plasma membrane, Membrane; Host membrane; Host cell membrane,Host cell membrane
KW-1033,Cellular component,GO:0020002; host cell plasma membrane, Membrane; Host membrane; Host cell outer membrane,Host cell outer membrane
KW-1034,Cellular component,GO:0044157; host cell projection, Host cell projection,Host cell projection
KW-1183,Molecular function,GO:0001618; virus receptor activity, Receptor; Host cell receptor for virus entry,Host cell receptor for virus entry
KW-1035,Cellular component,GO:0030430; host cell cytoplasm, Host cytoplasm,Host cytoplasm
KW-1036,Cellular component,GO:0044161; host cell cytoplasmic vesicle, Host cytoplasmic vesicle,Host cytoplasmic vesicle
KW-1037,Cellular component,GO:0044163; host cytoskeleton, Host cytoplasm; Host cytoskeleton,Host cytoskeleton
KW-1038,Cellular component,GO:0044165; host cell endoplasmic reticulum, Host endoplasmic reticulum,Host endoplasmic reticulum
KW-1039,Cellular component,GO:0044174; host cell endosome, Host endosome,Host endosome
KW-1079,Biological process,GO:0039592; suppression by virus of G2/M transition of host mitotic cell cycle, Host-virus interaction; Modulation of host cell cycle by virus; Host G2/M cell cycle arrest by virus,Host G2/M cell cycle arrest by virus
KW-1190,Biological process,GO:0039657; suppression by virus of host gene expression, Host-virus interaction; Host gene expression shutoff by virus,Host gene expression shutoff by virus
KW-1040,Cellular component,GO:0044177; host cell Golgi apparatus, Host Golgi apparatus,Host Golgi apparatus
KW-1041,Cellular component,GO:0044186; host cell lipid droplet, Host lipid droplet,Host lipid droplet
KW-1042,Cellular component,GO:0044187; host cell lysosome, Host lysosome,Host lysosome
KW-1043,Cellular component,GO:0033644; host cell membrane, Membrane; Host membrane,Host membrane
KW-1044,Cellular component,GO:0033648; host intracellular membrane-bounded organelle, Host endoplasmic reticulum; Host microsome,Host microsome
KW-1045,Cellular component,GO:0033650; host cell mitochondrion, Host mitochondrion,Host mitochondrion
KW-1046,Cellular component,GO:0044192; host cell mitochondrial inner membrane, Host mitochondrion; Host mitochondrion inner membrane,Host mitochondrion inner membrane
KW-1047,Cellular component,GO:0044193; host cell mitochondrial outer membrane, Host mitochondrion; Host mitochondrion outer membrane,Host mitochondrion outer membrane
KW-1192,Biological process,, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Host mRNA suppression by virus,Host mRNA suppression by virus
KW-1048,Cellular component,GO:0042025; host cell nucleus, Host nucleus,Host nucleus
KW-1049,Cellular component,GO:0044229; host cell periplasmic space, Host periplasm,Host periplasm
KW-1051,Cellular component,GO:0044221; host cell synapse, Host cell junction; Host synapse,Host synapse
KW-1050,Cellular component,GO:0044159; host thylakoid, Host thylakoid,Host thylakoid
KW-0945,Biological process,GO:0016032; viral process, Host-virus interaction,Host-virus interaction
KW-0373,Ligand,GO:0005540; hyaluronic acid binding, Hyaluronic acid,Hyaluronic acid
KW-0374,Technical term,, Hybridoma,Hybridoma
KW-0375,Biological process,, Transport; Ion transport; Hydrogen ion transport,Hydrogen ion transport
KW-0376,Biological process,GO:0042744; hydrogen peroxide catabolic process, Hydrogen peroxide,Hydrogen peroxide
KW-0377,Cellular component,GO:0042566; hydrogenosome, Hydrogenosome,Hydrogenosome
KW-0378,Molecular function,GO:0016787; hydrolase activity, Hydrolase,Hydrolase
KW-0379,PTM,, Hydroxylation,Hydroxylation
KW-0380,Disease,, Hyperlipidemia,Hyperlipidemia
KW-0381,Biological process,GO:0009626; plant-type hypersensitive response, Plant defense; Hypersensitive response,Hypersensitive response
KW-0928,Biological process,GO:0034053; modulation by symbiont of host defense-related programmed cell death, Hypersensitive response elicitation,Hypersensitive response elicitation
KW-1016,Disease,, Hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism
KW-0382,Molecular function,GO:0008217; regulation of blood pressure, Hypotensive agent,Hypotensive agent
KW-1063,Disease,, Hypotrichosis,Hypotrichosis
KW-0385,PTM,, Hypusine,Hypusine
KW-0386,Biological process,GO:0008612; peptidyl-lysine modification to peptidyl-hypusine, Hypusine biosynthesis,Hypusine biosynthesis
KW-0387,Molecular function,GO:0050825; ice binding, Ice nucleation,Ice nucleation
KW-0977,Disease,, Ichthyosis,Ichthyosis
KW-1196,Biological process,GO:0039699; viral mRNA cap methylation, Viral transcription; IFIT mRNA restriction evasion by virus,IFIT mRNA restriction evasion by virus
KW-0388,Molecular function,GO:0019862; IgA binding, IgA-binding protein,IgA-binding protein
KW-0389,Molecular function,GO:0019863; IgE binding, IgE-binding protein,IgE-binding protein
KW-0390,Molecular function,GO:0019864; IgG binding, IgG-binding protein,IgG-binding protein
KW-0391,Biological process,GO:0002376; immune system process, Immunity,Immunity
KW-1280,Cellular component,GO:0019814; immunoglobulin complex, Immunoglobulin,Immunoglobulin
KW-0393,Domain,, Immunoglobulin domain,Immunoglobulin domain
KW-1271,Cellular component,GO:0061702; inflammasome complex, Cytoplasm; Inflammasome,Inflammasome
KW-0395,Biological process,GO:0006954; inflammatory response, Inflammatory response,Inflammatory response
KW-1111,Biological process,GO:0039602; suppression by virus of host transcription initiation from RNA polymerase II promoter, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Eukaryotic host transcription shutoff by virus; Inhibition of eukaryotic host transcription initiation by virus,Inhibition of eukaryotic host transcription initiation by virus
KW-1075,Biological process,GO:0039611; suppression by virus of host translation initiation factor activity, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Eukaryotic host translation shutoff by virus; Inhibition of eukaryotic host translation factors by virus,Inhibition of eukaryotic host translation factors by virus
KW-1080,Biological process,GO:0039504; suppression by virus of host adaptive immune response, Host-virus interaction; Viral immunoevasion; Inhibition of host adaptive immune response by virus,Inhibition of host adaptive immune response by virus
KW-1081,Biological process,GO:0019050; suppression by virus of host apoptotic process, Host-virus interaction; Modulation of host cell apoptosis by virus; Inhibition of host apoptosis by viral BCL2-like protein,Inhibition of host apoptosis by viral BCL2-like protein
KW-1082,Biological process,GO:0019050; suppression by virus of host apoptotic process, Host-virus interaction; Modulation of host cell apoptosis by virus; Inhibition of host apoptosis by viral FLIP-like protein,Inhibition of host apoptosis by viral FLIP-like protein
KW-1083,Biological process,GO:0039521; suppression by virus of host autophagy, Host-virus interaction; Inhibition of host autophagy by virus,Inhibition of host autophagy by virus
KW-1085,Biological process,GO:0039650; suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process, Host-virus interaction; Modulation of host cell apoptosis by virus; Inhibition of host caspases by virus,Inhibition of host caspases by virus
KW-1086,Biological process,GO:0039553; suppression by virus of host chemokine activity, Host-virus interaction; Viral immunoevasion; Inhibition of host chemokines by virus,Inhibition of host chemokines by virus
KW-1087,Biological process,GO:0039573; suppression by virus of host complement activation, Host-virus interaction; Viral immunoevasion; Inhibition of host complement factors by virus,Inhibition of host complement factors by virus
KW-1248,Biological process,GO:0098673; inhibition of host DNA replication by virus, Host-virus interaction; Modulation of host cell cycle by virus; Inhibition of host DNA replication by virus,Inhibition of host DNA replication by virus
KW-1224,Biological process,GO:0039724; suppression by virus of host IKBKE activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus; Inhibition of host IKBKE by virus,Inhibition of host IKBKE by virus
KW-1090,Biological process,GO:0039503; suppression by virus of host innate immune response, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus,Inhibition of host innate immune response by virus
KW-1091,Biological process,GO:0039511; suppression by virus of host interferon receptor activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host interferon receptors by virus,Inhibition of host interferon receptors by virus
KW-1114,Biological process,GO:0039502; suppression by virus of host type I interferon-mediated signaling pathway, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus,Inhibition of host interferon signaling pathway by virus
KW-1092,Biological process,GO:0039548; suppression by virus of host IRF3 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus; Inhibition of host IRF3 by virus,Inhibition of host IRF3 by virus
KW-1093,Biological process,GO:0039557; suppression by virus of host IRF7 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus; Inhibition of host IRF7 by virus,Inhibition of host IRF7 by virus
KW-1094,Biological process,GO:0039560; suppression by virus of host IRF9 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host IRF9 by virus,Inhibition of host IRF9 by virus
KW-1095,Biological process,GO:0039579; suppression by virus of host ISG15 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host ISG15 by virus,Inhibition of host ISG15 by virus
KW-1096,Biological process,GO:0039576; suppression by virus of host JAK1 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host JAK1 by virus,Inhibition of host JAK1 by virus
KW-1097,Biological process,GO:0039545; suppression by virus of host MAVS activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus; Inhibition of host MAVS by virus,Inhibition of host MAVS by virus
KW-1089,Biological process,GO:0039554; suppression by virus of host MDA-5 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus; Inhibition of host MDA5 by virus,Inhibition of host MDA5 by virus
KW-1115,Biological process,GO:0046776; suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I, Host-virus interaction; Viral immunoevasion; Inhibition of host adaptive immune response by virus; Inhibition of host MHC class I molecule presentation by virus,Inhibition of host MHC class I molecule presentation by virus
KW-1116,Biological process,GO:0039505; suppression by virus of host antigen processing and presentation of peptide antigen via MHC class II, Host-virus interaction; Viral immunoevasion; Inhibition of host adaptive immune response by virus; Inhibition of host MHC class II molecule presentation by virus,Inhibition of host MHC class II molecule presentation by virus
KW-1098,Biological process,GO:0039593; suppression by virus of host exit from mitosis, Host-virus interaction; Modulation of host cell cycle by virus; Inhibition of host mitotic exit by virus,Inhibition of host mitotic exit by virus
