aggregation_method,category,concentration_uM,condition,dataset,dataset_name,growth_rate_hr,n_complex,name,rate,rate_units,shorthand,volume
sum total,synthesis,16.186866831268873,glucose_minimal,peebo_2015,Peebo et al. 2015,0.36,7505.75302845839,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.77
sum total,synthesis,0.10992979086669,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,54.28377044913499,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.82
sum total,synthesis,8.961467494362221,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,4425.208494586043,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.82
sum total,synthesis,1.1051445711073051,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,545.7248097910717,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.82
sum total,synthesis,1.1570727340802385,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,571.3671443797582,σ-70 (RpoD),40.0,nt/s,sigma70,0.82
sum total,synthesis,1.6567402365653388,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,818.1049557769105,all σ-factors,40.0,nt/s,all_sigma,0.82
sum total,synthesis,25.630015034688487,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,12656.203944189314,tRNA ligases,20.0,AA/s,trna,0.82
average,transport,13.10533834682875,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,6471.468497017425,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.82
sum total,transport,144.15872181511625,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,71186.15346719167,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.82
sum total,transport,34.42902920236492,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,17001.19233624461,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.82
sum total,transport,29.263660674661978,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,14450.512695790783,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.82
sum total,transport,0.43508601639038624,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,214.84721523763832,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.82
sum total,transport,0.1342277881465086,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,66.28221869789854,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.82
average,transport,1.2723044315235343,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,628.2690175040474,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.82
sum total,transport,0.2579625106744727,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,127.38291962109732,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.82
sum total,synthesis,37.865516404219896,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,18698.1434624694,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.82
sum total,synthesis,225.87135197412675,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,111536.17709023168,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.82
sum total,energy production,7.746592093596803,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,3825.2981621864765,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.82
sum total,energy production,7.397147115632301,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,3652.740834287693,respiratory complex,5000.0,protons/s,proton_gradient,0.82
sum total,synthesis,15.542776760891009,glucose_minimal,peebo_2015,Peebo et al. 2015,0.41,7675.085335635024,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.82
sum total,synthesis,0.11157471510795741,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,57.78365235669028,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.86
sum total,synthesis,9.11738313732752,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,4721.819787756825,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.86
sum total,synthesis,1.0082531969397122,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,522.1662646695015,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.86
sum total,synthesis,1.165374306663529,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,603.5380304265885,σ-70 (RpoD),40.0,nt/s,sigma70,0.86
sum total,synthesis,1.56413977176414,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,810.0554746784742,all σ-factors,40.0,nt/s,all_sigma,0.86
sum total,synthesis,27.402820592199827,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,14191.701562135555,tRNA ligases,20.0,AA/s,trna,0.86
average,transport,11.74095285528691,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,6080.545556130249,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.86
sum total,transport,129.150481408156,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,66886.00111743274,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.86
sum total,transport,33.524522060194904,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,17362.081778798463,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.86
sum total,transport,19.088356869407132,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,9885.707315811,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.86
sum total,transport,0.36170184487937496,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,187.32249184826927,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.86
sum total,transport,0.14765841241658204,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,76.47111052324853,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.86
average,transport,1.313278998885138,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,680.1366872906219,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.86
sum total,transport,0.2598009670972663,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,134.54884245193745,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.86
sum total,synthesis,41.02919214955297,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,21248.69038071629,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.86
sum total,synthesis,229.2601174790996,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,118731.98076148586,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.86
sum total,energy production,7.9776250915191005,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,4131.54821389701,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.86
sum total,energy production,8.198123879607934,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,4245.742772257912,respiratory complex,5000.0,protons/s,proton_gradient,0.86
sum total,synthesis,15.165669324062643,glucose_minimal,peebo_2015,Peebo et al. 2015,0.46,7854.178817577451,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.86
sum total,synthesis,0.09966854565387992,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,54.018358373489846,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.9
sum total,synthesis,9.321430041244893,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,5052.028653753908,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.9
sum total,synthesis,0.9773639999791124,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,529.7117407086794,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.9
sum total,synthesis,1.1437777372836357,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,619.904658052985,σ-70 (RpoD),40.0,nt/s,sigma70,0.9
sum total,synthesis,1.5654840988093208,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,848.4610718726758,all σ-factors,40.0,nt/s,all_sigma,0.9
sum total,synthesis,28.31582794688862,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,15346.612430654697,tRNA ligases,20.0,AA/s,trna,0.9
average,transport,9.231600293624641,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,5003.342727138683,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.9
sum total,transport,110.77920352349567,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,60040.11272566419,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.9
sum total,transport,27.252578355396555,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,14770.352417057826,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.9
sum total,transport,9.004098704210206,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,4880.0414157078485,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.9
sum total,transport,0.3134701143407142,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,169.8945325703803,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.9
sum total,transport,0.14001480352518506,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,75.8852232145798,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.9
average,transport,1.4471417259836288,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,784.3218726486073,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.9
sum total,transport,0.269573436819685,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,146.10341128753288,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.9
sum total,synthesis,44.37735815597444,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,24051.64057337503,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.9
sum total,synthesis,235.62724287556648,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,127705.25309369953,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.9
sum total,energy production,7.734244763181283,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,4191.805976748992,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.9
sum total,energy production,8.117583122146167,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,4399.56770054078,respiratory complex,5000.0,protons/s,proton_gradient,0.9
sum total,synthesis,14.988994765815383,glucose_minimal,peebo_2015,Peebo et al. 2015,0.51,8123.735383176622,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.9
sum total,synthesis,0.0982960819444885,rich,peebo_2015,Peebo et al. 2015,0.25,40.84379137740997,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.69
sum total,synthesis,8.315747337947974,rich,peebo_2015,Peebo et al. 2015,0.25,3455.342702369466,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.69
sum total,synthesis,0.8227012441579135,rich,peebo_2015,Peebo et al. 2015,0.25,341.84717557000783,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.69
sum total,synthesis,1.3039418775593166,rich,peebo_2015,Peebo et al. 2015,0.25,541.8113210796921,σ-70 (RpoD),40.0,nt/s,sigma70,0.69
sum total,synthesis,1.5321839154937096,rich,peebo_2015,Peebo et al. 2015,0.25,636.6499961981152,all σ-factors,40.0,nt/s,all_sigma,0.69
sum total,synthesis,24.33165414354653,rich,peebo_2015,Peebo et al. 2015,0.25,10110.240266418166,tRNA ligases,20.0,AA/s,trna,0.69
average,transport,20.61330759634218,rich,peebo_2015,Peebo et al. 2015,0.25,8565.20034581691,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.69
sum total,transport,206.13307596342182,rich,peebo_2015,Peebo et al. 2015,0.25,85652.0034581691,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.69
sum total,transport,33.95838646414219,rich,peebo_2015,Peebo et al. 2015,0.25,14110.320826807434,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.69
sum total,transport,37.898411895675196,rich,peebo_2015,Peebo et al. 2015,0.25,15747.472314067169,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.69
sum total,transport,0.6677920523224801,rich,peebo_2015,Peebo et al. 2015,0.25,277.4796179969323,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.69
average,transport,0.6278569446029699,rich,peebo_2015,Peebo et al. 2015,0.25,260.8858619075368,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.69
sum total,transport,0.25691165326319604,rich,peebo_2015,Peebo et al. 2015,0.25,106.75141634061669,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.69
sum total,synthesis,27.328721685218486,rich,peebo_2015,Peebo et al. 2015,0.25,11355.575777198615,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.69
sum total,synthesis,249.88217923778456,rich,peebo_2015,Peebo et al. 2015,0.25,103830.54335252577,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.69
sum total,energy production,8.686667812122918,rich,peebo_2015,Peebo et al. 2015,0.25,3609.4668359576904,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.69
sum total,energy production,10.733282921415727,rich,peebo_2015,Peebo et al. 2015,0.25,4459.87225294082,respiratory complex,5000.0,protons/s,proton_gradient,0.69
sum total,synthesis,13.571987499987804,rich,peebo_2015,Peebo et al. 2015,0.25,5639.405102019932,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.69
sum total,synthesis,0.11551509354143316,rich,peebo_2015,Peebo et al. 2015,0.35,53.563655784601316,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.77
sum total,synthesis,8.322769429905096,rich,peebo_2015,Peebo et al. 2015,0.35,3859.218248030414,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.77
sum total,synthesis,0.8695849235076748,rich,peebo_2015,Peebo et al. 2015,0.35,403.2213115209678,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.77
sum total,synthesis,1.201183028509645,rich,peebo_2015,Peebo et al. 2015,0.35,556.9813632217514,σ-70 (RpoD),40.0,nt/s,sigma70,0.77
sum total,synthesis,1.4149317365265375,rich,peebo_2015,Peebo et al. 2015,0.35,656.0953566369363,all σ-factors,40.0,nt/s,all_sigma,0.77
sum total,synthesis,24.210309086974387,rich,peebo_2015,Peebo et al. 2015,0.35,11226.175061775504,tRNA ligases,20.0,AA/s,trna,0.77
average,transport,20.540712658750508,rich,peebo_2015,Peebo et al. 2015,0.35,9524.60521558666,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.77
sum total,transport,205.40712658750505,rich,peebo_2015,Peebo et al. 2015,0.35,95246.0521558666,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.77
sum total,transport,32.799857290818196,rich,peebo_2015,Peebo et al. 2015,0.35,15209.097026608653,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.77
sum total,transport,58.4680088098455,rich,peebo_2015,Peebo et al. 2015,0.35,27111.264877072503,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.77
sum total,transport,0.6410474649583031,rich,peebo_2015,Peebo et al. 2015,0.35,297.24986321637545,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.77
average,transport,2.0084888250723933,rich,peebo_2015,Peebo et al. 2015,0.35,931.3242172531185,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.77
sum total,transport,0.2458388124893743,rich,peebo_2015,Peebo et al. 2015,0.35,113.99398231844795,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.77
sum total,synthesis,32.146948916900634,rich,peebo_2015,Peebo et al. 2015,0.35,14906.347331073322,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.77
sum total,synthesis,240.0333964864488,rich,peebo_2015,Peebo et al. 2015,0.35,111302.0457503874,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.77
sum total,energy production,9.576380827428995,rich,peebo_2015,Peebo et al. 2015,0.35,4440.510331393862,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.77
sum total,energy production,9.426631306962035,rich,peebo_2015,Peebo et al. 2015,0.35,4371.072377250455,respiratory complex,5000.0,protons/s,proton_gradient,0.77
sum total,synthesis,13.957048914683677,rich,peebo_2015,Peebo et al. 2015,0.35,6471.799839445333,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.77
sum total,synthesis,0.09083957620975147,rich,peebo_2015,Peebo et al. 2015,0.42,44.85694609068011,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.82
sum total,synthesis,8.336094905235692,rich,peebo_2015,Peebo et al. 2015,0.42,4116.397008585006,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.82
sum total,synthesis,0.8793370294124965,rich,peebo_2015,Peebo et al. 2015,0.42,434.2201424720085,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.82
sum total,synthesis,1.148797014316917,rich,peebo_2015,Peebo et al. 2015,0.42,567.280560857751,σ-70 (RpoD),40.0,nt/s,sigma70,0.82
sum total,synthesis,1.5223349711373242,rich,peebo_2015,Peebo et al. 2015,0.42,751.7350980874953,all σ-factors,40.0,nt/s,all_sigma,0.82
sum total,synthesis,24.043009160233083,rich,peebo_2015,Peebo et al. 2015,0.42,11872.534095359739,tRNA ligases,20.0,AA/s,trna,0.82
average,transport,18.69254841146866,rich,peebo_2015,Peebo et al. 2015,0.42,9230.455175776871,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.82
sum total,transport,205.61803252615522,rich,peebo_2015,Peebo et al. 2015,0.42,101535.00693354556,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.82
sum total,transport,32.50997618636706,rich,peebo_2015,Peebo et al. 2015,0.42,16053.5562807328,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.82
sum total,transport,69.25772187250777,rich,peebo_2015,Peebo et al. 2015,0.42,34199.74009153183,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.82
sum total,transport,0.6462535633110753,rich,peebo_2015,Peebo et al. 2015,0.42,319.12259457726225,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.82
sum total,transport,0.14663244769866987,rich,peebo_2015,Peebo et al. 2015,0.42,72.40768920339397,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.82
average,transport,1.3769351604632958,rich,peebo_2015,Peebo et al. 2015,0.42,679.9360899774174,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.82
sum total,transport,0.2555649634061127,rich,peebo_2015,Peebo et al. 2015,0.42,126.19900118979209,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.82
sum total,synthesis,34.76176027669797,rich,peebo_2015,Peebo et al. 2015,0.42,17165.49627167456,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.82
sum total,synthesis,245.28318393790173,rich,peebo_2015,Peebo et al. 2015,0.42,121121.81736127163,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.82
sum total,energy production,9.631522311867492,rich,peebo_2015,Peebo et al. 2015,0.42,4756.084243689415,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.82
sum total,energy production,7.363185077160201,rich,peebo_2015,Peebo et al. 2015,0.42,3635.970243842016,respiratory complex,5000.0,protons/s,proton_gradient,0.82
sum total,synthesis,15.031514832418202,rich,peebo_2015,Peebo et al. 2015,0.42,7422.622150307438,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.82
sum total,synthesis,0.1051760109413896,rich,peebo_2015,Peebo et al. 2015,0.45,53.836444720569105,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.85
sum total,synthesis,8.607682596113301,rich,peebo_2015,Peebo et al. 2015,0.45,4406.014490472516,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.85
sum total,synthesis,0.8815581272429676,rich,peebo_2015,Peebo et al. 2015,0.45,451.2431585918578,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.85
sum total,synthesis,1.1946203306404408,rich,peebo_2015,Peebo et al. 2015,0.45,611.4903086449224,σ-70 (RpoD),40.0,nt/s,sigma70,0.85
sum total,synthesis,1.3609762954223577,rich,peebo_2015,Peebo et al. 2015,0.45,696.6429363378422,all σ-factors,40.0,nt/s,all_sigma,0.85
sum total,synthesis,24.96112565168608,rich,peebo_2015,Peebo et al. 2015,0.45,12776.851387328556,tRNA ligases,20.0,AA/s,trna,0.85
average,transport,19.505573254190942,rich,peebo_2015,Peebo et al. 2015,0.45,9984.317781622718,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.85
sum total,transport,175.55015928771846,rich,peebo_2015,Peebo et al. 2015,0.45,89858.86003460445,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.85
sum total,transport,30.099851228072378,rich,peebo_2015,Peebo et al. 2015,0.45,15407.21084811341,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.85
sum total,transport,41.952482629928134,rich,peebo_2015,Peebo et al. 2015,0.45,21474.217283781316,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.85
sum total,transport,0.5950988296701669,rich,peebo_2015,Peebo et al. 2015,0.45,304.61323794326836,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.85
average,transport,1.3805682727035655,rich,peebo_2015,Peebo et al. 2015,0.45,706.6714817487741,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.85
sum total,transport,0.27705815684974705,rich,peebo_2015,Peebo et al. 2015,0.45,141.81775874668003,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.85
sum total,synthesis,36.990205659651075,rich,peebo_2015,Peebo et al. 2015,0.45,18934.1765710056,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.85
sum total,synthesis,250.60239537296718,rich,peebo_2015,Peebo et al. 2015,0.45,128275.84811956072,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.85
sum total,energy production,10.091083944022262,rich,peebo_2015,Peebo et al. 2015,0.45,5165.3231384266755,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.85
sum total,energy production,9.830446745286695,rich,peebo_2015,Peebo et al. 2015,0.45,5031.9107755099,respiratory complex,5000.0,protons/s,proton_gradient,0.85
sum total,synthesis,16.417476483343,rich,peebo_2015,Peebo et al. 2015,0.45,8403.61368752878,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.85
sum total,synthesis,0.11645853878829517,rich,peebo_2015,Peebo et al. 2015,0.53,64.52082549364646,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,0.92
sum total,synthesis,8.685672688527509,rich,peebo_2015,Peebo et al. 2015,0.53,4812.071125588765,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.92
sum total,synthesis,0.9063092278423804,rich,peebo_2015,Peebo et al. 2015,0.53,502.11706364614713,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.92
sum total,synthesis,1.1457042552075496,rich,peebo_2015,Peebo et al. 2015,0.53,634.7476542871075,σ-70 (RpoD),40.0,nt/s,sigma70,0.92
sum total,synthesis,1.2801133210441271,rich,peebo_2015,Peebo et al. 2015,0.53,709.2135025781517,all σ-factors,40.0,nt/s,all_sigma,0.92
sum total,synthesis,25.119079546166926,rich,peebo_2015,Peebo et al. 2015,0.53,13916.572926485587,tRNA ligases,20.0,AA/s,trna,0.92
average,transport,16.121134793952564,rich,peebo_2015,Peebo et al. 2015,0.53,8931.495583084778,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.92
sum total,transport,177.33248273347823,rich,peebo_2015,Peebo et al. 2015,0.53,98246.45141393256,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.92
sum total,transport,28.910010853549885,rich,peebo_2015,Peebo et al. 2015,0.53,16016.839853127123,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.92
sum total,transport,28.62277496381123,rich,peebo_2015,Peebo et al. 2015,0.53,15857.704276550558,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.92
sum total,transport,0.5915205825396215,rich,peebo_2015,Peebo et al. 2015,0.53,327.71659922093136,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.92
sum total,transport,0.1517708557467796,rich,peebo_2015,Peebo et al. 2015,0.53,84.08469658425383,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.92
average,transport,0.7577078260705423,rich,peebo_2015,Peebo et al. 2015,0.53,419.78832063090624,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.92
sum total,transport,0.28028242569558937,rich,peebo_2015,Peebo et al. 2015,0.53,155.28319061357325,Phosphate Transport System,0.01,Pi/s,phosphate_tport,0.92
sum total,synthesis,40.47541177248439,rich,peebo_2015,Peebo et al. 2015,0.53,22424.349531838896,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.92
sum total,synthesis,250.7033060885574,rich,peebo_2015,Peebo et al. 2015,0.53,138895.64845240695,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.92
sum total,energy production,9.925895854304668,rich,peebo_2015,Peebo et al. 2015,0.53,5499.184524785291,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.92
sum total,energy production,9.578615014628447,rich,peebo_2015,Peebo et al. 2015,0.53,5306.782604864511,respiratory complex,5000.0,protons/s,proton_gradient,0.92
sum total,synthesis,17.612854813942185,rich,peebo_2015,Peebo et al. 2015,0.53,9757.944275439508,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,0.92
sum total,synthesis,8.902476773743405,rich,peebo_2015,Peebo et al. 2015,0.55,5039.407222359383,RNA polymerase (core enzyme),40.0,nt/s,rnap,0.94
sum total,synthesis,0.9814100506406337,rich,peebo_2015,Peebo et al. 2015,0.55,555.5448245460424,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,0.94
sum total,synthesis,1.1284048403149851,rich,peebo_2015,Peebo et al. 2015,0.55,638.7538711474231,σ-70 (RpoD),40.0,nt/s,sigma70,0.94
sum total,synthesis,1.292656545419423,rich,peebo_2015,Peebo et al. 2015,0.55,731.731505352482,all σ-factors,40.0,nt/s,all_sigma,0.94
sum total,synthesis,26.57737920597143,rich,peebo_2015,Peebo et al. 2015,0.55,15044.603892365838,tRNA ligases,20.0,AA/s,trna,0.94
average,transport,14.279466346227489,rich,peebo_2015,Peebo et al. 2015,0.55,8083.148955676303,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,0.94
sum total,transport,157.0741298085024,rich,peebo_2015,Peebo et al. 2015,0.55,88914.63851243934,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,0.94
sum total,transport,27.654151651209162,rich,peebo_2015,Peebo et al. 2015,0.55,15654.13031689667,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,0.94
sum total,transport,30.43907993278266,rich,peebo_2015,Peebo et al. 2015,0.55,17230.589099390418,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,0.94
sum total,transport,0.39144863831931753,rich,peebo_2015,Peebo et al. 2015,0.55,221.58654779613946,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,0.94
sum total,transport,0.22518711499825703,rich,peebo_2015,Peebo et al. 2015,0.55,127.47121981283337,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,0.94
average,transport,0.7346710212314427,rich,peebo_2015,Peebo et al. 2015,0.55,415.8737556464403,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,0.94
sum total,synthesis,42.97700031291926,rich,peebo_2015,Peebo et al. 2015,0.55,24327.904613133585,Ribosome (50S + 30S),15.0,AA/s,ribosome,0.94
sum total,synthesis,257.30237677633437,rich,peebo_2015,Peebo et al. 2015,0.55,145650.64181702604,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,0.94
sum total,energy production,9.733880372129889,rich,peebo_2015,Peebo et al. 2015,0.55,5510.038194490823,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,0.94
